#       k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
   1.008986e-05    2.425139e+05    2.425139e+05    3.233504e+05    3.233503e+05    0.000000e+00    2.425139e+05    0.000000e+00    0.000000e+00   -6.045765e-01    0.000000e+00   -2.084835e-03   -2.084835e-03
   2.251776e-05    2.425136e+05    2.425136e+05    3.233446e+05    3.233438e+05    0.000000e+00    2.425136e+05    0.000000e+00    0.000000e+00   -6.045754e-01    0.000000e+00   -1.038428e-02   -1.038428e-02
   3.498636e-05    2.425132e+05    2.425131e+05    3.233343e+05    3.233323e+05    0.000000e+00    2.425132e+05    0.000000e+00    0.000000e+00   -6.045734e-01    0.000000e+00   -2.506851e-02   -2.506851e-02
   4.752690e-05    2.425125e+05    2.425123e+05    3.233194e+05    3.233158e+05    0.000000e+00    2.425125e+05    0.000000e+00    0.000000e+00   -6.045706e-01    0.000000e+00   -4.625966e-02   -4.625966e-02
   6.017108e-05    2.425117e+05    2.425114e+05    3.232997e+05    3.232939e+05    0.000000e+00    2.425116e+05    0.000000e+00    0.000000e+00   -6.045669e-01    0.000000e+00   -7.414583e-02   -7.414583e-02
   7.295135e-05    2.425106e+05    2.425102e+05    3.232752e+05    3.232667e+05    0.000000e+00    2.425105e+05    0.000000e+00    0.000000e+00   -6.045622e-01    0.000000e+00   -1.089881e-01   -1.089881e-01
   8.590117e-05    2.425093e+05    2.425087e+05    3.232455e+05    3.232337e+05    0.000000e+00    2.425092e+05    0.000000e+00    0.000000e+00   -6.045565e-01    0.000000e+00   -1.511172e-01   -1.511172e-01
   9.905531e-05    2.425078e+05    2.425070e+05    3.232105e+05    3.231948e+05    0.000000e+00    2.425076e+05    0.000000e+00    0.000000e+00   -6.045499e-01    0.000000e+00   -2.009390e-01   -2.009390e-01
   1.124501e-04    2.425060e+05    2.425050e+05    3.231696e+05    3.231494e+05    0.000000e+00    2.425058e+05    0.000000e+00    0.000000e+00   -6.045421e-01    0.000000e+00   -2.589521e-01   -2.589521e-01
   1.261239e-04    2.425039e+05    2.425026e+05    3.231226e+05    3.230972e+05    0.000000e+00    2.425037e+05    0.000000e+00    0.000000e+00   -6.045331e-01    0.000000e+00   -3.257517e-01   -3.257517e-01
   1.401171e-04    2.425016e+05    2.425000e+05    3.230689e+05    3.230376e+05    0.000000e+00    2.425013e+05    0.000000e+00    0.000000e+00   -6.045229e-01    0.000000e+00   -4.020418e-01   -4.020418e-01
   1.544729e-04    2.424989e+05    2.424970e+05    3.230080e+05    3.229699e+05    0.000000e+00    2.424986e+05    0.000000e+00    0.000000e+00   -6.045113e-01    0.000000e+00   -4.886349e-01   -4.886349e-01
   1.692374e-04    2.424959e+05    2.424936e+05    3.229392e+05    3.228934e+05    0.000000e+00    2.424956e+05    0.000000e+00    0.000000e+00   -6.044982e-01    0.000000e+00   -5.864980e-01   -5.864980e-01
   1.844602e-04    2.424926e+05    2.424897e+05    3.228616e+05    3.228073e+05    0.000000e+00    2.424921e+05    0.000000e+00    0.000000e+00   -6.044834e-01    0.000000e+00   -6.967333e-01   -6.967333e-01
   2.001946e-04    2.424888e+05    2.424854e+05    3.227745e+05    3.227105e+05    0.000000e+00    2.424882e+05    0.000000e+00    0.000000e+00   -6.044668e-01    0.000000e+00   -8.206475e-01   -8.206475e-01
   2.164985e-04    2.424845e+05    2.424806e+05    3.226767e+05    3.226019e+05    0.000000e+00    2.424838e+05    0.000000e+00    0.000000e+00   -6.044482e-01    0.000000e+00   -9.597408e-01   -9.597408e-01
   2.334344e-04    2.424797e+05    2.424752e+05    3.225670e+05    3.224801e+05    0.000000e+00    2.424790e+05    0.000000e+00    0.000000e+00   -6.044273e-01    0.000000e+00   -1.115730e+00   -1.115730e+00
   2.510706e-04    2.424743e+05    2.424691e+05    3.224441e+05    3.223436e+05    0.000000e+00    2.424735e+05    0.000000e+00    0.000000e+00   -6.044039e-01    0.000000e+00   -1.290672e+00   -1.290672e+00
   2.694812e-04    2.424683e+05    2.424623e+05    3.223063e+05    3.221906e+05    0.000000e+00    2.424673e+05    0.000000e+00    0.000000e+00   -6.043777e-01    0.000000e+00   -1.486841e+00   -1.486841e+00
   2.887471e-04    2.424616e+05    2.424547e+05    3.221516e+05    3.220189e+05    0.000000e+00    2.424604e+05    0.000000e+00    0.000000e+00   -6.043482e-01    0.000000e+00   -1.706949e+00   -1.706949e+00
   3.089566e-04    2.424540e+05    2.424461e+05    3.219781e+05    3.218262e+05    0.000000e+00    2.424527e+05    0.000000e+00    0.000000e+00   -6.043151e-01    0.000000e+00   -1.954181e+00   -1.954181e+00
   3.302056e-04    2.424454e+05    2.424364e+05    3.217830e+05    3.216096e+05    0.000000e+00    2.424440e+05    0.000000e+00    0.000000e+00   -6.042779e-01    0.000000e+00   -2.232108e+00   -2.232108e+00
   3.525991e-04    2.424358e+05    2.424256e+05    3.215635e+05    3.213660e+05    0.000000e+00    2.424342e+05    0.000000e+00    0.000000e+00   -6.042361e-01    0.000000e+00   -2.545005e+00   -2.545005e+00
   3.762509e-04    2.424250e+05    2.424133e+05    3.213162e+05    3.210915e+05    0.000000e+00    2.424231e+05    0.000000e+00    0.000000e+00   -6.041889e-01    0.000000e+00   -2.897724e+00   -2.897724e+00
   4.012846e-04    2.424128e+05    2.423995e+05    3.210372e+05    3.207818e+05    0.000000e+00    2.424106e+05    0.000000e+00    0.000000e+00   -6.041356e-01    0.000000e+00   -3.295904e+00   -3.295904e+00
   4.278337e-04    2.423990e+05    2.423839e+05    3.207219e+05    3.204319e+05    0.000000e+00    2.423965e+05    0.000000e+00    0.000000e+00   -6.040754e-01    0.000000e+00   -3.746159e+00   -3.746159e+00
   4.560417e-04    2.423834e+05    2.423662e+05    3.203651e+05    3.200360e+05    0.000000e+00    2.423805e+05    0.000000e+00    0.000000e+00   -6.040073e-01    0.000000e+00   -4.256013e+00   -4.256013e+00
   4.860618e-04    2.423656e+05    2.423461e+05    3.199608e+05    3.195874e+05    0.000000e+00    2.423624e+05    0.000000e+00    0.000000e+00   -6.039300e-01    0.000000e+00   -4.834324e+00   -4.834324e+00
   5.180564e-04    2.423455e+05    2.423233e+05    3.195020e+05    3.190786e+05    0.000000e+00    2.423418e+05    0.000000e+00    0.000000e+00   -6.038423e-01    0.000000e+00   -5.491088e+00   -5.491088e+00
   5.521959e-04    2.423226e+05    2.422974e+05    3.189810e+05    3.185008e+05    0.000000e+00    2.423184e+05    0.000000e+00    0.000000e+00   -6.037427e-01    0.000000e+00   -6.237809e+00   -6.237809e+00
   5.886567e-04    2.422965e+05    2.422679e+05    3.183887e+05    3.178441e+05    0.000000e+00    2.422918e+05    0.000000e+00    0.000000e+00   -6.036293e-01    0.000000e+00   -7.087750e+00   -7.087750e+00
   6.276186e-04    2.422669e+05    2.422343e+05    3.177151e+05    3.170975e+05    0.000000e+00    2.422615e+05    0.000000e+00    0.000000e+00   -6.035002e-01    0.000000e+00   -8.055770e+00   -8.055770e+00
   6.692616e-04    2.422331e+05    2.421961e+05    3.169489e+05    3.162486e+05    0.000000e+00    2.422270e+05    0.000000e+00    0.000000e+00   -6.033533e-01    0.000000e+00   -9.158430e+00   -9.158430e+00
   7.137617e-04    2.421946e+05    2.421525e+05    3.160778e+05    3.152836e+05    0.000000e+00    2.421877e+05    0.000000e+00    0.000000e+00   -6.031861e-01    0.000000e+00   -1.041459e+01   -1.041459e+01
   7.612858e-04    2.421508e+05    2.421029e+05    3.150881e+05    3.141878e+05    0.000000e+00    2.421429e+05    0.000000e+00    0.000000e+00   -6.029959e-01    0.000000e+00   -1.184489e+01   -1.184489e+01
   8.119865e-04    2.421010e+05    2.420465e+05    3.139651e+05    3.129450e+05    0.000000e+00    2.420920e+05    0.000000e+00    0.000000e+00   -6.027797e-01    0.000000e+00   -1.347128e+01   -1.347128e+01
   8.659960e-04    2.420445e+05    2.419825e+05    3.126935e+05    3.115385e+05    0.000000e+00    2.420343e+05    0.000000e+00    0.000000e+00   -6.025346e-01    0.000000e+00   -1.531811e+01   -1.531811e+01
   9.234211e-04    2.419804e+05    2.419100e+05    3.112571e+05    3.099505e+05    0.000000e+00    2.419689e+05    0.000000e+00    0.000000e+00   -6.022572e-01    0.000000e+00   -1.741066e+01   -1.741066e+01
   9.843381e-04    2.419081e+05    2.418281e+05    3.096394e+05    3.081634e+05    0.000000e+00    2.418950e+05    0.000000e+00    0.000000e+00   -6.019442e-01    0.000000e+00   -1.977574e+01   -1.977574e+01
   1.048789e-03    2.418267e+05    2.417359e+05    3.078242e+05    3.061596e+05    0.000000e+00    2.418118e+05    0.000000e+00    0.000000e+00   -6.015922e-01    0.000000e+00   -2.244014e+01   -2.244014e+01
   1.116779e-03    2.417353e+05    2.416324e+05    3.057956e+05    3.039221e+05    0.000000e+00    2.417184e+05    0.000000e+00    0.000000e+00   -6.011977e-01    0.000000e+00   -2.543085e+01   -2.543085e+01
   1.188277e-03    2.416332e+05    2.415168e+05    3.035386e+05    3.014351e+05    0.000000e+00    2.416141e+05    0.000000e+00    0.000000e+00   -6.007576e-01    0.000000e+00   -2.877569e+01   -2.877569e+01
   1.263217e-03    2.415196e+05    2.413880e+05    3.010397e+05    2.986845e+05    0.000000e+00    2.414980e+05    0.000000e+00    0.000000e+00   -6.002687e-01    0.000000e+00   -3.249849e+01   -3.249849e+01
   1.341500e-03    2.413929e+05    2.412444e+05    2.982857e+05    2.956592e+05    0.000000e+00    2.413685e+05    0.000000e+00    0.000000e+00   -5.997257e-01    0.000000e+00   -3.664309e+01   -3.664309e+01
   1.423000e-03    2.412534e+05    2.410861e+05    2.952682e+05    2.923487e+05    0.000000e+00    2.412259e+05    0.000000e+00    0.000000e+00   -5.991287e-01    0.000000e+00   -4.121179e+01   -4.121179e+01
   1.507568e-03    2.411004e+05    2.409126e+05    2.919798e+05    2.887459e+05    0.000000e+00    2.410695e+05    0.000000e+00    0.000000e+00   -5.984754e-01    0.000000e+00   -4.622705e+01   -4.622705e+01
   1.595040e-03    2.409334e+05    2.407231e+05    2.884153e+05    2.848467e+05    0.000000e+00    2.408988e+05    0.000000e+00    0.000000e+00   -5.977640e-01    0.000000e+00   -5.170833e+01   -5.170833e+01
   1.685241e-03    2.407519e+05    2.405172e+05    2.845723e+05    2.806501e+05    0.000000e+00    2.407133e+05    0.000000e+00    0.000000e+00   -5.969930e-01    0.000000e+00   -5.767024e+01   -5.767024e+01
   1.777990e-03    2.405557e+05    2.402944e+05    2.804507e+05    2.761577e+05    0.000000e+00    2.405127e+05    0.000000e+00    0.000000e+00   -5.961614e-01    0.000000e+00   -6.412851e+01   -6.412851e+01
   1.873106e-03    2.403443e+05    2.400544e+05    2.760531e+05    2.713743e+05    0.000000e+00    2.402966e+05    0.000000e+00    0.000000e+00   -5.952686e-01    0.000000e+00   -7.109445e+01   -7.109445e+01
   1.970411e-03    2.401176e+05    2.397969e+05    2.713842e+05    2.663070e+05    0.000000e+00    2.400649e+05    0.000000e+00    0.000000e+00   -5.943141e-01    0.000000e+00   -7.857558e+01   -7.857558e+01
   2.069734e-03    2.398754e+05    2.395217e+05    2.664510e+05    2.609658e+05    0.000000e+00    2.398173e+05    0.000000e+00    0.000000e+00   -5.932980e-01    0.000000e+00   -8.658366e+01   -8.658366e+01
   2.170912e-03    2.396177e+05    2.392287e+05    2.612626e+05    2.553628e+05    0.000000e+00    2.395538e+05    0.000000e+00    0.000000e+00   -5.922207e-01    0.000000e+00   -9.512079e+01   -9.512079e+01
   2.273790e-03    2.393444e+05    2.389179e+05    2.558299e+05    2.495121e+05    0.000000e+00    2.392743e+05    0.000000e+00    0.000000e+00   -5.910827e-01    0.000000e+00   -1.041918e+02   -1.041918e+02
   2.378225e-03    2.390555e+05    2.385892e+05    2.501655e+05    2.434300e+05    0.000000e+00    2.389789e+05    0.000000e+00    0.000000e+00   -5.898851e-01    0.000000e+00   -1.138001e+02   -1.138001e+02
   2.484083e-03    2.387511e+05    2.382426e+05    2.442834e+05    2.371339e+05    0.000000e+00    2.386676e+05    0.000000e+00    0.000000e+00   -5.886289e-01    0.000000e+00   -1.239464e+02   -1.239464e+02
   2.591244e-03    2.384313e+05    2.378784e+05    2.381989e+05    2.306431e+05    0.000000e+00    2.383405e+05    0.000000e+00    0.000000e+00   -5.873154e-01    0.000000e+00   -1.346305e+02   -1.346305e+02
   2.699595e-03    2.380963e+05    2.374965e+05    2.319285e+05    2.239777e+05    0.000000e+00    2.379977e+05    0.000000e+00    0.000000e+00   -5.859463e-01    0.000000e+00   -1.458504e+02   -1.458504e+02
   2.809034e-03    2.377462e+05    2.370973e+05    2.254897e+05    2.171589e+05    0.000000e+00    2.376396e+05    0.000000e+00    0.000000e+00   -5.845231e-01    0.000000e+00   -1.576054e+02   -1.576054e+02
   2.919468e-03    2.373812e+05    2.366808e+05    2.189006e+05    2.102087e+05    0.000000e+00    2.372661e+05    0.000000e+00    0.000000e+00   -5.830477e-01    0.000000e+00   -1.698927e+02   -1.698927e+02
   3.030813e-03    2.370017e+05    2.362474e+05    2.121801e+05    2.031494e+05    0.000000e+00    2.368777e+05    0.000000e+00    0.000000e+00   -5.815221e-01    0.000000e+00   -1.827056e+02   -1.827056e+02
   3.142992e-03    2.366078e+05    2.357973e+05    2.053476e+05    1.960038e+05    0.000000e+00    2.364746e+05    0.000000e+00    0.000000e+00   -5.799482e-01    0.000000e+00   -1.960475e+02   -1.960475e+02
   3.255935e-03    2.361998e+05    2.353307e+05    1.984226e+05    1.887950e+05    0.000000e+00    2.360569e+05    0.000000e+00    0.000000e+00   -5.783284e-01    0.000000e+00   -2.099061e+02   -2.099061e+02
   3.369582e-03    2.357780e+05    2.348480e+05    1.914251e+05    1.815458e+05    0.000000e+00    2.356252e+05    0.000000e+00    0.000000e+00   -5.766647e-01    0.000000e+00   -2.242854e+02   -2.242854e+02
   3.483873e-03    2.353427e+05    2.343496e+05    1.843750e+05    1.742792e+05    0.000000e+00    2.351795e+05    0.000000e+00    0.000000e+00   -5.749594e-01    0.000000e+00   -2.391657e+02   -2.391657e+02
   3.598759e-03    2.348944e+05    2.338357e+05    1.772923e+05    1.670175e+05    0.000000e+00    2.347204e+05    0.000000e+00    0.000000e+00   -5.732149e-01    0.000000e+00   -2.545535e+02   -2.545535e+02
   3.714193e-03    2.344332e+05    2.333066e+05    1.701967e+05    1.597828e+05    0.000000e+00    2.342481e+05    0.000000e+00    0.000000e+00   -5.714335e-01    0.000000e+00   -2.704382e+02   -2.704382e+02
   3.830132e-03    2.339596e+05    2.327628e+05    1.631078e+05    1.525965e+05    0.000000e+00    2.337629e+05    0.000000e+00    0.000000e+00   -5.696175e-01    0.000000e+00   -2.868142e+02   -2.868142e+02
