# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.124782433370e+03       3.562116077266e-02       0.000000000000e+00       2.824168485072e+00       5.060387314977e-08       3.396360566868e-03      -1.343676660995e-05 
    3       1.053180843868e+03       4.499418502375e-02       0.000000000000e+00       3.182158186526e+00       6.187608297131e-08       3.377354064146e-03      -1.428016394116e-05 
    4       9.887932629461e+02       3.827918628989e-02       0.000000000000e+00       2.972183683822e+00       7.139486831712e-08       3.284110001287e-03      -1.191290959712e-05 
    5       9.409486697860e+02       2.508821089769e-02       0.000000000000e+00       2.522060080602e+00       7.966848287802e-08       3.164717201893e-03      -7.936295938524e-06 
    6       9.078716651751e+02       1.381288276521e-02       0.000000000000e+00       2.020416456719e+00       8.688438583162e-08       3.037050237286e-03      -3.669515322072e-06 
    7       8.859505329497e+02       7.432692881494e-03       0.000000000000e+00       1.576130310520e+00       9.322416452867e-08       2.909892797678e-03      -1.106936806072e-07 
    8       8.725074089429e+02       4.837847727061e-03       0.000000000000e+00       1.236249294693e+00       9.883266814866e-08       2.788075216661e-03       2.167681289866e-06 
    9       8.653237054725e+02       3.888602143005e-03       0.000000000000e+00       1.010242621548e+00       1.038302281891e-07       2.674212031324e-03       3.026617165626e-06 
   10       8.625545902993e+02       3.279367394421e-03       0.000000000000e+00       8.861874401354e-01       1.083004249896e-07       2.568778557085e-03       2.688737202769e-06 
   11       8.634834317452e+02       2.729374313088e-03       0.000000000000e+00       8.414898804315e-01       1.113567758694e-07       2.495213252268e-03       1.615932341423e-06 
   12       8.670418760528e+02       2.375299338002e-03       0.000000000000e+00       8.509353577737e-01       1.149783056992e-07       2.397469232520e-03       2.935008441472e-07 
   13       8.726980772479e+02       2.281636512877e-03       0.000000000000e+00       8.923120704496e-01       1.182179005854e-07       2.312099776275e-03      -8.295285850430e-07 
   14       8.799141416598e+02       2.365610242805e-03       0.000000000000e+00       9.490888343270e-01       1.211186296039e-07       2.223358104276e-03      -1.508232111683e-06 
   15       8.886698183250e+02       2.537771269837e-03       0.000000000000e+00       1.011003445781e+00       1.237166336659e-07       2.143094106263e-03      -1.659572578335e-06 
   16       8.985431470376e+02       2.793189185195e-03       0.000000000000e+00       1.073695448949e+00       1.260427764268e-07       2.068132242274e-03      -1.384273517800e-06 
   17       9.094294507599e+02       3.181000320614e-03       0.000000000000e+00       1.136483511642e+00       1.281238064889e-07       1.996952633713e-03      -8.834063917472e-07 
   18       9.209855801474e+02       3.737919022428e-03       0.000000000000e+00       1.200936887948e+00       1.299341042152e-07       1.928630522931e-03      -3.898068104030e-07 
   19       9.333003232463e+02       4.462465755717e-03       0.000000000000e+00       1.268789322529e+00       1.316399491277e-07       1.865206908338e-03      -4.777158584354e-08 
   20       9.462095958301e+02       5.336085910611e-03       0.000000000000e+00       1.341393064922e+00       1.331052949862e-07       1.805401028235e-03       3.471960999228e-08 
   21       9.597567202663e+02       6.353908274891e-03       0.000000000000e+00       1.418336942321e+00       1.344181562481e-07       1.749247491828e-03      -1.283217763008e-07 
   22       9.738061957059e+02       7.512941131556e-03       0.000000000000e+00       1.497938907607e+00       1.355510262994e-07       1.694626496743e-03      -4.372716975274e-07 
   23       9.883610716282e+02       8.812768559170e-03       0.000000000000e+00       1.577233194793e+00       1.365785471376e-07       1.642128753738e-03      -7.878146462060e-07 
   24       1.003300222199e+03       1.025292389152e-02       0.000000000000e+00       1.652519256889e+00       1.374558203490e-07       1.591736683498e-03      -1.057403749111e-06 
   25       1.018612724763e+03       1.183647762055e-02       0.000000000000e+00       1.721480585483e+00       1.382176292719e-07       1.544125650601e-03      -1.190640769840e-06 
   26       1.034219696646e+03       1.356883301821e-02       0.000000000000e+00       1.782350961307e+00       1.388210235125e-07       1.499079172706e-03      -1.166750960174e-06 
   27       1.050192646040e+03       1.546315968866e-02       0.000000000000e+00       1.834743384571e+00       1.393611247417e-07       1.457094353622e-03      -1.016945249997e-06 
   28       1.066523614959e+03       1.753682286231e-02       0.000000000000e+00       1.878916983405e+00       1.398651191170e-07       1.417504784752e-03      -8.160653342760e-07 
   29       1.083097936773e+03       1.980746620456e-02       0.000000000000e+00       1.915386166099e+00       1.402260357858e-07       1.378399320568e-03      -6.588435335746e-07 
   30       1.099971304341e+03       2.228422520975e-02       0.000000000000e+00       1.944600917805e+00       1.404986142791e-07       1.340407407931e-03      -5.762596615307e-07 
   31       1.117174449707e+03       2.497297468487e-02       0.000000000000e+00       1.967176051319e+00       1.407208165292e-07       1.304503937295e-03      -5.763421327182e-07 
   32       1.134662001362e+03       2.787891926964e-02       0.000000000000e+00       1.983618791842e+00       1.408480396049e-07       1.271016277007e-03      -6.577376572135e-07 
   33       1.152430706929e+03       3.100821825793e-02       0.000000000000e+00       1.993024245574e+00       1.409197004977e-07       1.239942449139e-03      -7.908610231681e-07 
   34       1.170425721646e+03       3.436684152218e-02       0.000000000000e+00       1.993879491799e+00       1.409444389278e-07       1.210485530939e-03      -9.236618005719e-07 
   35       1.188551296167e+03       3.796049446669e-02       0.000000000000e+00       1.984642766478e+00       1.408724716239e-07       1.181323740247e-03      -9.987000636263e-07 
