# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.124786037084e+03       3.562285695048e-02       1.696177432115e-06       2.824168454863e+00       5.060387314977e-08       3.396360566868e-03      -1.343676660995e-05 
    3       1.053188034416e+03       4.499757810358e-02       3.393075989460e-06       3.182158051811e+00       6.187608297131e-08       3.377354064146e-03      -1.428016394116e-05 
    4       9.888052101266e+02       3.828484302395e-02       5.656715190108e-06       2.972183296397e+00       7.139486831712e-08       3.284110001287e-03      -1.191290959712e-05 
    5       9.409665221213e+02       2.509669898033e-02       8.488018064522e-06       2.522059197062e+00       7.966848287802e-08       3.164717201893e-03      -7.936295938524e-06 
    6       9.078965456128e+02       1.382477104741e-02       1.188810617370e-05       2.020414717194e+00       8.688438583162e-08       3.037050237286e-03      -3.669515322072e-06 
    7       8.859835351950e+02       7.448551570303e-03       1.585827949558e-05       1.576127218985e+00       9.322416452867e-08       2.909892797678e-03      -1.106936806072e-07 
    8       8.725495944949e+02       4.858248566271e-03       2.039999359903e-05       1.236244201087e+00       9.883266814866e-08       2.788075216661e-03       2.167681289866e-06 
    9       8.653761014147e+02       3.914118570907e-03       2.551483474565e-05       1.010234705910e+00       1.038302281891e-07       2.674212031324e-03       3.026617165626e-06 
   10       8.626181878702e+02       3.310574674393e-03       3.120449360757e-05       8.861756989106e-01       1.083004249896e-07       2.568778557085e-03       2.688737202769e-06 
   11       8.635591856865e+02       2.766849632645e-03       3.747073831523e-05       8.414731150362e-01       1.113567758694e-07       2.495213252268e-03       1.615932341423e-06 
   12       8.671307047098e+02       2.419621872026e-03       4.431538755065e-05       8.509121655033e-01       1.149783056992e-07       2.397469232520e-03       2.935008441472e-07 
   13       8.728008633678e+02       2.333387446999e-03       5.174028437996e-05       8.922808377323e-01       1.182179005854e-07       2.312099776275e-03      -8.295285850430e-07 
   14       8.800317338157e+02       2.425372753369e-03       5.974727147522e-05       9.490477323070e-01       1.211186296039e-07       2.223358104276e-03      -1.508232111683e-06 
   15       8.888030328714e+02       2.606130457543e-03       6.833816831030e-05       1.010950428172e+00       1.237166336659e-07       2.143094106263e-03      -1.659572578335e-06 
   16       8.986927704891e+02       2.870731960391e-03       7.751475083317e-05       1.073628252073e+00       1.260427764268e-07       2.068132242274e-03      -1.384273517800e-06 
   17       9.095962424746e+02       3.268315239229e-03       8.727873401881e-05       1.136399656533e+00       1.281238064889e-07       1.996952633713e-03      -8.834063917472e-07 
   18       9.211702752446e+02       3.835596074018e-03       9.763175635646e-05       1.200833684437e+00       1.299341042152e-07       1.928630522931e-03      -3.898068104030e-07 
   19       9.335036352936e+02       4.571096097601e-03       1.085753751382e-04       1.268663874956e+00       1.316399491277e-07       1.865206908338e-03      -4.777158584354e-08 
   20       9.464322200764e+02       5.456261569808e-03       1.201110452763e-04       1.341242279895e+00       1.331052949862e-07       1.805401028235e-03       3.471960999228e-08 
   21       9.599993358650e+02       6.486221796391e-03       1.322401338942e-04       1.418157537428e+00       1.344181562481e-07       1.749247491828e-03      -1.283217763008e-07 
   22       9.740694685363e+02       7.657985196751e-03       1.449638980674e-04       1.497727422244e+00       1.355510262994e-07       1.694626496743e-03      -4.372716975274e-07 
   23       9.886456557254e+02       8.971135582353e-03       1.582835127637e-04       1.576986001352e+00       1.365785471376e-07       1.642128753738e-03      -7.878146462060e-07 
   24       1.003606761894e+03       1.042520557842e-02       1.722000447862e-04       1.652232574255e+00       1.374558203490e-07       1.591736683498e-03      -1.057403749111e-06 
   25       1.018941855368e+03       1.202326452502e-02       1.867144847375e-04       1.721150492745e+00       1.382176292719e-07       1.544125650601e-03      -1.190640769840e-06 
   26       1.034572045572e+03       1.377071407404e-02       2.018277294916e-04       1.781973413524e+00       1.388210235125e-07       1.499079172706e-03      -1.166750960174e-06 
   27       1.050568831500e+03       1.568072182653e-02       2.175406485117e-04       1.834314227686e+00       1.393611247417e-07       1.457094353622e-03      -1.016945249997e-06 
   28       1.066924246349e+03       1.777065051916e-02       2.338540255845e-04       1.878431972561e+00       1.398651191170e-07       1.417504784752e-03      -8.160653342760e-07 
   29       1.083523614869e+03       2.005814083975e-02       2.507685608618e-04       1.914840985444e+00       1.402260357858e-07       1.378399320568e-03      -6.588435335746e-07 
   30       1.100422618402e+03       2.255232504134e-02       2.682849733828e-04       1.943991198742e+00       1.404986142791e-07       1.340407407931e-03      -5.762596615307e-07 
   31       1.117651976267e+03       2.525907425283e-02       2.864039328723e-04       1.966497394184e+00       1.407208165292e-07       1.304503937295e-03      -5.763421327182e-07 
   32       1.135166303181e+03       2.818358899630e-02       3.051260528620e-04       1.982866789487e+00       1.408480396049e-07       1.271016277007e-03      -6.577376572135e-07 
   33       1.152962330284e+03       3.133202427286e-02       3.244519680632e-04       1.992194507042e+00       1.409197004977e-07       1.239942449139e-03      -7.908610231681e-07 
   34       1.170985194375e+03       3.471034529399e-02       3.443822837735e-04       1.992967668375e+00       1.409444389278e-07       1.210485530939e-03      -9.236618005719e-07 
   35       1.189139126117e+03       3.832425243309e-02       3.649175681344e-04       1.983644579874e+00       1.408724716239e-07       1.181323740247e-03      -9.987000636263e-07 
   36       1.207466055597e+03       4.218057557436e-02       3.860583961835e-04       1.963562873583e+00       1.407498352614e-07       1.152608272229e-03      -1.010083335787e-06 
   37       1.226017057076e+03       4.628631084185e-02       4.078053217625e-04       1.932334775664e+00       1.406208643821e-07       1.124727501813e-03      -9.730927840173e-07 
   38       1.244798304342e+03       5.064822923634e-02       4.301588669261e-04       1.889609365088e+00       1.404701925673e-07       1.097725818256e-03      -9.117473754948e-07 
   39       1.263786832661e+03       5.527259771439e-02       4.531195174787e-04       1.835158942132e+00       1.402401691973e-07       1.071424735982e-03      -8.539437405738e-07 
   40       1.282997128534e+03       6.016426999156e-02       4.766877057013e-04       1.769168231133e+00       1.399572521066e-07       1.046067858996e-03      -8.104286858382e-07 
   41       1.302428409284e+03       6.532725681771e-02       5.008638231467e-04       1.692047462178e+00       1.396522392871e-07       1.021865845045e-03      -7.874392779465e-07 
   42       1.322041912672e+03       7.076492412127e-02       5.256482258729e-04       1.604365211314e+00       1.393168265124e-07       9.987760373868e-04      -7.920504892871e-07 
   43       1.341786468292e+03       7.648050474847e-02       5.510412092015e-04       1.506604828748e+00       1.389175907009e-07       9.765973767226e-04      -8.298540527684e-07 
   44       1.361693512990e+03       8.247891314098e-02       5.770429215532e-04       1.398322484999e+00       1.384827635717e-07       9.554358669043e-04      -8.965540635499e-07 
   45       1.381805459199e+03       8.876543330986e-02       6.036534244839e-04       1.278741173944e+00       1.380458964222e-07       9.353675557207e-04      -9.825860204410e-07 
   46       1.402147202747e+03       9.534521621066e-02       6.308727148736e-04       1.146972993688e+00       1.376167611588e-07       9.162813411686e-04      -1.074759235433e-06 
