# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870589e-05       8.603969310807e-03 
       2.251315038780e-05       1.859118776643e-02 
       3.497711552607e-05       2.837914428910e-02 
       4.751294379687e-05       3.808059833597e-02 
       6.015230526950e-05       4.775769340110e-02 
       7.292761315928e-05       5.745575895700e-02 
       8.587229442275e-05       6.721271809263e-02 
       9.902107156134e-05       7.706291533878e-02 
       1.124102590266e-04       8.703904455685e-02 
       1.260780776503e-04       9.717328879750e-02 
       1.400649905364e-04       1.074980918848e-01 
       1.544140638297e-04       1.180467409445e-01 
       1.691713556719e-04       1.288538491591e-01 
       1.843863364392e-04       1.399557846715e-01 
       2.001123429508e-04       1.513910790102e-01 
       2.164070686664e-04       1.632008213680e-01 
       2.333330908519e-04       1.754290583709e-01 
       2.509584341338e-04       1.881231975600e-01 
       2.693571676253e-04       2.013344128108e-01 
       2.886100296644e-04       2.151180655528e-01 
       3.088050699157e-04       2.295341107832e-01 
       3.300382928713e-04       2.446474936274e-01 
       3.524142793491e-04       2.605285225162e-01 
       3.760467531986e-04       2.772531770996e-01 
       4.010590489279e-04       2.949033411481e-01 
       4.275844224802e-04       3.135669029913e-01 
       4.557661323873e-04       3.333376827211e-01 
       4.857572031478e-04       3.543151216961e-01 
       5.177197688885e-04       3.766036659466e-01 
       5.518238862787e-04       4.003117634891e-01 
       5.882457055603e-04       4.255504250103e-01 
       6.271649027702e-04       4.524312721860e-01 
       6.687613103773e-04       4.810640067663e-01 
       7.132107422216e-04       5.115534150090e-01 
       7.606800931852e-04       5.439958418482e-01 
       8.113219001189e-04       5.784753975885e-01 
       8.652686660505e-04       6.150600467565e-01 
       9.226273542794e-04       6.537978884967e-01 
       9.834745268089e-04       6.947139911086e-01 
       1.047852607621e-03       7.378080574953e-01 
       1.115767679970e-03       7.830532319509e-01 
       1.187189079911e-03       8.303961851983e-01 
       1.262050848026e-03       8.797584221765e-01 
       1.340254886192e-03       9.310321268717e-01 
       1.421675479984e-03       9.841034986580e-01 
       1.506164725124e-03       1.038837459488e+00 
       1.593558355216e-03       1.095088189913e+00 
       1.683681503499e-03       1.152703302644e+00 
       1.776354022962e-03       1.211527635784e+00 
       1.871395108775e-03       1.271406523988e+00 
