# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.008985870589e-05       2.425138640709e+05       2.425138556359e+05       3.233504363221e+05       3.233502733486e+05       0.000000000000e+00       2.448565706229e+05 
       2.251315038780e-05       2.425136286355e+05       2.425135866413e+05       3.233446223700e+05       3.233438110145e+05       0.000000000000e+00       2.448561604817e+05 
       3.497711552607e-05       2.425131773166e+05       2.425130759519e+05       3.233342906290e+05       3.233323322751e+05       0.000000000000e+00       2.448553997592e+05 
       4.751294379687e-05       2.425125316167e+05       2.425123445738e+05       3.233193885994e+05       3.233157751325e+05       0.000000000000e+00       2.448543076212e+05 
       6.015230526950e-05       2.425116735328e+05       2.425113737453e+05       3.232997676908e+05       3.232939764304e+05       0.000000000000e+00       2.448528619868e+05 
       7.292761315928e-05       2.425106041434e+05       2.425101634932e+05       3.232752593530e+05       3.232667476540e+05       0.000000000000e+00       2.448510586140e+05 
       8.587229442275e-05       2.425093107306e+05       2.425086997596e+05       3.232456282301e+05       3.232338278435e+05       0.000000000000e+00       2.448488778156e+05 
       9.902107156134e-05       2.425077814907e+05       2.425069690952e+05       3.232105877846e+05       3.231948988794e+05       0.000000000000e+00       2.448462991893e+05 
       1.124102590266e-04       2.425060020327e+05       2.425049551004e+05       3.231697910345e+05       3.231495753914e+05       0.000000000000e+00       2.448432979300e+05 
       1.260780776503e-04       2.425039532060e+05       2.425026362123e+05       3.231228214654e+05       3.230973950946e+05       0.000000000000e+00       2.448398424440e+05 
       1.400649905364e-04       2.425016131520e+05       2.424999877427e+05       3.230691884239e+05       3.230378134068e+05       0.000000000000e+00       2.448358961963e+05 
       1.544140638297e-04       2.424989572390e+05       2.424969817583e+05       3.230083181459e+05       3.229701934214e+05       0.000000000000e+00       2.448314173662e+05 
       1.691713556719e-04       2.424959559754e+05       2.424935848576e+05       3.229395406118e+05       3.228937913969e+05       0.000000000000e+00       2.448263564019e+05 
       1.843863364392e-04       2.424925754604e+05       2.424897586948e+05       3.228620772997e+05       3.228077434429e+05       0.000000000000e+00       2.448206561020e+05 
       2.001123429508e-04       2.424887761555e+05       2.424854584550e+05       3.227750250651e+05       3.227110471925e+05       0.000000000000e+00       2.448142498829e+05 
       2.164070686664e-04       2.424845115080e+05       2.424806315244e+05       3.226773366650e+05       3.226025406644e+05       0.000000000000e+00       2.448070598648e+05 
       2.333330908519e-04       2.424797289694e+05       2.424752183659e+05       3.225678010169e+05       3.224808802212e+05       0.000000000000e+00       2.447989972383e+05 
       2.509584341338e-04       2.424743667187e+05       2.424691489322e+05       3.224450154904e+05       3.223445097640e+05       0.000000000000e+00       2.447899581942e+05 
       2.693571676253e-04       2.424683533432e+05       2.424623425614e+05       3.223073557947e+05       3.221916282146e+05       0.000000000000e+00       2.447798227460e+05 
       2.886100296644e-04       2.424616063626e+05       2.424547057480e+05       3.221529423183e+05       3.220201508735e+05       0.000000000000e+00       2.447684521422e+05 
       3.088050699157e-04       2.424540296599e+05       2.424461295867e+05       3.219795977713e+05       3.218276634628e+05       0.000000000000e+00       2.447556851039e+05 
