# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513701598410e-10       4.794061309877e-15       3.799639134832e-13       0.000000000000e+00       8.309507263954e-09       5.059559019551e-10      -2.012705961250e-12 
    3       1.417659071117e-10       6.054455079548e-15       4.281470648540e-13       0.000000000000e+00       5.130180586116e-09       3.573371943950e-10      -1.512279342125e-12 
    4       1.331064501939e-10       5.148634146857e-15       3.998423472147e-13       0.000000000000e+00       3.573680256073e-09       2.696016134199e-10      -9.768492123124e-13 
    5       1.266697562796e-10       3.372659995890e-15       3.392159058060e-13       0.000000000000e+00       2.668944410289e-09       2.123293972128e-10      -5.310688251222e-13 
    6       1.222198253431e-10       1.855423284561e-15       2.716412338914e-13       0.000000000000e+00       2.084843331768e-09       1.723474946596e-10      -2.072811132762e-13 
    7       1.192694115253e-10       9.975024965110e-16       2.117881001687e-13       0.000000000000e+00       1.680763071737e-09       1.431018220961e-10      -5.100262476190e-15 
    8       1.174599995257e-10       6.487738220488e-16       1.659834608091e-13       0.000000000000e+00       1.387303661702e-09       1.209850830126e-10       9.390131280959e-14 
    9       1.164930935507e-10       5.211429708219e-16       1.355047035592e-13       0.000000000000e+00       1.166795377341e-09       1.038464999183e-10       1.170705182691e-13 
   10       1.161208940485e-10       4.391242289540e-16       1.187464091740e-13       0.000000000000e+00       9.967087749735e-10       9.028587379562e-11       9.395007553530e-14 
   11       1.162469800382e-10       3.650871688935e-16       1.126718614821e-13       0.000000000000e+00       8.433100112534e-10       7.969085766957e-11       5.144597014948e-14 
   12       1.167254320770e-10       3.173637052556e-16       1.138558780946e-13       0.000000000000e+00       7.367732631635e-10       7.044076193568e-11       8.499902064189e-15 
   13       1.174867123432e-10       3.045082412602e-16       1.193296798971e-13       0.000000000000e+00       6.493164535926e-10       6.289771905140e-11      -2.257925951129e-14 
   14       1.184581756868e-10       3.152921799440e-16       1.269141095205e-13       0.000000000000e+00       5.765519217353e-10       5.631106945381e-11      -3.808483758959e-14 
   15       1.196375255461e-10       3.376961126145e-16       1.351927540605e-13       0.000000000000e+00       5.153035365957e-10       5.077422076298e-11      -3.912189328919e-14 
   16       1.209650672704e-10       3.711238481230e-16       1.435617658651e-13       0.000000000000e+00       4.632290303178e-10       4.602417078286e-11      -3.059335006568e-14 
   17       1.224306602009e-10       4.222050769286e-16       1.519225456011e-13       0.000000000000e+00       4.185589057043e-10       4.189586672469e-11      -1.835912928087e-14 
   18       1.239861409474e-10       4.958761405693e-16       1.605148915145e-13       0.000000000000e+00       3.797897658153e-10       3.827330573501e-11      -7.625566657528e-15 
   19       1.256430454478e-10       5.918914636055e-16       1.695792780824e-13       0.000000000000e+00       3.463031949317e-10       3.511674191299e-11      -8.588017081325e-16 
   20       1.273802411963e-10       7.077057179330e-16       1.792955594741e-13       0.000000000000e+00       3.168114718149e-10       3.233226410415e-11       6.144806849162e-16 
   21       1.292039194230e-10       8.427144621969e-16       1.896169934760e-13       0.000000000000e+00       2.908513614400e-10       2.986851735154e-11      -2.207669332085e-15 
   22       1.310955691069e-10       9.965682863717e-16       2.003214271914e-13       0.000000000000e+00       2.678009491664e-10       2.764906914396e-11      -7.115662732463e-15 
   23       1.330532315501e-10       1.169034266319e-15       2.109692499064e-13       0.000000000000e+00       2.473433635204e-10       2.565122406936e-11      -1.224113809749e-14 
   24       1.350598901553e-10       1.359835408695e-15       2.210172810030e-13       0.000000000000e+00       2.290060594447e-10       2.384725535106e-11      -1.575988190117e-14 
   25       1.371264207311e-10       1.569516944916e-15       2.301946683538e-13       0.000000000000e+00       2.125733009953e-10       2.222966496946e-11      -1.704086124221e-14 
   26       1.392534057368e-10       1.799089346532e-15       2.383258472287e-13       0.000000000000e+00       1.977475175889e-10       2.077883070774e-11      -1.603192690257e-14 
   27       1.414266524489e-10       2.050609443804e-15       2.453431461349e-13       0.000000000000e+00       1.843507443779e-10       1.946641406178e-11      -1.354555917548e-14 
   28       1.436193237451e-10       2.326448812955e-15       2.512410227199e-13       0.000000000000e+00       1.721519326643e-10       1.825441222173e-11      -1.073999331970e-14 
   29       1.458415893312e-10       2.628054450538e-15       2.560849939777e-13       0.000000000000e+00       1.610887158226e-10       1.714166998126e-11      -8.251033452443e-15 
   30       1.481044644010e-10       2.956570859637e-15       2.599984833635e-13       0.000000000000e+00       1.510422495523e-10       1.612999522723e-11      -6.645342925476e-15 
   31       1.504079487501e-10       3.313072210481e-15       2.631067085658e-13       0.000000000000e+00       1.418075578783e-10       1.521161634359e-11      -6.413680006032e-15 
   32       1.527544377096e-10       3.698477247957e-15       2.653539713127e-13       0.000000000000e+00       1.333368732292e-10       1.437608950619e-11      -7.275434017545e-15 
   33       1.551374878665e-10       4.113587955243e-15       2.666167074020e-13       0.000000000000e+00       1.255702107297e-10       1.360401202703e-11      -8.597003880564e-15 
   34       1.575438286119e-10       4.559159632403e-15       2.667535577320e-13       0.000000000000e+00       1.183987969826e-10       1.287235680271e-11      -9.698720038788e-15 
   35       1.599778970082e-10       5.036099816180e-15       2.656222714366e-13       0.000000000000e+00       1.117858669135e-10       1.218305620969e-11      -1.034746800325e-14 
   36       1.624441211146e-10       5.545330799300e-15       2.630660061622e-13       0.000000000000e+00       1.056783164610e-10       1.154359147385e-11      -1.042979319848e-14 
   37       1.649419382885e-10       6.087720200202e-15       2.589412728830e-13       0.000000000000e+00       9.999660254830e-11       1.095829345601e-11      -9.880008375895e-15 
   38       1.674738155366e-10       6.664033947268e-15       2.532341589788e-13       0.000000000000e+00       9.472599885036e-11       1.042528009831e-11      -8.879932712959e-15 
   39       1.700386490931e-10       7.274960821115e-15       2.459831979668e-13       0.000000000000e+00       8.984973933684e-11       9.937951163712e-12      -7.729987105771e-15 
   40       1.726287795307e-10       7.921119301487e-15       2.372500530818e-13       0.000000000000e+00       8.532126097722e-11       9.485356014337e-12      -6.801558936881e-15 
   41       1.752343210627e-10       8.603100321815e-15       2.270965956902e-13       0.000000000000e+00       8.108041232977e-11       9.055494985289e-12      -6.434626182731e-15 
   42       1.778594179681e-10       9.321623042402e-15       2.155037988608e-13       0.000000000000e+00       7.711467211561e-11       8.647364439543e-12      -6.579660504972e-15 
   43       1.805101784444e-10       1.007742224558e-14       2.024287987361e-13       0.000000000000e+00       7.341348548105e-11       8.262238766909e-12      -7.046774562268e-15 
   44       1.831898412361e-10       1.087120426691e-14       1.878266717984e-13       0.000000000000e+00       6.994989494474e-11       7.900254673508e-12      -7.599796519316e-15 
   45       1.858994774353e-10       1.170360916666e-14       1.716509306710e-13       0.000000000000e+00       6.669015923509e-11       7.560689668226e-12      -8.012302730980e-15 
   46       1.886410824419e-10       1.257508670003e-14       1.538558362829e-13       0.000000000000e+00       6.362911531596e-11       7.243136285412e-12      -8.262342420770e-15 
