# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513706451399e-10       4.794286631849e-15       3.799639093020e-13       2.253219267005e-19       8.309507263954e-09       5.059559019551e-10      -2.012705961250e-12 
    3       1.417668754422e-10       6.054905823794e-15       4.281470462188e-13       4.507438002533e-19       5.130180586116e-09       3.573371943950e-10      -1.512279342125e-12 
    4       1.331080590989e-10       5.149385608721e-15       3.998422936629e-13       7.514596723779e-19       3.573680256073e-09       2.696016134199e-10      -9.768492123124e-13 
    5       1.266721604434e-10       3.373787600418e-15       3.392157837925e-13       1.127597026873e-18       2.668944410289e-09       2.123293972128e-10      -5.310688251222e-13 
    6       1.222231760126e-10       1.857002615395e-15       2.716409939334e-13       1.579310391094e-18       2.084843331768e-09       1.723474946596e-10      -2.072811132762e-13 
    7       1.192738560166e-10       9.996093223743e-16       2.117876742424e-13       2.106778340666e-18       1.680763071737e-09       1.431018220961e-10      -5.100262476190e-15 
    8       1.174656808241e-10       6.514841203106e-16       1.659827600328e-13       2.710200117579e-18       1.387303661702e-09       1.209850830126e-10       9.390131280959e-14 
    9       1.165001500117e-10       5.245329476125e-16       1.355036161878e-13       3.389791964570e-18       1.166795377341e-09       1.038464999183e-10       1.170705182691e-13 
   10       1.161294592040e-10       4.432703353171e-16       1.187447989202e-13       4.145783285814e-18       9.967087749735e-10       9.028587379562e-11       9.395007553530e-14 
   11       1.162571825063e-10       3.700661124727e-16       1.126695661697e-13       4.978412747084e-18       8.433100112534e-10       7.969085766957e-11       5.144597014948e-14 
   12       1.167373955730e-10       3.232524570500e-16       1.138527086420e-13       5.887924427671e-18       7.367732631635e-10       7.044076193568e-11       8.499902064189e-15 
   13       1.175005557846e-10       3.113840370367e-16       1.193254196210e-13       6.874564131594e-18       6.493164535926e-10       6.289771905140e-11      -2.257925951129e-14 
   14       1.184740133830e-10       3.232325159644e-16       1.269085137417e-13       7.938575957056e-18       5.765519217353e-10       5.631106945381e-11      -3.808483758959e-14 
