# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       8.602880551199e-03 
       2.251775554681e-05       1.859248251157e-02 
       3.498636120247e-05       2.838274937561e-02 
       4.752690064658e-05       3.808650862616e-02 
       6.017107953230e-05       4.776594816843e-02 
       7.295134796122e-05       5.746642616475e-02 
       8.590117158737e-05       6.722589504178e-02 
       9.905531395762e-05       7.707872836011e-02 
       1.124501334903e-04       8.705764798836e-02 
       1.261238985241e-04       9.719486991525e-02 
       1.401171238832e-04       1.075228697565e-01 
       1.544729323814e-04       1.180749712313e-01 
       1.692374445844e-04       1.288858265717e-01 
       1.844601999316e-04       1.399918476667e-01 
       2.001946119095e-04       1.514316131041e-01 
       2.164984592990e-04       1.632462655292e-01 
       2.334344144703e-04       1.754799100393e-01 
       2.510706081373e-04       1.881800201719e-01 
       2.694812277303e-04       2.013978426067e-01 
       2.887471433953e-04       2.151888187259e-01 
       3.089565513139e-04       2.296129933313e-01 
       3.302056182976e-04       2.447354106458e-01 
       3.525991041420e-04       2.606264873278e-01 
       3.762509287930e-04       2.773623203366e-01 
       4.012846398372e-04       2.950249193773e-01 
       4.278337222871e-04       3.137023090103e-01 
       4.560416775835e-04       3.334884492321e-01 
       4.860617833145e-04       3.544829269721e-01 
       5.180564313506e-04       3.767903291124e-01 
       5.521959330389e-04       4.005192436554e-01 
       5.886566801031e-04       4.257808070300e-01 
       6.276185643138e-04       4.526867311679e-01 
       6.692615934693e-04       4.813467955732e-01 
       7.137617003222e-04       5.118658075483e-01 
       7.612858261435e-04       5.443400903146e-01 
       8.119864671933e-04       5.788536584675e-01 
       8.659959882004e-04       6.154743182167e-01 
       9.234211115549e-04       6.542499433511e-01 
       9.843380583383e-04       6.952053077358e-01 
       1.048788822492e-03       7.383397639090e-01 
       1.116778986862e-03       7.836260583547e-01 
       1.188277341593e-03       8.310104482638e-01 
       1.263217364035e-03       8.804139108926e-01 
       1.341500403710e-03       9.317284134225e-01 
       1.423000229794e-03       9.848396959531e-01 
       1.507568477172e-03       1.039612344173e+00 
       1.595040487038e-03       1.095900263222e+00 
       1.685241074673e-03       1.153550844531e+00 
       1.777989849548e-03       1.212408757819e+00 
       1.873105833077e-03       1.272319227810e+00 
       1.970411240942e-03       1.333130755110e+00 
       2.069734400901e-03       1.394697036965e+00 
       2.170911853969e-03       1.456878565572e+00 
       2.273789735124e-03       1.519543470017e+00 
       2.378224553043e-03       1.582568109222e+00 
       2.484083492891e-03       1.645837338794e+00 
       2.591244358339e-03       1.709244215017e+00 
       2.699595254278e-03       1.772690208906e+00 
       2.809034094327e-03       1.836084385970e+00 
       2.919467999818e-03       1.899343407768e+00 
       3.030812641171e-03       1.962390794583e+00 
       3.142991559080e-03       2.025156668042e+00 
       3.255935491967e-03       2.087577124221e+00 
       3.369581727509e-03       2.149593941099e+00 
       3.483873489548e-03       2.211153972798e+00 
       3.598759366763e-03       2.272209428347e+00 
       3.714192786088e-03       2.332715977127e+00 
       3.830131531369e-03       2.392634349747e+00 
       3.946537306183e-03       2.451928342088e+00 
       4.063375338686e-03       2.510566201613e+00 
       4.180614025754e-03       2.568518121266e+00 
       4.298224613405e-03       2.625758846982e+00 
       4.416180910359e-03       2.682265073162e+00 
       4.534459031676e-03       2.738015519251e+00 
       4.653037169509e-03       2.792993390431e+00 
       4.771895388214e-03       2.847181642223e+00 
       4.891015441268e-03       2.900567492479e+00 
       5.010380607654e-03       2.953138931608e+00 
       5.129975545600e-03       3.004885459676e+00 
       5.249786161774e-03       3.055799955614e+00 
       5.369799494223e-03       3.105875054714e+00 
       5.490003607536e-03       3.155106922451e+00 
       5.610387498875e-03       3.203491298722e+00 
       5.730941013670e-03       3.251025626626e+00 
       5.851654769906e-03       3.297708985893e+00 
       5.972520090068e-03       3.343542062798e+00 
       6.093528939880e-03       3.388525234319e+00 
       6.214673873133e-03       3.432660465102e+00 
       6.335947981903e-03       3.475951194562e+00 
       6.457344851613e-03       3.518400145749e+00 
       6.578858520406e-03       3.560013212069e+00 
       6.700483442374e-03       3.600794885477e+00 
       6.822214454238e-03       3.640750198973e+00 
       6.944046745134e-03       3.679885156887e+00 
       7.065975829162e-03       3.718208361198e+00 
       7.187997520434e-03       3.755724032005e+00 
       7.310107910369e-03       3.792443096265e+00 
       7.432303346994e-03       3.828372468272e+00 
       7.554580416072e-03       3.863519894081e+00 
       7.676935923868e-03       3.897892128013e+00 
       7.799366881390e-03       3.931500113772e+00 
       7.921870489981e-03       3.964352028318e+00 
       8.044444128110e-03       3.996456962726e+00 
       8.167085339271e-03       4.027822437971e+00 
       8.289791820870e-03       4.058461326060e+00 
       8.412561414027e-03       4.088379911735e+00 
       8.535392094189e-03       4.117587090729e+00 
       8.658281962499e-03       4.146093000108e+00 
       8.781229237845e-03       4.173906954340e+00 
       8.904232249532e-03       4.201038040256e+00 
       9.027289430517e-03       4.227495298834e+00 
       9.150399311170e-03       4.253287172893e+00 
       9.273560513504e-03       4.278423285767e+00 
       9.396771745844e-03       4.302912242319e+00 
       9.520031797891e-03       4.326762323499e+00 
       9.643339536152e-03       4.349983293977e+00 
       9.766693899711e-03       4.372581330708e+00 
       9.890093896300e-03       4.394568178193e+00 
       1.001353859866e-02       4.415949053876e+00 
       1.013702714118e-02       4.436732581662e+00 
       1.026055871672e-02       4.456927193991e+00 
       1.038413257374e-02       4.476540649808e+00 
       1.050774801356e-02       4.495582476351e+00 
       1.063140438788e-02       4.514054500034e+00 
       1.075510109639e-02       4.531971749895e+00 
       1.087883758462e-02       4.549335108764e+00 
       1.100261334193e-02       4.566154158696e+00 
       1.112642789957e-02       4.582435968779e+00 
       1.125028082899e-02       4.598187201625e+00 
       1.137417174014e-02       4.613413910270e+00 
       1.149810028000e-02       4.628124370611e+00 
       1.162206613114e-02       4.642321815629e+00 
       1.174606901039e-02       4.656015748282e+00 
       1.187010866765e-02       4.669211181173e+00 
       1.199418488471e-02       4.681914432842e+00 
       1.211829747421e-02       4.694131173453e+00 
       1.224244627863e-02       4.705868488394e+00 
       1.236663116941e-02       4.717131066578e+00 
       1.249085204607e-02       4.727924632699e+00 
       1.261510883545e-02       4.738256301849e+00 
       1.273940149094e-02       4.748128963610e+00 
       1.286372999182e-02       4.757552603326e+00 
       1.298809434267e-02       4.766529127771e+00 
       1.311249457272e-02       4.775064149349e+00 
       1.323693073542e-02       4.783163848809e+00 
       1.336140290784e-02       4.790834405705e+00 
       1.348591119034e-02       4.798081507235e+00 
       1.361045570605e-02       4.804908776312e+00 
       1.373503660061e-02       4.811322101576e+00 
       1.385965404174e-02       4.817327288051e+00 
       1.398430821901e-02       4.822928425957e+00 
       1.410899934352e-02       4.828132028435e+00 
       1.423372764771e-02       4.832940234584e+00 
       1.435849338511e-02       4.837362801218e+00 
       1.448329683018e-02       4.841400273326e+00 
       1.460813827812e-02       4.845059124824e+00 
       1.473301804481e-02       4.848347037777e+00 
       1.485793646664e-02       4.851265566158e+00 
       1.498289390044e-02       4.853818407397e+00 
       1.510789072347e-02       4.856016276279e+00 
       1.523292733332e-02       4.857858416085e+00 
       1.535800414793e-02       4.859350958819e+00 
       1.548312160558e-02       4.860502396993e+00 
       1.560828016494e-02       4.861314864860e+00 
       1.573348030509e-02       4.861788334294e+00 
       1.585872252561e-02       4.861933059006e+00 
       1.598400734663e-02       4.861753997711e+00 
       1.610933530897e-02       4.861251831006e+00 
       1.623470697422e-02       4.860436966905e+00 
       1.636012292492e-02       4.859310929019e+00 
       1.648558376469e-02       4.857875559269e+00 
       1.661109011841e-02       4.856139047763e+00 
       1.673664263240e-02       4.854103311668e+00 
       1.686224197463e-02       4.851776390181e+00 
       1.698788883495e-02       4.849160662972e+00 
       1.711358392534e-02       4.846256566310e+00 
       1.723932798012e-02       4.843075303713e+00 
       1.736512175629e-02       4.839616069000e+00 
       1.749096603375e-02       4.835885239953e+00 
       1.761686161566e-02       4.831884218310e+00 
       1.774280932873e-02       4.827627851883e+00 
       1.786881002356e-02       4.823103344117e+00 
       1.799486457501e-02       4.818329366928e+00 
       1.812097388257e-02       4.813303037434e+00 
       1.824713887072e-02       4.808026420557e+00 
       1.837336048938e-02       4.802509035841e+00 
       1.849963971429e-02       4.796753720933e+00 
       1.862597754748e-02       4.790758613680e+00 
       1.875237501771e-02       4.784534632765e+00 
       1.887883318094e-02       4.778081961381e+00 
       1.900535312085e-02       4.771409306343e+00 
       1.913193594933e-02       4.764512841152e+00 
       1.925858280700e-02       4.757402493986e+00 
       1.938529486380e-02       4.750075398789e+00 
       1.951207331950e-02       4.742542686037e+00 
       1.963891940434e-02       4.734801658759e+00 
       1.976583437961e-02       4.726867604801e+00 
       1.989281953829e-02       4.718723942477e+00 
       2.001987620571e-02       4.710389917103e+00 
       2.014700574018e-02       4.701868416680e+00 
       2.027420953374e-02       4.693154616574e+00 
       2.040148901283e-02       4.684258086009e+00 
       2.052884563906e-02       4.675180016189e+00 
       2.065628090997e-02       4.665926459034e+00 
       2.078379635978e-02       4.656500136532e+00 
       2.091139356027e-02       4.646901761204e+00 
       2.103907412157e-02       4.637128606488e+00 
       2.116683969302e-02       4.627202364573e+00 
       2.129469196411e-02       4.617104325582e+00 
       2.142263266535e-02       4.606848076878e+00 
       2.155066356926e-02       4.596448826155e+00 
       2.167878649131e-02       4.585899653171e+00 
       2.180700329099e-02       4.575186997545e+00 
       2.193531587278e-02       4.564338453840e+00 
       2.206372618728e-02       4.553342930725e+00 
       2.219223623229e-02       4.542210569310e+00 
       2.232084805397e-02       4.530946945888e+00 
       2.244956374803e-02       4.519545161710e+00 
       2.257838546090e-02       4.508009290769e+00 
       2.270731539105e-02       4.496353934925e+00 
       2.283635579024e-02       4.484569742113e+00 
       2.296550896486e-02       4.472654133416e+00 
       2.309477727734e-02       4.460639740544e+00 
       2.322416314755e-02       4.448500144535e+00 
       2.335366905427e-02       4.436248009045e+00 
       2.348329753672e-02       4.423883441959e+00 
       2.361305119611e-02       4.411408129975e+00 
       2.374293269725e-02       4.398829633729e+00 
       2.387294477028e-02       4.386154900852e+00 
       2.400309021230e-02       4.373371262721e+00 
       2.413337188923e-02       4.360500481421e+00 
       2.426379273761e-02       4.347532480317e+00 
       2.439435576650e-02       4.334462494892e+00 
       2.452506405949e-02       4.321312738579e+00 
       2.465592077667e-02       4.308069817238e+00 
       2.478692915676e-02       4.294753869308e+00 
       2.491809251927e-02       4.281341507402e+00 
       2.504941426679e-02       4.267849095987e+00 
       2.518089788722e-02       4.254290271758e+00 
       2.531254695627e-02       4.240652523235e+00 
       2.544436513988e-02       4.226944792821e+00 
       2.557635619681e-02       4.213152292274e+00 
       2.570852398133e-02       4.199309366412e+00 
       2.584087244594e-02       4.185397701118e+00 
       2.597340564424e-02       4.171406646205e+00 
       2.610612773389e-02       4.157369653096e+00 
       2.623904297966e-02       4.143268223951e+00 
       2.637215575665e-02       4.129105703830e+00 
       2.650547055353e-02       4.114896157610e+00 
       2.663899197597e-02       4.100618688677e+00 
       2.677272475021e-02       4.086303897038e+00 
       2.690667372668e-02       4.071935997947e+00 
       2.704084388387e-02       4.057512846094e+00 
       2.717524033223e-02       4.043049258212e+00 
       2.730986831833e-02       4.028551209645e+00 
       2.744473322907e-02       4.014003634491e+00 
       2.757984059617e-02       3.999414712970e+00 
       2.771519610072e-02       3.984779422789e+00 
       2.785080557800e-02       3.970125764669e+00 
       2.798667502244e-02       3.955415577570e+00 
       2.812281059279e-02       3.940691257694e+00 
       2.825921861753e-02       3.925918143682e+00 
       2.839590560043e-02       3.911133317926e+00 
       2.853287822642e-02       3.896310290773e+00 
       2.867014336763e-02       3.881455514756e+00 
       2.880770808975e-02       3.866582441790e+00 
       2.894557965859e-02       3.851682115143e+00 
       2.908376554696e-02       3.836771517922e+00 
       2.922227344183e-02       3.821830001057e+00 
       2.936111125182e-02       3.806870039605e+00 
