# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       1.008985923246e-05      -1.613020064161e-05      -1.209770179054e-05      -1.209770221014e-05      -1.209770220348e-05       0.000000000000e+00      -1.613019252140e-05      -1.221456714188e-05       6.123585928107e-01       5.967943802706e-01      -1.541022478535e-13      -1.317916575802e-16      -8.878299618202e-19                      nan      -1.641055402424e-13      -6.075017676933e-15 
       2.251775554681e-05      -8.033631702009e-05      -6.025351054217e-05      -6.025352095124e-05      -6.025352078587e-05       0.000000000000e+00      -8.033611559140e-05      -6.083553272088e-05       6.123572705882e-01       5.967935100860e-01      -3.822638864425e-12      -3.269415168630e-15      -2.203455163038e-17                      nan      -4.070774073458e-12      -1.506959949695e-13 
       3.498636120247e-05      -1.939301723342e-04      -1.454550464625e-04      -1.454551071234e-04      -1.454551061597e-04       0.000000000000e+00      -1.939289985160e-04      -1.468599304821e-04       6.123549093858e-01       5.967919384979e-01      -2.227656755832e-11      -1.905306988380e-14      -1.284118431366e-16                      nan      -2.372251390504e-11      -8.781853764727e-13 
       4.752690064658e-05      -3.578547417044e-04      -2.684163140168e-04      -2.684165205879e-04      -2.684165173061e-04       0.000000000000e+00      -3.578507446390e-04      -2.710084329020e-04       6.123514953243e-01       5.967896629144e-01      -7.585726469780e-11      -6.488151428302e-14      -4.372772018598e-16                      nan      -8.078072066444e-11      -2.990434749617e-12 
       6.017107953230e-05      -5.735575773192e-04      -4.302330727513e-04      -4.302336034546e-04      -4.302335950229e-04       0.000000000000e+00      -5.735473089463e-04      -4.343870428406e-04       6.123470131801e-01       5.967866760255e-01      -1.948822324465e-10      -1.666857477300e-13      -1.123458683809e-15                      nan      -2.075296123113e-10      -7.682600650266e-12 
       7.295134796122e-05      -8.430146218635e-04      -6.324011648024e-04      -6.324023114706e-04      -6.324022932527e-04       0.000000000000e+00      -8.429924374486e-04      -6.385055823076e-04       6.123414080408e-01       5.967829454707e-01      -4.210476509967e-10      -3.601507502471e-13      -2.427413889354e-15                      nan      -4.483694838107e-10      -1.659839413376e-11 
       8.590117158737e-05      -1.168763923449e-03      -8.768424605331e-04      -8.768446650136e-04      -8.768446299899e-04       0.000000000000e+00      -1.168721278401e-03      -8.853038663779e-04       6.123346270345e-01       5.967784325765e-01      -8.094058724803e-10      -6.923944838054e-13      -4.666652853140e-15                      nan      -8.619211882054e-10      -3.190801403234e-11 
       9.905531395762e-05      -1.553950072399e-03      -1.165939074154e-03      -1.165942971941e-03      -1.165942910013e-03       0.000000000000e+00      -1.553874679403e-03      -1.177186219240e-03       6.123266136849e-01       5.967730969389e-01      -1.431028348846e-09      -1.224227783617e-12      -8.251617443596e-15                      nan      -1.523859834413e-09      -5.641308942329e-11 
       1.124501334903e-04      -2.002380380692e-03      -1.502576665013e-03      -1.502583138631e-03      -1.502583035778e-03       0.000000000000e+00      -2.002255182337e-03      -1.517065154435e-03       6.123172802804e-01       5.967668817114e-01      -2.376504998341e-09      -2.033229070586e-12      -1.370456161301e-14                      nan      -2.530639978044e-09      -9.368462375948e-11 
       1.261238985241e-04      -2.518594331140e-03      -1.890198040839e-03      -1.890208285337e-03      -1.890208122571e-03       0.000000000000e+00      -2.518396234599e-03      -1.908415444332e-03       6.123065379500e-01       5.967597297058e-01      -3.760488832030e-09      -3.217565500698e-12      -2.168769320931e-14                      nan      -4.004330939788e-09      -1.482420752469e-10 
