# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513735364783e-10       4.794173065423e-15       3.799727766118e-13       0.000000000000e+00       8.309677802026e-09       5.059658066557e-10      -2.012752877011e-12 
    3       1.417690397150e-10       6.054596200954e-15       4.281570465997e-13       0.000000000000e+00       5.130283397781e-09       3.573437315502e-10      -1.512314591659e-12 
    4       1.331094038982e-10       5.148754155413e-15       3.998516674641e-13       0.000000000000e+00       3.573750443394e-09       2.696062569986e-10      -9.768719810711e-13 
    5       1.266725278945e-10       3.372738609181e-15       3.392238115152e-13       0.000000000000e+00       2.668996711708e-09       2.123328646460e-10      -5.310812038627e-13 
    6       1.222224495696e-10       1.855466532681e-15       2.716475633503e-13       0.000000000000e+00       2.084884632680e-09       1.723502994902e-10      -2.072859459060e-13 
    7       1.192720131321e-10       9.975257472712e-16       2.117930358342e-13       0.000000000000e+00       1.680796745153e-09       1.431043640669e-10      -5.100382683972e-15 
    8       1.174626801294e-10       6.487889443359e-16       1.659873313841e-13       0.000000000000e+00       1.387331646346e-09       1.209875282006e-10       9.390350189084e-14 
    9       1.164958636167e-10       5.211551180149e-16       1.355078630276e-13       0.000000000000e+00       1.166819212016e-09       1.038488828253e-10       1.170732500741e-13 
   10       1.161236897428e-10       4.391344643554e-16       1.187491727738e-13       0.000000000000e+00       9.967293936629e-10       9.028818296424e-11       9.395226990356e-14 
   11       1.162497761449e-10       3.650956790286e-16       1.126744852855e-13       0.000000000000e+00       8.433279851040e-10       7.969313248233e-11       5.144716431958e-14 
   12       1.167282534389e-10       3.173711021362e-16       1.138585354986e-13       0.000000000000e+00       7.367890026005e-10       7.044288620370e-11       8.500087272911e-15 
   13       1.174895612312e-10       3.045153404505e-16       1.193324665782e-13       0.000000000000e+00       6.493302961545e-10       6.289965453129e-11      -2.257981010377e-14 
   14       1.184610338381e-10       3.152995302760e-16       1.269170761946e-13       0.000000000000e+00       5.765641036759e-10       5.631285465854e-11      -3.808575058990e-14 
   15       1.196404067304e-10       3.377039848919e-16       1.351959208106e-13       0.000000000000e+00       5.153143691002e-10       5.077589294461e-11      -3.912280953690e-14 
   16       1.209679987800e-10       3.711325024865e-16       1.435651368383e-13       0.000000000000e+00       4.632387241082e-10       4.602569656190e-11      -3.059406555368e-14 
   17       1.224336308261e-10       4.222149184966e-16       1.519261081802e-13       0.000000000000e+00       4.185675892591e-10       4.189723262117e-11      -1.835956871129e-14 
   18       1.239891518268e-10       4.958877044310e-16       1.605186466380e-13       0.000000000000e+00       3.797975773918e-10       3.827456968037e-11      -7.625769123673e-15 
   19       1.256461020814e-10       5.919052755018e-16       1.695832389738e-13       0.000000000000e+00       3.463102644847e-10       3.511793266584e-11      -8.588501181312e-16 
   20       1.273833430279e-10       7.077222315306e-16       1.792997458258e-13       0.000000000000e+00       3.168178887964e-10       3.233334759930e-11       6.144878308358e-16 
   21       1.292070635767e-10       8.427341163785e-16       1.896214143431e-13       0.000000000000e+00       2.908572030481e-10       2.986948590061e-11      -2.207696834872e-15 
   22       1.310987485170e-10       9.965915174152e-16       2.003260769008e-13       0.000000000000e+00       2.678062804035e-10       2.764996443947e-11      -7.115788086426e-15 
   23       1.330564251393e-10       1.169061517272e-15       2.109741325853e-13       0.000000000000e+00       2.473482434942e-10       2.565206280367e-11      -1.224137996602e-14 
   24       1.350630673620e-10       1.359867124547e-15       2.210224133545e-13       0.000000000000e+00       2.290105376276e-10       2.384800953300e-11      -1.576020687283e-14 
   25       1.371295911439e-10       1.569553553724e-15       2.302000434281e-13       0.000000000000e+00       2.125774209190e-10       2.223032446414e-11      -1.704121869630e-14 
   26       1.392566259425e-10       1.799131266211e-15       2.383314251386e-13       0.000000000000e+00       1.977513144212e-10       2.077941849365e-11      -1.603226424545e-14 
   27       1.414299488311e-10       2.050657171564e-15       2.453488884586e-13       0.000000000000e+00       1.843542485687e-10       1.946694074193e-11      -1.354584063799e-14 
   28       1.436226718640e-10       2.326502950065e-15       2.512469029616e-13       0.000000000000e+00       1.721551696092e-10       1.825486455499e-11      -1.074020836694e-14 
   29       1.458449675951e-10       2.628115634027e-15       2.560909863390e-13       0.000000000000e+00       1.610917118775e-10       1.714204160584e-11      -8.251189656075e-15 
