# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513740217974e-10       4.794398397420e-15       3.799727724305e-13       2.253319515505e-19       8.309677802026e-09       5.059658066557e-10      -2.012752877011e-12 
    3       1.417700080856e-10       6.055046965254e-15       4.281570279639e-13       4.507638535346e-19       5.130283397781e-09       3.573437315502e-10      -1.512314591659e-12 
    4       1.331110128698e-10       5.149505650707e-15       3.998516139103e-13       7.514931024187e-19       3.573750443394e-09       2.696062569986e-10      -9.768719810711e-13 
    5       1.266749321576e-10       3.373866263869e-15       3.392236894973e-13       1.127647186628e-18       2.668996711708e-09       2.123328646460e-10      -5.310812038627e-13 
    6       1.222258003776e-10       1.857045933765e-15       2.716473233836e-13       1.579380639177e-18       2.084884632680e-09       1.723502994902e-10      -2.072859459060e-13 
    7       1.192764578068e-10       9.996326668399e-16       2.117926098924e-13       2.106872042300e-18       1.680796745153e-09       1.431043640669e-10      -5.100382683972e-15 
    8       1.174683616621e-10       6.514993631333e-16       1.659866305820e-13       2.710320645456e-18       1.387331646346e-09       1.209875282006e-10       9.390350189084e-14 
    9       1.165029203686e-10       5.245452455553e-16       1.355067756160e-13       3.389942699603e-18       1.166819212016e-09       1.038488828253e-10       1.170732500741e-13 
   10       1.161322552510e-10       4.432807550764e-16       1.187475624601e-13       4.145967617783e-18       9.967293936629e-10       9.028818296424e-11       9.395226990356e-14 
   11       1.162599790326e-10       3.700748439785e-16       1.126721898871e-13       4.978634075156e-18       8.433279851040e-10       7.969313248233e-11       5.144716431958e-14 
   12       1.167402174265e-10       3.232601157305e-16       1.138553659265e-13       5.888186160804e-18       7.367890026005e-10       7.044288620370e-11       8.500087272911e-15 
   13       1.175034052410e-10       3.113914418839e-16       1.193282061402e-13       6.874869688804e-18       6.493302961545e-10       6.289965453129e-11      -2.257981010377e-14 
   14       1.184768721839e-10       3.232402192502e-16       1.269114802016e-13       7.938928767572e-18       5.765641036759e-10       5.631285465854e-11      -3.808575058990e-14 
   15       1.196583493786e-10       3.467870114088e-16       1.351887164631e-13       9.080602714525e-18       5.153143691002e-10       5.077589294461e-11      -3.912280953690e-14 
   16       1.209881516684e-10       3.814358505677e-16       1.435560233673e-13       1.030012338836e-17       4.632387241082e-10       4.602569656190e-11      -3.059406555368e-14 
   17       1.224560962245e-10       4.338167838145e-16       1.519147572140e-13       1.159771299404e-17       4.185675892591e-10       4.189723262117e-11      -1.835956871129e-14 
   18       1.240140287294e-10       5.088664660751e-16       1.605047027790e-13       1.297358218834e-17       3.797975773918e-10       3.827456968037e-11      -7.625769123673e-15 
   19       1.256734865704e-10       6.063394615273e-16       1.695663204852e-13       1.442792996266e-17       3.463102644847e-10       3.511793266584e-11      -8.588501181312e-16 
   20       1.274133287103e-10       7.236904801804e-16       1.792794455978e-13       1.596094069494e-17       3.168178887964e-10       3.233334759930e-11       6.144878308358e-16 
   21       1.292397418850e-10       8.603151318119e-16       1.895973008086e-13       1.757278722118e-17       2.908572030481e-10       2.986948590061e-11      -2.207696834872e-15 
   22       1.311342090938e-10       1.015864021152e-15       2.002976952535e-13       1.926362758429e-17       2.678062804035e-10       2.764996443947e-11      -7.115788086426e-15 
   23       1.330947560428e-10       1.190104197432e-15       2.109410059125e-13       2.103360963409e-17       2.473482434942e-10       2.565206280367e-11      -1.224137996602e-14 
   24       1.351043553562e-10       1.382758580565e-15       2.209840440806e-13       2.288286772249e-17       2.290105376276e-10       2.384800953300e-11      -1.576020687283e-14 
   25       1.371739217610e-10       1.594372243153e-15       2.301559146704e-13       2.481152908005e-17       2.125774209190e-10       2.223032446414e-11      -1.704121869630e-14 
   26       1.393040836484e-10       1.825955445594e-15       2.382810023856e-13       2.681970982925e-17       1.977513144212e-10       2.077941849365e-11      -1.603226424545e-14 
   27       1.414806169811e-10       2.079564841689e-15       2.452916212369e-13       2.890752103310e-17       1.843542485687e-10       1.946694074193e-11      -1.354584063799e-14 
   28       1.436766327235e-10       2.357571797229e-15       2.511822268128e-13       3.107506598176e-17       1.721551696092e-10       1.825486455499e-11      -1.074020836694e-14 
   29       1.459023020642e-10       2.661422987155e-15       2.560183249156e-13       3.332244967722e-17       1.610917118775e-10       1.714204160584e-11      -8.251189656075e-15 
