# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       8.603080173196e-03 
       2.251775554681e-05       1.859291589776e-02 
       3.498636120247e-05       2.838341192434e-02 
       4.752690064658e-05       3.808739737428e-02 
       6.017107953230e-05       4.776706309438e-02 
       7.295134796122e-05       5.746776671918e-02 
       8.590117158737e-05       6.722746282073e-02 
       9.905531395762e-05       7.708052497357e-02 
       1.124501334903e-04       8.705967757608e-02 
       1.261238985241e-04       9.719713506170e-02 
       1.401171238832e-04       1.075253759569e-01 
       1.544729323814e-04       1.180777234353e-01 
       1.692374445844e-04       1.288888307733e-01 
       1.844601999316e-04       1.399951106931e-01 
       2.001946119095e-04       1.514351428031e-01 
       2.164984592990e-04       1.632500705854e-01 
       2.334344144703e-04       1.754840002809e-01 
       2.510706081373e-04       1.881844064584e-01 
       2.694812277303e-04       2.014025369547e-01 
       2.887471433953e-04       2.151938344414e-01 
       3.089565513139e-04       2.296183455119e-01 
       3.302056182976e-04       2.447411152216e-01 
       3.525991041420e-04       2.606325622762e-01 
       3.762509287930e-04       2.773687853180e-01 
       4.012846398372e-04       2.950317960412e-01 
       4.278337222871e-04       3.137096211082e-01 
       4.560416775835e-04       3.334962225258e-01 
       4.860617833145e-04       3.544911896269e-01 
       5.180564313506e-04       3.767991117312e-01 
       5.521959330390e-04       4.005285793722e-01 
       5.886566801031e-04       4.257907315695e-01 
       6.276185643138e-04       4.526972828585e-01 
       6.692615934693e-04       4.813580153022e-01 
       7.137617003222e-04       5.118777386460e-01 
       7.612858261435e-04       5.443527783565e-01 
       8.119864671933e-04       5.788671509874e-01 
       8.659959882004e-04       6.154886643288e-01 
       9.234211115549e-04       6.542651932856e-01 
       9.843380583383e-04       6.952215123003e-01 
       1.048788822492e-03       7.383569738960e-01 
       1.116778986862e-03       7.836443239215e-01 
       1.188277341593e-03       8.310298183150e-01 
       1.263217364035e-03       8.804344324908e-01 
       1.341500403710e-03       9.317501311121e-01 
       1.423000229794e-03       9.848626516155e-01 
       1.507568477172e-03       1.039636576533e+00 
       1.595040487038e-03       1.095925807599e+00 
       1.685241074673e-03       1.153577732687e+00 
       1.777989849548e-03       1.212437017897e+00 
       1.873105833077e-03       1.272348884343e+00 
       1.970411240942e-03       1.333161829100e+00 
       2.069734400901e-03       1.394729546006e+00 
       2.170911853969e-03       1.456912524005e+00 
       2.273789735124e-03       1.519578889109e+00 
       2.378224553043e-03       1.582604997356e+00 
       2.484083492891e-03       1.645875701673e+00 
       2.591244358339e-03       1.709284055849e+00 
       2.699595254278e-03       1.772731528604e+00 
       2.809034094327e-03       1.836127183325e+00 
       2.919467999818e-03       1.899387679629e+00 
       3.030812641171e-03       1.962436536017e+00 
       3.142991559080e-03       2.025203872488e+00 
       3.255935491967e-03       2.087625783628e+00 
       3.369581727509e-03       2.149644046058e+00 
       3.483873489548e-03       2.211205512663e+00 
       3.598759366763e-03       2.272262391355e+00 
       3.714192786088e-03       2.332770350484e+00 
       3.830131531369e-03       2.392690119744e+00 
       3.946537306183e-03       2.451985494170e+00 
       4.063375338686e-03       2.510624720487e+00 
       4.180614025754e-03       2.568577990944e+00 
       4.298224613405e-03       2.625820050886e+00 
       4.416180910359e-03       2.682327594171e+00 
       4.534459031676e-03       2.738079339749e+00 
       4.653037169509e-03       2.793058492411e+00 
       4.771895388214e-03       2.847248007278e+00 
       4.891015441268e-03       2.900635101907e+00 
       5.010380607654e-03       2.953207766425e+00 
       5.129975545600e-03       3.004955500654e+00 
       5.249786161774e-03       3.055871183360e+00 
       5.369799494223e-03       3.105947449663e+00 
       5.490003607537e-03       3.155180464951e+00 
       5.610387498875e-03       3.203565969011e+00 
       5.730941013670e-03       3.251101404894e+00 
       5.851654769906e-03       3.297785852305e+00 
       5.972520090068e-03       3.343619997542e+00 
       6.093528939880e-03       3.388604217585e+00 
       6.214673873133e-03       3.432740477103e+00 
       6.335947981903e-03       3.476032215628e+00 
       6.457344851613e-03       3.518482156260e+00 
       6.578858520406e-03       3.560096192539e+00 
       6.700483442374e-03       3.600878816528e+00 
       6.822214454238e-03       3.640835061345e+00 
       6.944046745134e-03       3.679970931457e+00 
       7.065975829162e-03       3.718295029058e+00 
       7.187997520434e-03       3.755811574306e+00 
       7.310107910369e-03       3.792531494403e+00 
