# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.058125597053e-09 
       8.891666132421e-06       3.030088533055e-09 
       1.119394444729e-05       3.002308514404e-09 
       1.409234112291e-05       2.974783184495e-09 
       1.774120635130e-05       2.947510208327e-09 
       2.233485551154e-05       2.920487272308e-09 
       2.811791717223e-05       2.893712084056e-09 
       3.539836045484e-05       2.867182372205e-09 
       4.456389551245e-05       2.840895886214e-09 
       5.610262050917e-05       2.814850396175e-09 
       7.062901462723e-05       2.789043692624e-09 
       8.891666132421e-05       2.763473586354e-09 
       1.119394444729e-04       2.738137908227e-09 
       1.409234112291e-04       2.713034508993e-09 
       1.774120635130e-04       2.688161259107e-09 
       2.233485551154e-04       2.663516048546e-09 
       2.811791717223e-04       2.639096786634e-09 
       3.539836045484e-04       2.614901401861e-09 
       4.456389551245e-04       2.590927841708e-09 
       5.610262050917e-04       2.567174072477e-09 
       7.062901462723e-04       2.543638079111e-09 
       8.891666132421e-04       2.520317865028e-09 
       1.119394444729e-03       2.497211451954e-09 
       1.409234112291e-03       2.474316879748e-09 
       1.774120635130e-03       2.451632206242e-09 
       2.233485551154e-03       2.429155507072e-09 
       2.811791717223e-03       2.406884875519e-09 
       3.539836045484e-03       2.384818422344e-09 
       4.456389551245e-03       2.362954275627e-09 
       5.610262050917e-03       2.341290580612e-09 
       7.062901462723e-03       2.319825499547e-09 
       8.891666132421e-03       2.298557211528e-09 
       1.119394444729e-02       2.277483912346e-09 
       1.409234112291e-02       2.256603814332e-09 
       1.774120635130e-02       2.235915146207e-09 
       2.233485551154e-02       2.215416152931e-09 
       2.811791717223e-02       2.195105095556e-09 
       3.539836045484e-02       2.174980251073e-09 
       4.456389551245e-02       2.155039912274e-09 
       5.610262050917e-02       2.135282387600e-09 
       7.062901462723e-02       2.115706001001e-09 
       8.891666132421e-02       2.096309091793e-09 
       1.119394444729e-01       2.077090014518e-09 
       1.409234112291e-01       2.058047138802e-09 
       1.774120635130e-01       2.039178849220e-09 
       2.233485551154e-01       2.020483545157e-09 
       2.811791717223e-01       2.001959640672e-09 
       3.539836045484e-01       1.983605564364e-09 
       4.456389551245e-01       1.965419759239e-09 
       5.610262050917e-01       1.947400682577e-09 
       7.062901462723e-01       1.929546805804e-09 
       8.891666132421e-01       1.911856614356e-09 
       1.119394444729e+00       1.894328607558e-09 
       1.409234112291e+00       1.876961298493e-09 
       1.774120635130e+00       1.859753213874e-09 
       2.233485551154e+00       1.842702893924e-09 
       2.811791717223e+00       1.825808892246e-09 
       3.539836045484e+00       1.809069775707e-09 
       4.456389551245e+00       1.792484124310e-09 
       5.610262050917e+00       1.776050531080e-09 
       7.062901462723e+00       1.759767601937e-09 
       8.891666132421e+00       1.743633955587e-09 
       1.119394444729e+01       1.727648223395e-09 
       1.409234112291e+01       1.711809049277e-09 
       1.774120635130e+01       1.696115089580e-09 
       2.233485551154e+01       1.680565012971e-09 
       2.811791717223e+01       1.665157500321e-09 
       3.539836045484e+01       1.649891244596e-09 
       4.456389551245e+01       1.634764950744e-09 
       5.610262050917e+01       1.619777335588e-09 
       7.062901462723e+01       1.604927127714e-09 
       8.891666132421e+01       1.590213067364e-09 
       1.119394444729e+02       1.575633906330e-09 
       1.409234112291e+02       1.561188407848e-09 
       1.774120635130e+02       1.546875346492e-09 
