# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.514175281881e-10       4.795299033276e-15       3.801878465642e-13       0.000000000000e+00       8.433978858295e-09       5.087354229400e-10      -2.012671802559e-12 
    3       1.417785656874e-10       6.057089866454e-15       4.283802027948e-13       0.000000000000e+00       5.156340247609e-09       3.577171671406e-10      -1.512503484774e-12 
    4       1.331107486411e-10       5.153120814395e-15       4.001135627418e-13       0.000000000000e+00       3.569743415856e-09       2.694365514021e-10      -9.773647282691e-13 
    5       1.266699385622e-10       3.377359716942e-15       3.395181966012e-13       0.000000000000e+00       2.655616095934e-09       2.119962085980e-10      -5.316319095659e-13 
    6       1.222171322866e-10       1.859481890371e-15       2.719872365629e-13       0.000000000000e+00       2.068675853134e-09       1.719416714791e-10      -2.077484890600e-13 
    7       1.192661227774e-10       1.000584602415e-15       2.121777053418e-13       0.000000000000e+00       1.664717223726e-09       1.426713562538e-10      -5.427285002923e-15 
    8       1.174564175865e-10       6.512681233711e-16       1.664231293743e-13       0.000000000000e+00       1.372675946509e-09       1.205568942799e-10       9.373094475114e-14 
    9       1.164893517874e-10       5.234812592480e-16       1.359982482716e-13       0.000000000000e+00       1.153669202101e-09       1.034256829354e-10       1.170550216932e-13 
   10       1.161165751843e-10       4.414664473341e-16       1.192980150788e-13       0.000000000000e+00       9.845493180874e-10       8.986366737249e-11       9.406018474238e-14 
   11       1.162416152557e-10       3.674267126927e-16       1.132808567328e-13       0.000000000000e+00       8.436119384045e-10       7.968462191607e-11       5.160479071324e-14 
   12       1.167206508676e-10       3.197613545487e-16       1.145524011571e-13       0.000000000000e+00       7.370404211485e-10       7.042787048393e-11       8.621858065223e-15 
   13       1.174820852380e-10       3.071525219045e-16       1.201225090927e-13       0.000000000000e+00       6.495489043151e-10       6.288176038216e-11      -2.256053923368e-14 
   14       1.184535074473e-10       3.184570144367e-16       1.277657625698e-13       0.000000000000e+00       5.767553790662e-10       5.629289502276e-11      -3.818671934569e-14 
   15       1.196321913234e-10       3.416332273558e-16       1.361006699679e-13       0.000000000000e+00       5.154859736079e-10       5.075623911767e-11      -3.930469612740e-14 
   16       1.209613328394e-10       3.760174320261e-16       1.445402293664e-13       0.000000000000e+00       4.633925603928e-10       4.600951623901e-11      -3.079578452219e-14 
   17       1.224268404361e-10       4.282243315889e-16       1.529927202399e-13       0.000000000000e+00       4.187052499636e-10       4.188522610878e-11      -1.852907066477e-14 
   18       1.239825195571e-10       5.031963890539e-16       1.616693946207e-13       0.000000000000e+00       3.799242813311e-10       3.826394964424e-11      -7.733750963128e-15 
   19       1.256403227953e-10       6.007344303289e-16       1.708036481626e-13       0.000000000000e+00       3.464209187571e-10       3.510662098907e-11      -8.991490170657e-16 
   20       1.273781612317e-10       7.183406450996e-16       1.805775198769e-13       0.000000000000e+00       3.169173690148e-10       3.232234443508e-11       6.215899820990e-16 
   21       1.292018668972e-10       8.553592737352e-16       1.909356579303e-13       0.000000000000e+00       2.909483901474e-10       2.985960688360e-11      -2.190449214790e-15 
   22       1.310931987497e-10       1.011387573110e-15       2.016516261612e-13       0.000000000000e+00       2.678874037537e-10       2.764092342812e-11      -7.132305278990e-15 
   23       1.330525673084e-10       1.186369552132e-15       2.123261749529e-13       0.000000000000e+00       2.474249042349e-10       2.564433729529e-11      -1.230292354816e-14 
   24       1.350636666868e-10       1.380242388480e-15       2.224611389170e-13       0.000000000000e+00       2.290930339151e-10       2.384236947006e-11      -1.583868181635e-14 
   25       1.371250264839e-10       1.593419429913e-15       2.317446710975e-13       0.000000000000e+00       2.126425065721e-10       2.222182753723e-11      -1.713475443911e-14 
   26       1.392260275620e-10       1.826628061622e-15       2.399390041291e-13       0.000000000000e+00       1.977507457443e-10       2.075916247318e-11      -1.615710043137e-14 
   27       1.413762963102e-10       2.081641167722e-15       2.469920403351e-13       0.000000000000e+00       1.843401120922e-10       1.944377519245e-11      -1.357033247354e-14 
   28       1.435747614296e-10       2.360796444986e-15       2.529386633869e-13       0.000000000000e+00       1.722476836416e-10       1.825157437588e-11      -1.050753218214e-14 
   29       1.458059865679e-10       2.666469072936e-15       2.578481226163e-13       0.000000000000e+00       1.611793514780e-10       1.714625339741e-11      -8.195519257265e-15 
   30       1.480774690640e-10       2.999888866273e-15       2.617809947512e-13       0.000000000000e+00       1.510737787948e-10       1.612683560076e-11      -6.933149406566e-15 
   31       1.503933460471e-10       3.361846687947e-15       2.648200455167e-13       0.000000000000e+00       1.418556618238e-10       1.519649291035e-11      -6.713953774608e-15 
   32       1.527475096321e-10       3.753043183397e-15       2.670335572616e-13       0.000000000000e+00       1.333788253834e-10       1.435069607373e-11      -7.426335433834e-15 
   33       1.551395219860e-10       4.174307513021e-15       2.682997137317e-13       0.000000000000e+00       1.255968810140e-10       1.358184948895e-11      -8.662785430726e-15 
   34       1.575619999402e-10       4.626443337427e-15       2.684148464592e-13       0.000000000000e+00       1.184407049814e-10       1.287478352440e-11      -9.824112249316e-15 
   35       1.600020537759e-10       5.110218714672e-15       2.671714041052e-13       0.000000000000e+00       1.118035489079e-10       1.221061316311e-11      -1.032294512287e-14 
   36       1.624653309238e-10       5.626553769286e-15       2.644802054831e-13       0.000000000000e+00       1.056680444905e-10       1.158733154248e-11      -1.015450849981e-14 
   37       1.649587100221e-10       6.176391043614e-15       2.602890308544e-13       0.000000000000e+00       1.000148395321e-10       1.100546679800e-11      -9.521719979828e-15 
   38       1.674830255069e-10       6.760642823583e-15       2.545506171718e-13       0.000000000000e+00       9.478420551098e-11       1.046221379670e-11      -8.689689002814e-15 
   39       1.700351893617e-10       7.380153587116e-15       2.472342846122e-13       0.000000000000e+00       8.989754435723e-11       9.952981186899e-12      -7.932695316032e-15 
   40       1.726171549459e-10       8.035577595112e-15       2.383648682019e-13       0.000000000000e+00       8.533978786989e-11       9.477455369973e-12      -7.342546312385e-15 
