# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.514180133179e-10       4.795527371705e-15       3.801878424975e-13       2.283383759557e-19       8.433978858295e-09       5.087354229400e-10      -2.012671802559e-12 
    3       1.417795336745e-10       6.057546640800e-15       4.283801846596e-13       4.567738293520e-19       5.156340247609e-09       3.577171671406e-10      -1.512503484774e-12 
    4       1.331123569633e-10       5.153882320499e-15       4.001135105869e-13       7.615035640124e-19       3.569743415856e-09       2.694365514021e-10      -9.773647282691e-13 
    5       1.266723418327e-10       3.378502377473e-15       3.395180776596e-13       1.142651837738e-18       2.655616095934e-09       2.119962085980e-10      -5.316319095659e-13 
    6       1.222204816760e-10       1.861082283702e-15       2.719870023892e-13       1.600369634388e-18       2.068675853134e-09       1.719416714791e-10      -2.077484890600e-13 
    7       1.192705655196e-10       1.002719489473e-15       2.121772891612e-13       2.134831956204e-18       1.664717223726e-09       1.426713562538e-10      -5.427285002923e-15 
    8       1.174620965799e-10       6.540144719578e-16       1.664224436761e-13       2.746234750985e-18       1.372675946509e-09       1.205568942799e-10       9.373094475114e-14 
    9       1.164964052974e-10       5.269162652780e-16       1.359971826733e-13       3.434791560300e-18       1.153669202101e-09       1.034256829354e-10       1.170550216932e-13 
   10       1.161251366507e-10       4.456675524142e-16       1.192964344823e-13       4.200729981407e-18       9.845493180874e-10       8.986366737249e-11       9.406018474238e-14 
   11       1.162518132053e-10       3.724716174556e-16       1.132785997855e-13       5.044288038954e-18       8.436119384045e-10       7.968462191607e-11       5.160479071324e-14 
   12       1.167326089275e-10       3.257280271654e-16       1.145492790278e-13       5.965710562806e-18       7.370404211485e-10       7.042787048393e-11       8.621858065223e-15 
   13       1.174959222430e-10       3.141192012317e-16       1.201183045633e-13       6.965245665410e-18       6.495489043151e-10       6.288176038216e-11      -2.256053923368e-14 
   14       1.184693376320e-10       3.265022073197e-16       1.277602294409e-13       8.043141406158e-18       5.767553790662e-10       5.629289502276e-11      -3.818671934569e-14 
   15       1.196501245847e-10       3.508356996957e-16       1.360935327696e-13       9.199642721518e-18       5.154859736079e-10       5.075623911767e-11      -3.930469612740e-14 
   16       1.209814750575e-10       3.864561933373e-16       1.445311833637e-13       1.043498868853e-17       4.633925603928e-10       4.600951623901e-11      -3.079578452219e-14 
   17       1.224492938354e-10       4.399786129133e-16       1.529814317161e-13       1.174941017608e-17       4.187052499636e-10       4.188522610878e-11      -1.852907066477e-14 
   18       1.240073830989e-10       5.163456144274e-16       1.616555014267e-13       1.314312775659e-17       3.799242813311e-10       3.826394964424e-11      -7.733750963128e-15 
   19       1.256676925396e-10       6.153581809906e-16       1.707867604864e-13       1.461635107178e-17       3.464209187571e-10       3.510662098907e-11      -8.991490170657e-16 
   20       1.274081307726e-10       7.345186193675e-16       1.805572212881e-13       1.616927598108e-17       3.169173690148e-10       3.232234443508e-11       6.215899820990e-16 
   21       1.292345276618e-10       8.731712396560e-16       1.909115065526e-13       1.780208652577e-17       2.909483901474e-10       2.985960688360e-11      -2.190449214790e-15 
   22       1.311286403783e-10       1.030913317092e-15       2.016231561300e-13       1.951495193262e-17       2.678874037537e-10       2.764092342812e-11      -7.132305278990e-15 
   23       1.330908778467e-10       1.207688824629e-15       2.122928979219e-13       2.130803037507e-17       2.474249042349e-10       2.564433729529e-11      -1.230292354816e-14 
   24       1.351049328744e-10       1.403434844556e-15       2.224225458749e-13       2.318146546552e-17       2.290930339151e-10       2.384236947006e-11      -1.583868181635e-14 
   25       1.371693338461e-10       1.618564569572e-15       2.317002342135e-13       2.513539055829e-17       2.126425065721e-10       2.222182753723e-11      -1.713475443911e-14 
   26       1.392734605603e-10       1.853805166772e-15       2.398881788757e-13       2.716992639000e-17       1.977507457443e-10       2.075916247318e-11      -1.615710043137e-14 
   27       1.414269381684e-10       2.110929250614e-15       2.469342674958e-13       2.928519000726e-17       1.843401120922e-10       1.944377519245e-11      -1.357033247354e-14 
   28       1.436286941840e-10       2.392274182166e-15       2.528733715217e-13       3.148128692295e-17       1.722476836416e-10       1.825157437588e-11      -1.050753218214e-14 
   29       1.458632910946e-10       2.700214740109e-15       2.577747307276e-13       3.375831139111e-17       1.611793514780e-10       1.714625339741e-11      -8.195519257265e-15 
   30       1.481382246889e-10       3.035980302805e-15       2.616989147412e-13       3.611636020835e-17       1.510737787948e-10       1.612683560076e-11      -6.933149406566e-15 
   31       1.504576303826e-10       3.400361238059e-15       2.647286851053e-13       3.855552353260e-17       1.418556618238e-10       1.519649291035e-11      -6.713953774608e-15 
   32       1.528153984367e-10       3.794057636996e-15       2.669323231612e-13       4.107588395714e-17       1.333788253834e-10       1.435069607373e-11      -7.426335433834e-15 
