# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513653834824e-10       4.793903776099e-15       3.799484690382e-13       0.000000000000e+00       8.309212744783e-09       5.059433611263e-10      -2.012650107741e-12 
    3       1.417621194856e-10       6.054272053918e-15       4.281330772365e-13       0.000000000000e+00       5.129978591379e-09       3.573270600781e-10      -1.512239626782e-12 
    4       1.331031495158e-10       5.148484370655e-15       3.998295198797e-13       0.000000000000e+00       3.573529015132e-09       2.695933040570e-10      -9.768250125748e-13 
    5       1.266666738950e-10       3.372565859128e-15       3.392048335188e-13       0.000000000000e+00       2.668825124171e-09       2.123223181588e-10      -5.310568593323e-13 
    6       1.222169123036e-10       1.855371840333e-15       2.716328725334e-13       0.000000000000e+00       2.084745693199e-09       1.723412623643e-10      -2.072771836135e-13 
    7       1.192668855118e-10       9.974721865174e-16       2.117817999858e-13       0.000000000000e+00       1.680681398708e-09       1.430962658092e-10      -5.100597719831e-15 
    8       1.174577648254e-10       6.487517732509e-16       1.659783375526e-13       0.000000000000e+00       1.387234042227e-09       1.209800977981e-10       9.389941584428e-14 
    9       1.164909823699e-10       5.211242057025e-16       1.355003378195e-13       0.000000000000e+00       1.166734700840e-09       1.038419508023e-10       1.170686504341e-13 
   10       1.161189349523e-10       4.391069240345e-16       1.187421367193e-13       0.000000000000e+00       9.966551198952e-10       9.028165276484e-11       9.394895482021e-14 
   11       1.162450836373e-10       3.650702733768e-16       1.126671503058e-13       0.000000000000e+00       8.432620140522e-10       7.968689640618e-11       5.144572908341e-14 
   12       1.167235810925e-10       3.173461362554e-16       1.138505471662e-13       0.000000000000e+00       7.367301926709e-10       7.043719626479e-11       8.500386858417e-15 
   13       1.174848687104e-10       3.044888129456e-16       1.193237356324e-13       0.000000000000e+00       6.492774409556e-10       6.289451266309e-11      -2.257837010922e-14 
   14       1.184562351269e-10       3.152696550184e-16       1.269075328093e-13       0.000000000000e+00       5.765165282230e-10       5.630807137761e-11      -3.808383205775e-14 
   15       1.196354567257e-10       3.376693495036e-16       1.351855396734e-13       0.000000000000e+00       5.152712206411e-10       5.077141729898e-11      -3.912100817648e-14 
   16       1.209629718127e-10       3.710912763787e-16       1.435539824757e-13       0.000000000000e+00       4.631993694353e-10       4.602164378023e-11      -3.059266543098e-14 
   17       1.224284807877e-10       4.221647324282e-16       1.519140698748e-13       0.000000000000e+00       4.185316272970e-10       4.189359825761e-11      -1.835863837201e-14 
   18       1.239839264650e-10       4.958269284887e-16       1.605058465910e-13       0.000000000000e+00       3.797646167357e-10       3.827118106575e-11      -7.625160717868e-15 
   19       1.256408200611e-10       5.918319596379e-16       1.695697367884e-13       0.000000000000e+00       3.462799283262e-10       3.511472474043e-11      -8.583896096651e-16 
   20       1.273779345255e-10       7.076336938239e-16       1.792854046052e-13       0.000000000000e+00       3.167898996302e-10       3.233044321450e-11       6.149222880629e-16 
   21       1.292015057293e-10       8.426277483700e-16       1.896061710889e-13       0.000000000000e+00       2.908313203573e-10       2.986691139606e-11      -2.207181428879e-15 
   22       1.310931077746e-10       9.964651128626e-16       2.003100339761e-13       0.000000000000e+00       2.677823112777e-10       2.764757408539e-11      -7.115103560910e-15 
   23       1.330507572220e-10       1.168913052726e-15       2.109574168636e-13       0.000000000000e+00       2.473260061623e-10       2.564977996749e-11      -1.224050570270e-14 
   24       1.350573788756e-10       1.359694598529e-15       2.210051254908e-13       0.000000000000e+00       2.289898696735e-10       2.384589739087e-11      -1.575921239371e-14 
   25       1.371238453219e-10       1.569354389224e-15       2.301822597583e-13       0.000000000000e+00       2.125581718054e-10       2.222842380606e-11      -1.704022614240e-14 
   26       1.392507549385e-10       1.798902205202e-15       2.383132056091e-13       0.000000000000e+00       1.977333566164e-10       2.077770222403e-11      -1.603141616860e-14 
   27       1.414239259524e-10       2.050395108213e-15       2.453303349593e-13       0.000000000000e+00       1.843374686741e-10       1.946538820654e-11      -1.354518915965e-14 
   28       1.436165296178e-10       2.326205157990e-15       2.512281650650e-13       0.000000000000e+00       1.721394724794e-10       1.825347999575e-11      -1.073968371058e-14 
