# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513658687472e-10       4.794129094716e-15       3.799484648576e-13       2.253185719070e-19       8.309212744783e-09       5.059433611263e-10      -2.012650107741e-12 
    3       1.417630877479e-10       6.054722791436e-15       4.281330586039e-13       4.507370720630e-19       5.129978591379e-09       3.573270600781e-10      -1.512239626782e-12 
    4       1.331047583074e-10       5.149235821265e-15       3.998294663351e-13       7.514484181742e-19       3.573529015132e-09       2.695933040570e-10      -9.768250125748e-13 
    5       1.266690778889e-10       3.373693446701e-15       3.392047115216e-13       1.127580071393e-18       2.668825124171e-09       2.123223181588e-10      -5.310568593323e-13 
    6       1.222202627358e-10       1.856951147311e-15       2.716326326075e-13       1.579286532542e-18       2.084745693199e-09       1.723412623643e-10      -2.072771836135e-13 
    7       1.192713296876e-10       9.995789803951e-16       2.117813741161e-13       2.106746347899e-18       1.680681398708e-09       1.430962658092e-10      -5.100597719831e-15 
    8       1.174634457196e-10       6.514620301388e-16       1.659776368689e-13       2.710158728461e-18       1.387234042227e-09       1.209800977981e-10       9.389941584428e-14 
    9       1.164980383276e-10       5.245141304439e-16       1.354992505909e-13       3.389739885550e-18       1.166734700840e-09       1.038419508023e-10       1.170686504341e-13 
   10       1.161274994955e-10       4.432529663589e-16       1.187405266756e-13       4.145719192733e-18       9.966551198952e-10       9.028165276484e-11       9.394895482021e-14 
   11       1.162552853742e-10       3.700491395899e-16       1.126648552906e-13       4.978335287142e-18       8.432620140522e-10       7.968689640618e-11       5.144572908341e-14 
   12       1.167355437291e-10       3.232347959988e-16       1.138473781211e-13       5.887832222463e-18       7.367301926709e-10       7.043719626479e-11       8.500386858417e-15 
   13       1.174987111553e-10       3.113645006152e-16       1.193194758997e-13       6.874455781047e-18       6.492774409556e-10       6.289451266309e-11      -2.257837010922e-14 
   14       1.184720716809e-10       3.232098654981e-16       1.269019377387e-13       7.938450044086e-18       5.765165282230e-10       5.630807137761e-11      -3.808383205775e-14 
   15       1.196533973428e-10       3.467518279666e-16       1.351783365082e-13       9.080054306895e-18       5.152712206411e-10       5.077141729898e-11      -3.912100817648e-14 
   16       1.209831224190e-10       3.813940020154e-16       1.435448704938e-13       1.029950041154e-17       4.631993694353e-10       4.602164378023e-11      -3.059266543098e-14 
   17       1.224509436416e-10       4.337658960869e-16       1.519027207554e-13       1.159701055195e-17       4.185316272970e-10       4.189359825761e-11      -1.835863837201e-14 
   18       1.240088005503e-10       5.088049044515e-16       1.604919049912e-13       1.297279537940e-17       3.797646167357e-10       3.827118106575e-11      -7.625160717868e-15 
