# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       1.493219031381e-02 
       2.251775554681e-05       1.312851199576e-02 
       3.498636120247e-05       2.159535030229e-02 
       4.752690064658e-05       3.345987411094e-02 
       6.017107953230e-05       4.474894577759e-02 
       7.295134796122e-05       5.755144089454e-02 
       8.590117158737e-05       6.884491301660e-02 
       9.905531395762e-05       7.885623685510e-02 
       1.124501334903e-04       8.842285425803e-02 
       1.261238985241e-04       9.850634414155e-02 
       1.401171238832e-04       1.083223567919e-01 
       1.544729323814e-04       1.187585451804e-01 
       1.692374445844e-04       1.296997733125e-01 
       1.844601999316e-04       1.406698863397e-01 
       2.001946119095e-04       1.517441843747e-01 
       2.164984592990e-04       1.634016533408e-01 
       2.334344144703e-04       1.757024006388e-01 
       2.510706081373e-04       1.882796357002e-01 
       2.694812277303e-04       2.016582186431e-01 
       2.887471433953e-04       2.154174498503e-01 
       3.089565513139e-04       2.298105769746e-01 
       3.302056182976e-04       2.448940175711e-01 
       3.525991041420e-04       2.607536781712e-01 
       3.762509287930e-04       2.774380370778e-01 
       4.012846398372e-04       2.950900759890e-01 
       4.278337222871e-04       3.137625571615e-01 
       4.560416775835e-04       3.334971694934e-01 
       4.860617833145e-04       3.545085589156e-01 
       5.180564313506e-04       3.767932855918e-01 
       5.521959330389e-04       4.005814671667e-01 
       5.886566801031e-04       4.258133659926e-01 
       6.276185643138e-04       4.527033304044e-01 
       6.692615934693e-04       4.813872331017e-01 
       7.137617003222e-04       5.118790553008e-01 
       7.612858261435e-04       5.443483064582e-01 
       8.119864671932e-04       5.788796209285e-01 
       8.659959882004e-04       6.154832837815e-01 
       9.234211115548e-04       6.542255690760e-01 
       9.843380583382e-04       6.951906318229e-01 
       1.048788822492e-03       7.383201029442e-01 
       1.116778986862e-03       7.835870737300e-01 
       1.188277341593e-03       8.309854695974e-01 
       1.263217364035e-03       8.803916954996e-01 
       1.341500403710e-03       9.317033711637e-01 
       1.423000229794e-03       9.847771364385e-01 
       1.507568477172e-03       1.039585127058e+00 
       1.595040487037e-03       1.095871373939e+00 
       1.685241074673e-03       1.153512426906e+00 
       1.777989849548e-03       1.212372347743e+00 
       1.873105833077e-03       1.272286050492e+00 
       1.970411240942e-03       1.333099075548e+00 
       2.069734400901e-03       1.394655741985e+00 
       2.170911853969e-03       1.456835387612e+00 
       2.273789735124e-03       1.519505150110e+00 
       2.378224553043e-03       1.582520876752e+00 
       2.484083492891e-03       1.645794460329e+00 
       2.591244358339e-03       1.709197570430e+00 
       2.699595254278e-03       1.772641065052e+00 
       2.809034094327e-03       1.836031326352e+00 
       2.919467999818e-03       1.899287023874e+00 
       3.030812641170e-03       1.962337505276e+00 
       3.142991559080e-03       2.025098821875e+00 
       3.255935491967e-03       2.087516753266e+00 
       3.369581727509e-03       2.149533535020e+00 
       3.483873489548e-03       2.211092760401e+00 
       3.598759366763e-03       2.272144934114e+00 
       3.714192786088e-03       2.332650144062e+00 
       3.830131531369e-03       2.392568459955e+00 
       3.946537306183e-03       2.451858638529e+00 
       4.063375338686e-03       2.510496344561e+00 
       4.180614025754e-03       2.568445330565e+00 
       4.298224613405e-03       2.625685057042e+00 
       4.416180910359e-03       2.682190000449e+00 
       4.534459031676e-03       2.737938043221e+00 
       4.653037169509e-03       2.792914218231e+00 
       4.771895388214e-03       2.847101684872e+00 
       4.891015441268e-03       2.900486597491e+00 
       5.010380607654e-03       2.953056659991e+00 
       5.129975545600e-03       3.004801962822e+00 
       5.249786161774e-03       3.055715965555e+00 
       5.369799494223e-03       3.105790788443e+00 
       5.490003607536e-03       3.155022016425e+00 
       5.610387498875e-03       3.203403969880e+00 
       5.730941013670e-03       3.250937783326e+00 
       5.851654769906e-03       3.297621848631e+00 
       5.972520090067e-03       3.343453943815e+00 
       6.093528939880e-03       3.388436483463e+00 
       6.214673873133e-03       3.432571266560e+00 
       6.335947981902e-03       3.475863387702e+00 
       6.457344851613e-03       3.518313050449e+00 
       6.578858520406e-03       3.559925222788e+00 
       6.700483442374e-03       3.600704552830e+00 
       6.822214454238e-03       3.640659678979e+00 
       6.944046745134e-03       3.679792418370e+00 
       7.065975829162e-03       3.718114502329e+00 
       7.187997520434e-03       3.755633721146e+00 
       7.310107910369e-03       3.792353684675e+00 
       7.432303346994e-03       3.828278510193e+00 
       7.554580416072e-03       3.863423870894e+00 
       7.676935923868e-03       3.897799797128e+00 
       7.799366881390e-03       3.931407348278e+00 
       7.921870489981e-03       3.964253471267e+00 
       8.044444128110e-03       3.996360164983e+00 
       8.167085339271e-03       4.027725141278e+00 
       8.289791820870e-03       4.058362426298e+00 
       8.412561414027e-03       4.088283950249e+00 
       8.535392094189e-03       4.117488527988e+00 
       8.658281962499e-03       4.145994541925e+00 
       8.781229237845e-03       4.173807454386e+00 
       8.904232249532e-03       4.200938919108e+00 
       9.027289430517e-03       4.227395948540e+00 
       9.150399311169e-03       4.253185971172e+00 
       9.273560513504e-03       4.278325618964e+00 
       9.396771745844e-03       4.302814625279e+00 
       9.520031797890e-03       4.326665460782e+00 
       9.643339536152e-03       4.349886038022e+00 
       9.766693899710e-03       4.372481849676e+00 
       9.890093896300e-03       4.394468228735e+00 
       1.001353859866e-02       4.415848089044e+00 
       1.013702714118e-02       4.436636114297e+00 
       1.026055871672e-02       4.456828540346e+00 
       1.038413257374e-02       4.476441179788e+00 
       1.050774801356e-02       4.495485627238e+00 
       1.063140438788e-02       4.513953650774e+00 
       1.075510109639e-02       4.531869865848e+00 
       1.087883758462e-02       4.549234413453e+00 
       1.100261334193e-02       4.566053038911e+00 
