# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.057988738890e-09 
       8.891666132421e-06       3.029952929614e-09 
       1.119394444729e-05       3.002174154183e-09 
       1.409234112291e-05       2.974650056096e-09 
       1.774120635130e-05       2.947378300457e-09 
       2.233485551154e-05       2.920356573777e-09 
       2.811791717223e-05       2.893582583776e-09 
       3.539836045484e-05       2.867054059190e-09 
       4.456389551245e-05       2.840768749580e-09 
       5.610262050917e-05       2.814724425137e-09 
       7.062901462723e-05       2.788918876496e-09 
       8.891666132421e-05       2.763349914547e-09 
       1.119394444729e-04       2.738015370249e-09 
       1.409234112291e-04       2.712913094450e-09 
       1.774120635130e-04       2.688040957699e-09 
       2.233485551154e-04       2.663396850069e-09 
       2.811791717223e-04       2.638978680975e-09 
       3.539836045484e-04       2.614784379001e-09 
       4.456389551245e-04       2.590811891721e-09 
       5.610262050917e-04       2.567059185525e-09 
       7.062901462723e-04       2.543524245449e-09 
       8.891666132421e-04       2.520205075000e-09 
       1.119394444729e-03       2.497099695991e-09 
       1.409234112291e-03       2.474206148369e-09 
       1.774120635130e-03       2.451522490055e-09 
       2.233485551154e-03       2.429046796769e-09 
       2.811791717223e-03       2.406777161878e-09 
       3.539836045484e-03       2.384711696227e-09 
       4.456389551245e-03       2.362848527981e-09 
       5.610262050917e-03       2.341185802467e-09 
       7.062901462723e-03       2.319721682014e-09 
       8.891666132421e-03       2.298454345799e-09 
       1.119394444729e-02       2.277381989696e-09 
       1.409234112291e-02       2.256502826114e-09 
       1.774120635130e-02       2.235815083855e-09 
       2.233485551154e-02       2.215317007956e-09 
       2.811791717223e-02       2.195006859547e-09 
       3.539836045484e-02       2.174882915698e-09 
       4.456389551245e-02       2.154943469275e-09 
       5.610262050917e-02       2.135186828796e-09 
       7.062901462723e-02       2.115611318285e-09 
       8.891666132421e-02       2.096215277134e-09 
       1.119394444729e-01       2.076997059956e-09 
       1.409234112291e-01       2.057955036453e-09 
       1.774120635130e-01       2.039087591271e-09 
       2.233485551154e-01       2.020393123866e-09 
       2.811791717223e-01       2.001870048368e-09 
       3.539836045484e-01       1.983516793447e-09 
       4.456389551245e-01       1.965331802178e-09 
       5.610262050917e-01       1.947313531912e-09 
       7.062901462723e-01       1.929460454140e-09 
       8.891666132421e-01       1.911771054369e-09 
       1.119394444729e+00       1.894243831991e-09 
       1.409234112291e+00       1.876877300152e-09 
       1.774120635130e+00       1.859669985635e-09 
       2.233485551154e+00       1.842620428725e-09 
       2.811791717223e+00       1.825727183093e-09 
       3.539836045484e+00       1.808988815668e-09 
       4.456389551245e+00       1.792403906517e-09 
       5.610262050917e+00       1.775971048728e-09 
       7.062901462723e+00       1.759688848284e-09 
       8.891666132421e+00       1.743555923952e-09 
       1.119394444729e+01       1.727570907159e-09 
       1.409234112291e+01       1.711732441880e-09 
       1.774120635130e+01       1.696039184524e-09 
       2.233485551154e+01       1.680489803816e-09 
       2.811791717223e+01       1.665082980688e-09 
       3.539836045484e+01       1.649817408163e-09 
       4.456389551245e+01       1.634691791248e-09 
       5.610262050917e+01       1.619704846822e-09 
       7.062901462723e+01       1.604855303529e-09 
       8.891666132421e+01       1.590141901667e-09 
       1.119394444729e+02       1.575563393084e-09 
       1.409234112291e+02       1.561118541072e-09 
       1.774120635130e+02       1.546806120258e-09 
