# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_fld                 14:t_ur                  15:t_tot              
       1.008985923246e-05      -1.550583373877e+00      -1.162937530502e+00      -1.162937530506e+00       0.000000000000e+00      -1.550583373860e+00      -1.174171823286e+00       6.123577512806e-01       5.967936714027e-01       1.525955829821e-08       1.525978706486e-08       1.525978809665e-08                      nan       1.525954169552e-08       1.525977887916e-08 
       2.251775554681e-05      -1.550634496304e+00      -1.162975873028e+00      -1.162975873013e+00       0.000000000000e+00      -1.550634496164e+00      -1.174210536167e+00       6.123592798240e-01       5.967953560036e-01       7.599991747154e-08       7.600284724876e-08       7.600284355241e-08                      nan       7.599971325723e-08       7.600272895691e-08 
       3.498636120247e-05      -1.550737324761e+00      -1.163052999047e+00      -1.163052999014e+00       0.000000000000e+00      -1.550737323815e+00      -1.174288407040e+00       6.123588886902e-01       5.967956107651e-01       1.834567561961e-07       1.834752680990e-07       1.834752626922e-07                      nan       1.834554723996e-07       1.834745351949e-07 
       4.752690064658e-05      -1.550898675669e+00      -1.163174028886e+00      -1.163174028936e+00       0.000000000000e+00      -1.550898672085e+00      -1.174410605452e+00       6.123550831738e-01       5.967929846226e-01       3.385074147014e-07       3.385770764123e-07       3.385771000594e-07                      nan       3.385027816906e-07       3.385743568924e-07 
       6.017107953230e-05      -1.551111418175e+00      -1.163333624621e+00      -1.163333624831e+00       0.000000000000e+00      -1.551111408677e+00      -1.174571741483e+00       6.123499682623e-01       5.967894268925e-01       5.425036263375e-07       5.426904504490e-07       5.426905226803e-07                      nan       5.424915302404e-07       5.426831692626e-07 
       7.295134796122e-05      -1.551386284054e+00      -1.163539853335e+00      -1.163539854419e+00       0.000000000000e+00      -1.551386262009e+00      -1.174779959920e+00       6.123412987879e-01       5.967828726383e-01       7.972784846231e-07       7.976994251592e-07       7.976997707567e-07                      nan       7.972512561996e-07       7.976831669968e-07 
       8.590117158737e-05      -1.551712341580e+00      -1.163784531858e+00      -1.163784534196e+00       0.000000000000e+00      -1.551712298566e+00      -1.175026997641e+00       6.123323742014e-01       5.967763864161e-01       1.105209509757e-06       1.106030385910e-06       1.106031116258e-06                      nan       1.105156722307e-06       1.105998731054e-06 
       9.905531395762e-05      -1.552090210441e+00      -1.164068144448e+00      -1.164068148710e+00       0.000000000000e+00      -1.552090134155e+00      -1.175313343022e+00       6.123237414954e-01       5.967704817743e-01       1.469240099430e-06       1.470690251747e-06       1.470691594513e-06                      nan       1.469146601308e-06       1.470634368971e-06 
       1.124501334903e-04      -1.552525876877e+00      -1.164395212481e+00      -1.164395218675e+00       0.000000000000e+00      -1.552525751932e+00      -1.175643559317e+00       6.123147515519e-01       5.967645928254e-01       1.892921018163e-06       1.895320212572e-06       1.895322097025e-06                      nan       1.892767123469e-06       1.895227499198e-06 
       1.261238985241e-04      -1.553029774674e+00      -1.164773600030e+00      -1.164773610541e+00       0.000000000000e+00      -1.553029575775e+00      -1.176025586882e+00       6.123038050186e-01       5.967572472109e-01       2.380469412979e-06       2.384259077512e-06       2.384262355277e-06                      nan       2.380224994607e-06       2.384112852634e-06 
