# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513653128904e-10       4.793901540018e-15       3.799482919935e-13       0.000000000000e+00       8.309208880520e-09       5.059431254598e-10      -2.012649168688e-12 
    3       1.417620533617e-10       6.054269227232e-15       4.281328776802e-13       0.000000000000e+00       5.129976207699e-09       3.573268938211e-10      -1.512238920717e-12 
    4       1.331030874349e-10       5.148481965136e-15       3.998293331518e-13       0.000000000000e+00       3.573527355012e-09       2.695931783436e-10      -9.768245566193e-13 
    5       1.266666147587e-10       3.372564284006e-15       3.392046746853e-13       0.000000000000e+00       2.668823890415e-09       2.123222191597e-10      -5.310566118357e-13 
    6       1.222168552729e-10       1.855370975005e-15       2.716327455870e-13       0.000000000000e+00       2.084744735885e-09       1.723411825499e-10      -2.072770872009e-13 
    7       1.192668298513e-10       9.974717218486e-16       2.117817014003e-13       0.000000000000e+00       1.680680627520e-09       1.430961995938e-10      -5.100595319039e-15 
    8       1.174577100976e-10       6.487514712154e-16       1.659782603162e-13       0.000000000000e+00       1.387233403191e-09       1.209800411972e-10       9.389937221956e-14 
    9       1.164909280257e-10       5.211239626419e-16       1.355002759307e-13       0.000000000000e+00       1.166734161360e-09       1.038419021693e-10       1.170685961890e-13 
   10       1.161188809569e-10       4.391067189474e-16       1.187420813630e-13       0.000000000000e+00       9.966546581940e-10       9.028161122697e-11       9.394891202994e-14 
   11       1.162450294315e-10       3.650701032441e-16       1.126670990045e-13       0.000000000000e+00       8.432616232665e-10       7.968685985825e-11       5.144570670107e-14 
   12       1.167235267408e-10       3.173459867100e-16       1.138504950278e-13       0.000000000000e+00       7.367298513660e-10       7.043716316106e-11       8.500383990828e-15 
   13       1.174848138619e-10       3.044886714157e-16       1.193236797929e-13       0.000000000000e+00       6.492771402550e-10       6.289448296365e-11      -2.257835945046e-14 
   14       1.184561800500e-10       3.152695057647e-16       1.269074766024e-13       0.000000000000e+00       5.765162613023e-10       5.630804570602e-11      -3.808381351292e-14 
   15       1.196354010160e-10       3.376691868042e-16       1.351854756300e-13       0.000000000000e+00       5.152709821672e-10       5.077139440695e-11      -3.912098644016e-14 
   16       1.209629154514e-10       3.710911049567e-16       1.435539153004e-13       0.000000000000e+00       4.631991551224e-10       4.602162206779e-11      -3.059264559597e-14 
   17       1.224284236538e-10       4.221645312744e-16       1.519140007160e-13       0.000000000000e+00       4.185314337105e-10       4.189357815667e-11      -1.835862567710e-14 
