# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513657981547e-10       4.794126858436e-15       3.799482878129e-13       2.253183724644e-19       8.309208880520e-09       5.059431254598e-10      -2.012649168688e-12 
    3       1.417630216230e-10       6.054719964351e-15       4.281328590476e-13       4.507366730687e-19       5.129976207699e-09       3.573268938211e-10      -1.512238920717e-12 
    4       1.331046962249e-10       5.149233415080e-15       3.998292796073e-13       7.514477529443e-19       3.573527355012e-09       2.695931783436e-10      -9.768245566193e-13 
    5       1.266690187503e-10       3.373691870582e-15       3.392045526882e-13       1.127579073106e-18       2.668823890415e-09       2.123222191597e-10      -5.310566118357e-13 
    6       1.222202057020e-10       1.856950280585e-15       2.716325056613e-13       1.579285134212e-18       2.084744735885e-09       1.723411825499e-10      -2.072770872009e-13 
    7       1.192712740230e-10       9.995785138607e-16       2.117812755309e-13       2.106744482352e-18       1.680680627520e-09       1.430961995938e-10      -5.100595319039e-15 
    8       1.174633909864e-10       6.514617257031e-16       1.659775596331e-13       2.710156328315e-18       1.387233403191e-09       1.209800411972e-10       9.389937221956e-14 
    9       1.164979839770e-10       5.245138843809e-16       1.354991887030e-13       3.389736883201e-18       1.166734161360e-09       1.038419021693e-10       1.170685961890e-13 
   10       1.161274454921e-10       4.432527575994e-16       1.187404713206e-13       4.145715520347e-18       9.966546581940e-10       9.028161122697e-11       9.394891202994e-14 
   11       1.162552311589e-10       3.700489650465e-16       1.126648039913e-13       4.978330876652e-18       8.432616232665e-10       7.968685985825e-11       5.144570670107e-14 
   12       1.167354893664e-10       3.232346412361e-16       1.138473259853e-13       5.887827005566e-18       7.367298513660e-10       7.043716316106e-11       8.500383990828e-15 
   13       1.174986562942e-10       3.113643529930e-16       1.193194200638e-13       6.874449689213e-18       6.492771402550e-10       6.289448296365e-11      -2.257835945046e-14 
   14       1.184720165896e-10       3.232097092082e-16       1.269018815365e-13       7.938443008563e-18       5.765162613023e-10       5.630804570602e-11      -3.808381351292e-14 
   15       1.196533416168e-10       3.467516572180e-16       1.351782724710e-13       9.080046258722e-18       5.152709821672e-10       5.077139440695e-11      -3.912098644016e-14 
   16       1.209830660395e-10       3.813938214622e-16       1.435448033263e-13       1.029949128156e-17       4.631991551224e-10       4.602162206779e-11      -3.059264559597e-14 
   17       1.224508864875e-10       4.337656846505e-16       1.519026516064e-13       1.159700027083e-17       4.185314337105e-10       4.189357815667e-11      -1.835862567710e-14 
   18       1.240087427283e-10       5.088046595861e-16       1.604918311927e-13       1.297278387764e-17       3.797644411338e-10       3.827116347427e-11      -7.625156889100e-15 
   19       1.256681429762e-10       6.062649860199e-16       1.695527405429e-13       1.442704109219e-17       3.462797682521e-10       3.511470932264e-11      -8.583918639251e-16 
   20       1.274078574987e-10       7.236006275767e-16       1.792650202859e-13       1.595995629653e-17       3.167897532294e-10       3.233042828265e-11       6.149207879426e-16 
   21       1.292341201397e-10       8.602072810284e-16       1.895819692200e-13       1.757170233324e-17       2.908311859915e-10       2.986689664744e-11      -2.207178002416e-15 
   22       1.311285034481e-10       1.015735972763e-15       2.002815633712e-13       1.926243725533e-17       2.677821875964e-10       2.764756121193e-11      -7.115096155826e-15 
   23       1.330890221913e-10       1.189953918034e-15       2.109242002449e-13       2.103230892306e-17       2.473258919598e-10       2.564976915705e-11      -1.224049647475e-14 
   24       1.350985995986e-10       1.382584033121e-15       2.209666602284e-13       2.288145170014e-17       2.289897639621e-10       2.384588657919e-11      -1.575920308731e-14 
   25       1.371681072930e-10       1.594170824616e-15       2.301380286966e-13       2.480999282683e-17       2.125580737075e-10       2.222841245909e-11      -1.704021660689e-14 
   26       1.392981429460e-10       1.825723891314e-15       2.382626806445e-13       2.681804843435e-17       1.977332654024e-10       2.077769220911e-11      -1.603140443536e-14 
   27       1.414745233023e-10       2.079300037257e-15       2.452729681730e-13       2.890572959069e-17       1.843373836812e-10       1.946538032950e-11      -1.354517569923e-14 
   28       1.436704180093e-10       2.357270999707e-15       2.511633879680e-13       3.107313958797e-17       1.721393931305e-10       1.825347306128e-11      -1.073967230996e-14 
   29       1.458959914576e-10       2.661083321554e-15       2.559994046663e-13       3.332038342444e-17       1.610769288002e-10       1.714080377258e-11      -8.250693682887e-15 
   30       1.481622484318e-10       2.991880780195e-15       2.599043485188e-13       3.564756012699e-17       1.510311511020e-10       1.612916384780e-11      -6.644932111946e-15 
   31       1.504691781160e-10       3.350736806517e-15       2.630033599236e-13       3.805476271127e-17       1.417970945613e-10       1.521077210182e-11      -6.413181741746e-15 
   32       1.528191722173e-10       3.738569809799e-15       2.652408067697e-13       4.054208959837e-17       1.333269950035e-10       1.437521661828e-11      -7.274860049260e-15 
   33       1.552057862104e-10       4.156181584721e-15       2.664932577114e-13       4.310963746946e-17       1.255608730939e-10       1.360314773006e-11      -8.596396516052e-15 
   34       1.576157500125e-10       4.604327138120e-15       2.666194785497e-13       4.575749979443e-17       1.183899642047e-10       1.287158544861e-11      -9.698146728127e-15 
   35       1.600535060542e-10       5.083913089710e-15       2.654771813540e-13       4.848577169528e-17       1.117775053445e-10       1.218243716908e-11      -1.034697399016e-14 
   36       1.625234907414e-10       5.595860519312e-15       2.629094237545e-13       5.129454708696e-17       1.056703949554e-10       1.154312930666e-11      -1.042938069825e-14 
   37       1.650251483651e-10       6.141035805050e-15       2.587726298001e-13       5.418391648257e-17       9.998909417290e-11       1.095793874199e-11      -9.879637046247e-15 
   38       1.675609387564e-10       6.720204091678e-15       2.530529408459e-13       5.715396312893e-17       9.471887696872e-11       1.042497883506e-11      -8.879557810539e-15 
   39       1.701297452754e-10       7.334053506231e-15       2.457890002275e-13       6.020476584665e-17       8.984297783968e-11       9.937661412284e-12      -7.729572204623e-15 
   40       1.727238931125e-10       7.983201878752e-15       2.370426044234e-13       6.333640021226e-17       8.531483624242e-11       9.485051901745e-12      -6.801078818625e-15 
   41       1.753334826633e-10       8.668239588983e-15       2.268757485885e-13       6.654893479868e-17       8.107430417379e-11       9.055167728380e-12      -6.434068390999e-15 
   42       1.779626601525e-10       9.389885645357e-15       2.152694052554e-13       6.984241815134e-17       7.710886090350e-11       8.647012590375e-12      -6.579021877870e-15 
   43       1.806175416391e-10       1.014887487854e-14       2.021806655301e-13       7.321688776368e-17       7.340795212209e-11       8.261866201186e-12      -7.046061496342e-15 
   44       1.833013759364e-10       1.094591380063e-14       1.875645464656e-13       7.667237343461e-17       6.994462205584e-11       7.899871592204e-12      -7.599026729644e-15 
   45       1.860152429048e-10       1.178164251339e-14       1.713745151246e-13       8.020889272624e-17       6.668513165831e-11       7.560311729635e-12      -8.011503724904e-15 
   46       1.887611333253e-10       1.265650977437e-14       1.535648978633e-13       8.382643608432e-17       6.362431824731e-11       7.242777329422e-12      -8.261538710849e-15 
   47       1.915392584682e-10       1.357085847180e-14       1.340887219373e-13       8.752497700479e-17       6.075858651245e-11       6.946175399459e-12      -8.390335621524e-15 
   48       1.943468718385e-10       1.452495595936e-14       1.128967541217e-13       9.130447563677e-17       5.807524396791e-11       6.668303645046e-12      -8.449010677707e-15 
   49       1.971780150305e-10       1.551899069423e-14       8.993727084053e-14       9.516487837431e-17       5.555182467740e-11       6.405770679655e-12      -8.499159553575e-15 
   50       2.000262775276e-10       1.655310014204e-14       6.516217840131e-14       9.910611744774e-17       5.316284798087e-11       6.154981512739e-12      -8.599417366833e-15 
   51       2.028945488546e-10       1.762747122127e-14       3.854786547366e-14       1.031281105136e-16       5.090382642536e-11       5.915594480282e-12      -8.759522019284e-15 
   52       2.057874742306e-10       1.874226131195e-14       1.007961343474e-14       1.072307602479e-16       4.877260553270e-11       5.687864738388e-12      -8.974762251680e-15 
   53       2.087085623351e-10       1.989756752585e-14      -2.025419171118e-14       1.114139539382e-16       4.676217971117e-11       5.471632043318e-12      -9.238805209623e-15 
   54       2.116600729952e-10       2.109342481592e-14      -5.246199037484e-14       1.156775630757e-16       4.486036586291e-11       5.266291092941e-12      -9.543604448974e-15 
   55       2.146433214007e-10       2.232981856892e-14      -8.654958738216e-14       1.200214526454e-16       4.305351489892e-11       5.071051852135e-12      -9.878958163713e-15 
   56       2.176599365480e-10       2.360673037787e-14      -1.225220804596e-13       1.244455126354e-16       4.133947373342e-11       4.885864205058e-12      -1.023126610515e-14 
   57       2.207107186960e-10       2.492410032891e-14      -1.603822900411e-13       1.289496336406e-16       3.971727162488e-11       4.710671057072e-12      -1.058430271905e-14 
   58       2.237951562350e-10       2.628181221689e-14      -2.001301499595e-13       1.335336978194e-16       3.818319899680e-11       4.545120515159e-12      -1.091943654387e-14 
   59       2.269113296026e-10       2.767969221897e-14      -2.417626621374e-13       1.381975788641e-16       3.673063836619e-11       4.388547527448e-12      -1.121552458858e-14 
   60       2.300558151985e-10       2.911750756838e-14      -2.852738512759e-13       1.429411419703e-16       3.534989527200e-11       4.239955522740e-12      -1.144880671029e-14 
   61       2.332251432694e-10       3.059491461126e-14      -3.306555733555e-13       1.477642610718e-16       3.403088662720e-11       4.098288959885e-12      -1.159848533122e-14 
   62       2.364207713281e-10       3.211129235348e-14      -3.779002557049e-13       1.526668751352e-16       3.277229340607e-11       3.963364001071e-12      -1.166516707049e-14 
   63       2.396450616480e-10       3.366586902800e-14      -4.269986943652e-13       1.576489445049e-16       3.157417170496e-11       3.835115107855e-12      -1.165639194436e-14 
   64       2.428997799512e-10       3.525776654049e-14      -4.779392366935e-13       1.627104352602e-16       3.043519974997e-11       3.713313615729e-12      -1.158138658579e-14 
   65       2.461860486299e-10       3.688599753698e-14      -5.307077631439e-13       1.678513197324e-16       2.935259948926e-11       3.597558604001e-12      -1.145113901369e-14 
   66       2.495042999684e-10       3.854946247151e-14      -5.852876690477e-13       1.730715770228e-16       2.832205818541e-11       3.487267765665e-12      -1.127847340214e-14 
   67       2.528542293646e-10       4.024694667376e-14      -6.416598463943e-13       1.783711935197e-16       2.733765000784e-11       3.381668277281e-12      -1.107812484966e-14 
   68       2.562353377077e-10       4.197722904645e-14      -6.998026624060e-13       1.837501711182e-16       2.639341623305e-11       3.279999688543e-12      -1.086419425916e-14 
   69       2.596487906907e-10       4.373944028798e-14      -7.596919309470e-13       1.892085526562e-16       2.548865292178e-11       3.182190738217e-12      -1.064174699500e-14 
   70       2.630958539400e-10       4.553277232079e-14      -8.213009025646e-13       1.947464025857e-16       2.462355873234e-11       3.088303907294e-12      -1.041363838975e-14 
   71       2.665773060526e-10       4.735637300803e-14      -8.846002492089e-13       2.003638004282e-16       2.379763576891e-11       2.998331892290e-12      -1.018299063701e-14 
   72       2.700934068855e-10       4.920934607612e-14      -9.495580459318e-13       2.060608414897e-16       2.300965359346e-11       2.912193897625e-12      -9.953200555769e-15 
   73       2.736438658458e-10       5.109075103741e-14      -1.016139752585e-12       2.118376375744e-16       2.225761323781e-11       2.829731927994e-12      -9.727947354803e-15 
   74       2.772278101802e-10       5.299960311284e-14      -1.084308195519e-12       2.176943176998e-16       2.153871121557e-11       2.750707080745e-12      -9.511200397076e-15 
   75       2.808437532648e-10       5.493487315449e-14      -1.154023549283e-12       2.236310288108e-16       2.084930353420e-11       2.674795838253e-12      -9.307226964128e-15 
   76       2.844902506258e-10       5.689544217362e-14      -1.225244866090e-12       2.296479268561e-16       2.018580877352e-11       2.601674290411e-12      -9.119829199149e-15 
   77       2.881680762093e-10       5.887995552242e-14      -1.297935026671e-12       2.357451465582e-16       1.954768699568e-11       2.531296728978e-12      -8.949877129208e-15 
   78       2.918783871977e-10       6.088694185746e-14      -1.372056663177e-12       2.419228274034e-16       1.893494119468e-11       2.463661356279e-12      -8.797337793989e-15 
