# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       1.493218292699e-02 
       2.251775554681e-05       1.312850552020e-02 
       3.498636120247e-05       2.159534023719e-02 
       4.752690064658e-05       3.345985862242e-02 
       6.017107953230e-05       4.474890077204e-02 
       7.295134796122e-05       5.755141358310e-02 
       8.590117158737e-05       6.884488091943e-02 
       9.905531395762e-05       7.885619891095e-02 
       1.124501334903e-04       8.842280180831e-02 
       1.261238985241e-04       9.850629267300e-02 
       1.401171238832e-04       1.083223016913e-01 
       1.544729323814e-04       1.187584972845e-01 
       1.692374445844e-04       1.296997627935e-01 
       1.844601999316e-04       1.406698124018e-01 
       2.001946119095e-04       1.517441088516e-01 
       2.164984592990e-04       1.634015770556e-01 
       2.334344144703e-04       1.757023187920e-01 
       2.510706081373e-04       1.882795477623e-01 
       2.694812277303e-04       2.016581245758e-01 
       2.887471433953e-04       2.154173494568e-01 
       3.089565513139e-04       2.298104698367e-01 
       3.302056182976e-04       2.448939034085e-01 
       3.525991041420e-04       2.607535565058e-01 
       3.762509287930e-04       2.774379077914e-01 
       4.012846398372e-04       2.950899383412e-01 
       4.278337222871e-04       3.137624108656e-01 
       4.560416775835e-04       3.334970143058e-01 
       4.860617833145e-04       3.545083957289e-01 
       5.180564313506e-04       3.767931071686e-01 
       5.521959330389e-04       4.005812997525e-01 
       5.886566801031e-04       4.258131652033e-01 
       6.276185643138e-04       4.527031203303e-01 
       6.692615934693e-04       4.813870117405e-01 
       7.137617003222e-04       5.118788223868e-01 
       7.612858261435e-04       5.443480514691e-01 
       8.119864671933e-04       5.788793771217e-01 
       8.659959882004e-04       6.154830002282e-01 
       9.234211115549e-04       6.542252645902e-01 
       9.843380583383e-04       6.951903009413e-01 
       1.048788822492e-03       7.383197575512e-01 
       1.116778986862e-03       7.835867054193e-01 
       1.188277341593e-03       8.309850822253e-01 
       1.263217364035e-03       8.803912853668e-01 
       1.341500403710e-03       9.317029367441e-01 
       1.423000229794e-03       9.847766786089e-01 
       1.507568477172e-03       1.039584642620e+00 
       1.595040487038e-03       1.095870861992e+00 
       1.685241074673e-03       1.153511889747e+00 
       1.777989849548e-03       1.212371783318e+00 
       1.873105833077e-03       1.272285457383e+00 
       1.970411240942e-03       1.333098453914e+00 
       2.069734400901e-03       1.394655091873e+00 
       2.170911853969e-03       1.456834708148e+00 
       2.273789735124e-03       1.519504441869e+00 
       2.378224553043e-03       1.582520139042e+00 
       2.484083492891e-03       1.645793693102e+00 
       2.591244358339e-03       1.709196773604e+00 
       2.699595254278e-03       1.772640238653e+00 
       2.809034094327e-03       1.836030470388e+00 
       2.919467999818e-03       1.899286138460e+00 
       3.030812641171e-03       1.962336590443e+00 
       3.142991559080e-03       2.025097877779e+00 
       3.255935491967e-03       2.087515780088e+00 
       3.369581727509e-03       2.149532532934e+00 
       3.483873489548e-03       2.211091729615e+00 
       3.598759366763e-03       2.272143874860e+00 
       3.714192786088e-03       2.332649056603e+00 
       3.830131531369e-03       2.392567344563e+00 
       3.946537306183e-03       2.451857495497e+00 
       4.063375338686e-03       2.510495174201e+00 
       4.180614025754e-03       2.568444133180e+00 
       4.298224613405e-03       2.625683832973e+00 
       4.416180910359e-03       2.682188750036e+00 
       4.534459031676e-03       2.737936766819e+00 
       4.653037169509e-03       2.792912916201e+00 
       4.771895388214e-03       2.847100357580e+00 
       4.891015441268e-03       2.900485245311e+00 
       5.010380607654e-03       2.953055283306e+00 
       5.129975545600e-03       3.004800562011e+00 
       5.249786161774e-03       3.055714541007e+00 
       5.369799494223e-03       3.105789340552e+00 
       5.490003607536e-03       3.155020545571e+00 
       5.610387498875e-03       3.203402476483e+00 
       5.730941013670e-03       3.250936267773e+00 
       5.851654769906e-03       3.297620311287e+00 
       5.972520090068e-03       3.343452385136e+00 
       6.093528939880e-03       3.388434903806e+00 
       6.214673873133e-03       3.432569666316e+00 
       6.335947981903e-03       3.475861767286e+00 
       6.457344851613e-03       3.518311410218e+00 
       6.578858520406e-03       3.559923563183e+00 
       6.700483442374e-03       3.600702874217e+00 
       6.822214454238e-03       3.640657981746e+00 
       6.944046745134e-03       3.679790702901e+00 
       7.065975829162e-03       3.718112768963e+00 
       7.187997520434e-03       3.755631970297e+00 
       7.310107910369e-03       3.792351916701e+00 
       7.432303346994e-03       3.828276725492e+00 
       7.554580416072e-03       3.863422069808e+00 
       7.676935923868e-03       3.897797980027e+00 
       7.799366881390e-03       3.931405515489e+00 
       7.921870489981e-03       3.964251623242e+00 
       8.044444128110e-03       3.996358301921e+00 
       8.167085339271e-03       4.027723263589e+00 
       8.289791820870e-03       4.058360534312e+00 
       8.412561414027e-03       4.088282044320e+00 
       8.535392094189e-03       4.117486608466e+00 
       8.658281962499e-03       4.145992609081e+00 
       8.781229237845e-03       4.173805508654e+00 
       8.904232249532e-03       4.200936960645e+00 
       9.027289430517e-03       4.227393977764e+00 
       9.150399311170e-03       4.253183988339e+00 
       9.273560513504e-03       4.278323624459e+00 
       9.396771745844e-03       4.302812619321e+00 
       9.520031797891e-03       4.326663443822e+00 
       9.643339536152e-03       4.349884010278e+00 
       9.766693899711e-03       4.372479811161e+00 
       9.890093896300e-03       4.394466180065e+00 
       1.001353859866e-02       4.415846030347e+00 
       1.013702714118e-02       4.436634045970e+00 
       1.026055871672e-02       4.456826462633e+00 
       1.038413257374e-02       4.476439092809e+00 
       1.050774801356e-02       4.495483531675e+00 
       1.063140438788e-02       4.513951546407e+00 
       1.075510109639e-02       4.531867753099e+00 
       1.087883758462e-02       4.549232292646e+00 
       1.100261334193e-02       4.566050910298e+00 
       1.112642789957e-02       4.582334055877e+00 
       1.125028082899e-02       4.598082967058e+00 
       1.137417174014e-02       4.613314380731e+00 
       1.149810028000e-02       4.628019325023e+00 
       1.162206613114e-02       4.642219983217e+00 
       1.174606901039e-02       4.655909967399e+00 
       1.187010866765e-02       4.669105779178e+00 
       1.199418488471e-02       4.681810648916e+00 
       1.211829747421e-02       4.694024170820e+00 
       1.224244627863e-02       4.705761976435e+00 
       1.236663116941e-02       4.717020720762e+00 
       1.249085204607e-02       4.727819582363e+00 
       1.261510883545e-02       4.738147201415e+00 
       1.273940149094e-02       4.748024446700e+00 
       1.286372999182e-02       4.757447795077e+00 
       1.298809434267e-02       4.766423177048e+00 
       1.311249457272e-02       4.774958569373e+00 
       1.323693073542e-02       4.783059413641e+00 
       1.336140290784e-02       4.790727771272e+00 
       1.348591119034e-02       4.797978019596e+00 
       1.361045570605e-02       4.804805483195e+00 
       1.373503660061e-02       4.811217031716e+00 
       1.385965404174e-02       4.817222061051e+00 
       1.398430821901e-02       4.822823131276e+00 
       1.410899934352e-02       4.828023404053e+00 
       1.423372764771e-02       4.832834597346e+00 
       1.435849338511e-02       4.837255806368e+00 
       1.448329683018e-02       4.841294846851e+00 
       1.460813827812e-02       4.844955063751e+00 
       1.473301804481e-02       4.848241050876e+00 
       1.485793646664e-02       4.851157934330e+00 
       1.498289390044e-02       4.853713617669e+00 
       1.510789072347e-02       4.855910120413e+00 
       1.523292733332e-02       4.857753891651e+00 
       1.535800414793e-02       4.859247139692e+00 
       1.548312160558e-02       4.860394200504e+00 
       1.560828016494e-02       4.861206362373e+00 
       1.573348030509e-02       4.861676550868e+00 
       1.585872252561e-02       4.861830117752e+00 
       1.598400734663e-02       4.861657151942e+00 
       1.610933530897e-02       4.861149111316e+00 
       1.623470697422e-02       4.860331387928e+00 
       1.636012292492e-02       4.859210827427e+00 
       1.648558376469e-02       4.857773116040e+00 
       1.661109011841e-02       4.856034955516e+00 
       1.673664263240e-02       4.854001713362e+00 
       1.686224197463e-02       4.851672824606e+00 
       1.698788883495e-02       4.849051478758e+00 
       1.711358392534e-02       4.846154613677e+00 
       1.723932798012e-02       4.842962546687e+00 
       1.736512175629e-02       4.839517341747e+00 
       1.749096603375e-02       4.835782793404e+00 
       1.761686161566e-02       4.831788567910e+00 
       1.774280932873e-02       4.827520414345e+00 
       1.786881002356e-02       4.823001441245e+00 
       1.799486457501e-02       4.818227337077e+00 
       1.812097388257e-02       4.813199520010e+00 
       1.824713887072e-02       4.807927995138e+00 
       1.837336048938e-02       4.802408750766e+00 
       1.849963971429e-02       4.796651290608e+00 
       1.862597754748e-02       4.790657426165e+00 
       1.875237501771e-02       4.784434148119e+00 
       1.887883318094e-02       4.777973426806e+00 
       1.900535312085e-02       4.771310195122e+00 
       1.913193594933e-02       4.764419533142e+00 
       1.925858280700e-02       4.757303444014e+00 
       1.938529486380e-02       4.749979160272e+00 
       1.951207331950e-02       4.742441242530e+00 
       1.963891940434e-02       4.734703575885e+00 
       1.976583437961e-02       4.726761366705e+00 
       1.989281953829e-02       4.718625034579e+00 
       2.001987620571e-02       4.710291520379e+00 
       2.014700574018e-02       4.701771292217e+00 
       2.027420953374e-02       4.693047318365e+00 
       2.040148901283e-02       4.684162992542e+00 
       2.052884563906e-02       4.675084206591e+00 
       2.065628090997e-02       4.665828308722e+00 
       2.078379635978e-02       4.656391047525e+00 
       2.091139356027e-02       4.646800095356e+00 
       2.103907412157e-02       4.637028866597e+00 
       2.116683969302e-02       4.627101127378e+00 
       2.129469196411e-02       4.617011429674e+00 
       2.142263266535e-02       4.606762987548e+00 
       2.155066356926e-02       4.596360509774e+00 
       2.167878649131e-02       4.585802135181e+00 
       2.180700329099e-02       4.575089573043e+00 
       2.193531587278e-02       4.564240881978e+00 
       2.206372618728e-02       4.553252002175e+00 
       2.219223623229e-02       4.542114454825e+00 
       2.232084805397e-02       4.530855381071e+00 
       2.244956374803e-02       4.519448123293e+00 
       2.257838546090e-02       4.507916797517e+00 
       2.270731539105e-02       4.496258357634e+00 
       2.283635579024e-02       4.484471393951e+00 
       2.296550896486e-02       4.472565944561e+00 
       2.309477727734e-02       4.460545674171e+00 
       2.322416314755e-02       4.448406072174e+00 
       2.335366905427e-02       4.436149885454e+00 
       2.348329753672e-02       4.423787076545e+00 
       2.361305119611e-02       4.411317426525e+00 
       2.374293269725e-02       4.398740508445e+00 
       2.387294477028e-02       4.386062029845e+00 
       2.400309021230e-02       4.373283585767e+00 
       2.413337188923e-02       4.360404309118e+00 
       2.426379273761e-02       4.347435689814e+00 
       2.439435576650e-02       4.334374202462e+00 
       2.452506405949e-02       4.321221619498e+00 
       2.465592077667e-02       4.307982247060e+00 
       2.478692915676e-02       4.294658787475e+00 
       2.491809251927e-02       4.281251381933e+00 
       2.504941426679e-02       4.267764839303e+00 
       2.518089788722e-02       4.254202675628e+00 
       2.531254695627e-02       4.240570151355e+00 
       2.544436513988e-02       4.226852318178e+00 
       2.557635619681e-02       4.213071392572e+00 
       2.570852398133e-02       4.199230524527e+00 
       2.584087244594e-02       4.185302000900e+00 
       2.597340564424e-02       4.171323717640e+00 
       2.610612773389e-02       4.157282090707e+00 
       2.623904297966e-02       4.143178677104e+00 
       2.637215575665e-02       4.129020014132e+00 
       2.650547055353e-02       4.114804898322e+00 
       2.663899197597e-02       4.100536309110e+00 
       2.677272475021e-02       4.086217496642e+00 
       2.690667372668e-02       4.071847808457e+00 
       2.704084388387e-02       4.057431484631e+00 
       2.717524033223e-02       4.042968781825e+00 
       2.730986831833e-02       4.028461957112e+00 
       2.744473322907e-02       4.013913221984e+00 
       2.757984059617e-02       3.999325678299e+00 
       2.771519610072e-02       3.984697896896e+00 
       2.785080557800e-02       3.970034166945e+00 
       2.798667502244e-02       3.955335905123e+00 
       2.812281059279e-02       3.940604424779e+00 
       2.825921861753e-02       3.925840989061e+00 
       2.839590560043e-02       3.911047481067e+00 
       2.853287822642e-02       3.896225965892e+00 
       2.867014336763e-02       3.881377458195e+00 
       2.880770808975e-02       3.866504284569e+00 
       2.894557965859e-02       3.851606707823e+00 
       2.908376554696e-02       3.836687040549e+00 
       2.922227344183e-02       3.821747522213e+00 
       2.936111125182e-02       3.806788359918e+00 
       2.950028711498e-02       3.791809236224e+00 
       2.963980940692e-02       3.776815347514e+00 
       2.977968674934e-02       3.761805630969e+00 
       2.991992801888e-02       3.746782184928e+00 
       3.006054235642e-02       3.731747178786e+00 
       3.020153917674e-02       3.716697689311e+00 
       3.034292817872e-02       3.701640614219e+00 
       3.048471935591e-02       3.686573221046e+00 
       3.062692300766e-02       3.671500101209e+00 
       3.076954975073e-02       3.656417547074e+00 
       3.091261053153e-02       3.641331197300e+00 
       3.105611663883e-02       3.626237792471e+00 
       3.120007971717e-02       3.611141969515e+00 
       3.134451178094e-02       3.596044829230e+00 
       3.148942522908e-02       3.580944827822e+00 
       3.163483286058e-02       3.565843486976e+00 
       3.178074789075e-02       3.550743294974e+00 
       3.192718396829e-02       3.535643789076e+00 
       3.207415519325e-02       3.520547384141e+00 
       3.222167613596e-02       3.505452367803e+00 
       3.236976185693e-02       3.490359472202e+00 
       3.251842792776e-02       3.475274081864e+00 
       3.266769045326e-02       3.460191679746e+00 
       3.281756609471e-02       3.445116387466e+00 
       3.296807209441e-02       3.430046376386e+00 
       3.311922630162e-02       3.414984393466e+00 
       3.327104719986e-02       3.399927422428e+00 
       3.342355393590e-02       3.384879991988e+00 
       3.357676635028e-02       3.369842284249e+00 
       3.373070500968e-02       3.354810897241e+00 
       3.388539124115e-02       3.339790528765e+00 
       3.404084716838e-02       3.324778858211e+00 
       3.419709575014e-02       3.309779572039e+00 
       3.435416082110e-02       3.294789773171e+00 
       3.451206713503e-02       3.279812058339e+00 
       3.467084041087e-02       3.264845178528e+00 
       3.483050738153e-02       3.249887864876e+00 
       3.499109584590e-02       3.234942825096e+00 
       3.515263472420e-02       3.220011518897e+00 
       3.531515411689e-02       3.205091029327e+00 
       3.547868536756e-02       3.190183090616e+00 
       3.564326112997e-02       3.175285401685e+00 
       3.580891543966e-02       3.160400917158e+00 
       3.597568379052e-02       3.145529786230e+00 
       3.614360321665e-02       3.130669385372e+00 
       3.631271238005e-02       3.115819720262e+00 
       3.648305166451e-02       3.100983158105e+00 
       3.665466327647e-02       3.086157522552e+00 
       3.682759135313e-02       3.071343793754e+00 
       3.700188207881e-02       3.056540473271e+00 
       3.717758380999e-02       3.041748062772e+00 
       3.735474721006e-02       3.026964206307e+00 
       3.753342539455e-02       3.012192127326e+00 
       3.771367408789e-02       2.997426236533e+00 
       3.789555179276e-02       2.982670284135e+00 
       3.807911997330e-02       2.967922615159e+00 
       3.826444325354e-02       2.953183159294e+00 
       3.845158963247e-02       2.938449148837e+00 
       3.864063071773e-02       2.923718693069e+00 
       3.883164197941e-02       2.908996603211e+00 
       3.902470302655e-02       2.894275323980e+00 
       3.921989790844e-02       2.879558944094e+00 
       3.941731544346e-02       2.864842348382e+00 
       3.961704957874e-02       2.850126384981e+00 
       3.981919978381e-02       2.835410016310e+00 
       4.002387148228e-02       2.820692285636e+00 
       4.023117652610e-02       2.805969955459e+00 
       4.044123371716e-02       2.791242335976e+00 
       4.065416938230e-02       2.776507540479e+00 
       4.087011800810e-02       2.761765586192e+00 
       4.108922294299e-02       2.747012348838e+00 
       4.131163717545e-02       2.732246798749e+00 
       4.153752419801e-02       2.717465066352e+00 
       4.176705896879e-02       2.702668427853e+00 
       4.200042898355e-02       2.687849755737e+00 
       4.223783547389e-02       2.673008301648e+00 
       4.247949474925e-02       2.658145433310e+00 
       4.272563970381e-02       2.643252307755e+00 
       4.297652151252e-02       2.628325803821e+00 
       4.323241154501e-02       2.613365642090e+00 
       4.349360353122e-02       2.598368365652e+00 
       4.376041601845e-02       2.583326277065e+00 
       4.403319516735e-02       2.568237085963e+00 
       4.431231794305e-02       2.553096275769e+00 
       4.459819576870e-02       2.537897968125e+00 
       4.489127872208e-02       2.522640991178e+00 
       4.519206037240e-02       2.507311279219e+00 
       4.550108337449e-02       2.491903519258e+00 
       4.581894596305e-02       2.476417720157e+00 
       4.614630952020e-02       2.460839472945e+00 
       4.648390742907e-02       2.445158955381e+00 
       4.683255547441e-02       2.429370980845e+00 
       4.719316411280e-02       2.413468670077e+00 
       4.756675301229e-02       2.397435822860e+00 
       4.795446835950e-02       2.381261928978e+00 
       4.835760355679e-02       2.364942984120e+00 
       4.877762409092e-02       2.348422294976e+00 
       4.921619755703e-02       2.331692185894e+00 
       4.967523007970e-02       2.314743976343e+00 
       5.015691069999e-02       2.297538242569e+00 
       5.066376571099e-02       2.280054593692e+00 
       5.119872543759e-02       2.262245194553e+00 
       5.176520658204e-02       2.244070408261e+00 
       5.236721398511e-02       2.225473672602e+00 
       5.300946643626e-02       2.206380314123e+00 
       5.369755186298e-02       2.186707175119e+00 
       5.443811750858e-02       2.166342611875e+00 
       5.523909986108e-02       2.145142318033e+00 
       5.610999569786e-02       2.122921754340e+00 
       5.706216693470e-02       2.099432369069e+00 
       5.810915311482e-02       2.074342299029e+00 
       5.926692833934e-02       2.047204514294e+00 
       6.055397336706e-02       2.017418789193e+00 
       6.199093018729e-02       1.984169271391e+00 
       6.359947940448e-02       1.946419799607e+00 
       6.540001142378e-02       1.902859306578e+00 
       6.740785583239e-02       1.852039215171e+00 
       6.962856953198e-02       1.792598496450e+00 
       7.205402575154e-02       1.723696051548e+00 
       7.466181557294e-02       1.645510390474e+00 
       7.741925944084e-02       1.559553876324e+00 
       8.029037150168e-02       1.468594772408e+00 
       8.324228134396e-02       1.376189353963e+00 
       8.624873566558e-02       1.286052591375e+00 
       8.929066761749e-02       1.201482423048e+00 
       9.235510010565e-02       1.124983851316e+00 
       9.543357073890e-02       1.058102298388e+00 
       9.852071037994e-02       1.001424500912e+00 
       1.016131705477e-01       9.546821478431e-01 
       1.047088850041e-01       9.169233532143e-01 
       1.078065869454e-01       8.866859296027e-01 
       1.109055026726e-01       8.621835763326e-01 
       1.140051606747e-01       8.414841109956e-01 
       1.171052739085e-01       8.226774395920e-01 
       1.202056676777e-01       8.040419524393e-01 
       1.233062356186e-01       7.841872821317e-01 
       1.264069129017e-01       7.621622803337e-01 
       1.295076599371e-01       7.375136210445e-01 
       1.326084524750e-01       7.102748758817e-01 
       1.357092755935e-01       6.809188072782e-01 
       1.388101200478e-01       6.502183342846e-01 
       1.419109800535e-01       6.191340634283e-01 
       1.450118519396e-01       5.886653616611e-01 
       1.481127333302e-01       5.597301758790e-01 
       1.512136226471e-01       5.330761714030e-01 
       1.543145188064e-01       5.092243017656e-01 
       1.574154210335e-01       4.884425566850e-01 
       1.605163287508e-01       4.707523381968e-01 
       1.636172415074e-01       4.559598164373e-01 
       1.667181589372e-01       4.436911514116e-01 
       1.698190807317e-01       4.334469233541e-01 
       1.729200066233e-01       4.246533489369e-01 
       1.760209363751e-01       4.167306978421e-01 
       1.791218697736e-01       4.091900438866e-01 
       1.822228066242e-01       4.014456257022e-01 
       1.853237467480e-01       3.931087807679e-01 
       1.884246899796e-01       3.839351865888e-01 
       1.915256361651e-01       3.738392176561e-01 
       1.946265851615e-01       3.628915168481e-01 
       1.977275368348e-01       3.512894706809e-01 
       2.008284910597e-01       3.393134148252e-01 
       2.039294477188e-01       3.272783464239e-01 
       2.070304067018e-01       3.154979507277e-01 
       2.101313679048e-01       3.042444512735e-01 
       2.132323312304e-01       2.937336521884e-01 
       2.163332965866e-01       2.841187225986e-01 
       2.194342638866e-01       2.754831563140e-01 
       2.225352330487e-01       2.678459998167e-01 
       2.256362039955e-01       2.611549957507e-01 
       2.287371766540e-01       2.553091692888e-01 
       2.318381509550e-01       2.501549938737e-01 
       2.349391268330e-01       2.455092073636e-01 
       2.380401042261e-01       2.411800879487e-01 
       2.411410830753e-01       2.369845548173e-01 
