# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.057987313284e-09 
       8.891666132421e-06       3.029951517079e-09 
       1.119394444729e-05       3.002172754598e-09 
       1.409234112291e-05       2.974648669342e-09 
       1.774120635130e-05       2.947376926417e-09 
       2.233485551154e-05       2.920355212334e-09 
       2.811791717223e-05       2.893581234814e-09 
       3.539836045484e-05       2.867052722596e-09 
       4.456389551245e-05       2.840767425240e-09 
       5.610262050917e-05       2.814723112939e-09 
       7.062901462723e-05       2.788917576328e-09 
       8.891666132421e-05       2.763348626299e-09 
       1.119394444729e-04       2.738014093812e-09 
       1.409234112291e-04       2.712911829716e-09 
       1.774120635130e-04       2.688039704560e-09 
       2.233485551154e-04       2.663395608418e-09 
       2.811791717223e-04       2.638977450708e-09 
       3.539836045484e-04       2.614783160013e-09 
       4.456389551245e-04       2.590810683908e-09 
       5.610262050917e-04       2.567057988786e-09 
       7.062901462723e-04       2.543523059681e-09 
       8.891666132421e-04       2.520203900104e-09 
       1.119394444729e-03       2.497098531866e-09 
       1.409234112291e-03       2.474204994918e-09 
       1.774120635130e-03       2.451521347178e-09 
       2.233485551154e-03       2.429045664370e-09 
       2.811791717223e-03       2.406776039861e-09 
       3.539836045484e-03       2.384710584497e-09 
       4.456389551245e-03       2.362847426443e-09 
       5.610262050917e-03       2.341184711028e-09 
       7.062901462723e-03       2.319720600581e-09 
       8.891666132421e-03       2.298453274281e-09 
       1.119394444729e-02       2.277380928001e-09 
       1.409234112291e-02       2.256501774153e-09 
       1.774120635130e-02       2.235814041538e-09 
       2.233485551154e-02       2.215315975196e-09 
       2.811791717223e-02       2.195005836255e-09 
       3.539836045484e-02       2.174881901788e-09 
       4.456389551245e-02       2.154942464661e-09 
       5.610262050917e-02       2.135185833392e-09 
       7.062901462723e-02       2.115610332007e-09 
       8.891666132421e-02       2.096214299898e-09 
       1.119394444729e-01       2.076996091680e-09 
       1.409234112291e-01       2.057954077054e-09 
       1.774120635130e-01       2.039086640667e-09 
       2.233485551154e-01       2.020392181977e-09 
       2.811791717223e-01       2.001869115114e-09 
       3.539836045484e-01       1.983515868750e-09 
       4.456389551245e-01       1.965330885959e-09 
       5.610262050917e-01       1.947312624092e-09 
       7.062901462723e-01       1.929459554644e-09 
       8.891666132421e-01       1.911770163120e-09 
       1.119394444729e+00       1.894242948912e-09 
       1.409234112291e+00       1.876876425170e-09 
       1.774120635130e+00       1.859669118674e-09 
       2.233485551154e+00       1.842619569713e-09 
       2.811791717223e+00       1.825726331956e-09 
       3.539836045484e+00       1.808987972334e-09 
       4.456389551245e+00       1.792403070915e-09 
       5.610262050917e+00       1.775970220787e-09 
       7.062901462723e+00       1.759688027934e-09 
       8.891666132421e+00       1.743555111122e-09 
       1.119394444729e+01       1.727570101781e-09 
       1.409234112291e+01       1.711731643886e-09 
       1.774120635130e+01       1.696038393846e-09 
       2.233485551154e+01       1.680489020388e-09 
       2.811791717223e+01       1.665082204442e-09 
       3.539836045484e+01       1.649816639033e-09 
       4.456389551245e+01       1.634691029170e-09 
       5.610262050917e+01       1.619704091731e-09 
       7.062901462723e+01       1.604854555361e-09 
       8.891666132421e+01       1.590141160358e-09 
       1.119394444729e+02       1.575562658571e-09 
       1.409234112291e+02       1.561117813293e-09 
       1.774120635130e+02       1.546805399152e-09 
