# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_dmeff               15:t_fld                 16:t_ur                  17:t_tot              
       1.008985923246e-05      -1.550583373877e+00      -1.162937530502e+00      -1.162937530506e+00      -1.162937530506e+00       0.000000000000e+00      -1.550583373859e+00      -1.174171823285e+00       6.123577512806e-01       5.967936714027e-01       1.525955829822e-08       1.525978706486e-08       1.525978809665e-08       1.525978809573e-08                      nan       1.525954169552e-08       1.525977887916e-08 
       2.251775554681e-05      -1.550634496303e+00      -1.162975873028e+00      -1.162975873013e+00      -1.162975873013e+00       0.000000000000e+00      -1.550634496164e+00      -1.174210536166e+00       6.123592798241e-01       5.967953560037e-01       7.599991747161e-08       7.600284724877e-08       7.600284355243e-08       7.600284353021e-08                      nan       7.599971325731e-08       7.600272895693e-08 
       3.498636120247e-05      -1.550737324761e+00      -1.163052999047e+00      -1.163052999014e+00      -1.163052999013e+00       0.000000000000e+00      -1.550737323815e+00      -1.174288407040e+00       6.123588886902e-01       5.967956107651e-01       1.834567561960e-07       1.834752680990e-07       1.834752626922e-07       1.834752625633e-07                      nan       1.834554723996e-07       1.834745351949e-07 
       4.752690064658e-05      -1.550898675670e+00      -1.163174028887e+00      -1.163174028936e+00      -1.163174028933e+00       0.000000000000e+00      -1.550898672086e+00      -1.174410605452e+00       6.123550831737e-01       5.967929846225e-01       3.385074147014e-07       3.385770764122e-07       3.385771000594e-07       3.385770996213e-07                      nan       3.385027816905e-07       3.385743568924e-07 
       6.017107953230e-05      -1.551111418094e+00      -1.163333624561e+00      -1.163333624770e+00      -1.163333624762e+00       0.000000000000e+00      -1.551111408597e+00      -1.174571741422e+00       6.123499682824e-01       5.967894269145e-01       5.425036262763e-07       5.426904505001e-07       5.426905226993e-07       5.426905215745e-07                      nan       5.424915303034e-07       5.426831692855e-07 
       7.295134796122e-05      -1.551386284052e+00      -1.163539853334e+00      -1.163539854418e+00      -1.163539854399e+00       0.000000000000e+00      -1.551386262007e+00      -1.174779959918e+00       6.123412987885e-01       5.967828726388e-01       7.972784846264e-07       7.976994251598e-07       7.976997707573e-07       7.976997683279e-07                      nan       7.972512562026e-07       7.976831669976e-07 
       8.590117158737e-05      -1.551712341580e+00      -1.163784531858e+00      -1.163784534196e+00      -1.163784534161e+00       0.000000000000e+00      -1.551712298566e+00      -1.175026997641e+00       6.123323742014e-01       5.967763864161e-01       1.105209509757e-06       1.106030385910e-06       1.106031116258e-06       1.106031111589e-06                      nan       1.105156722307e-06       1.105998731054e-06 
       9.905531395762e-05      -1.552090210435e+00      -1.164068144443e+00      -1.164068148706e+00      -1.164068148644e+00       0.000000000000e+00      -1.552090134149e+00      -1.175313343018e+00       6.123237414969e-01       5.967704817760e-01       1.469240099416e-06       1.470690251759e-06       1.470691594517e-06       1.470691586262e-06                      nan       1.469146601322e-06       1.470634368976e-06 
       1.124501334903e-04      -1.552525876807e+00      -1.164395212429e+00      -1.164395218622e+00      -1.164395218519e+00       0.000000000000e+00      -1.552525751861e+00      -1.175643559263e+00       6.123147515694e-01       5.967645928441e-01       1.892921018035e-06       1.895320212717e-06       1.895322097081e-06       1.895322083372e-06                      nan       1.892767123664e-06       1.895227499266e-06 
       1.261238985241e-04      -1.553029774635e+00      -1.164773600001e+00      -1.164773610513e+00      -1.164773610350e+00       0.000000000000e+00      -1.553029575737e+00      -1.176025586854e+00       6.123038050281e-01       5.967572472213e-01       2.380469412845e-06       2.384259077623e-06       2.384262355317e-06       2.384262333623e-06                      nan       2.380224994738e-06       2.384112852683e-06 
