# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901094126e-06       3.058437215047e-09 
       8.891665668384e-06       3.030397294118e-09 
       1.119394386311e-05       3.002614444729e-09 
       1.409234038746e-05       2.975086310034e-09 
       1.774120542543e-05       2.947810554794e-09 
       2.233485434593e-05       2.920784865182e-09 
       2.811791570482e-05       2.894006948582e-09 
       3.539835860748e-05       2.867474533397e-09 
       4.456389318676e-05       2.841185368856e-09 
       5.610261758129e-05       2.815137224824e-09 
       7.062901094126e-05       2.789327891613e-09 
       8.891665668384e-05       2.763755179790e-09 
       1.119394386311e-04       2.738416919999e-09 
       1.409234038746e-04       2.713310962770e-09 
       1.774120542543e-04       2.688435178340e-09 
       2.233485434593e-04       2.663787456473e-09 
       2.811791570482e-04       2.639365706278e-09 
       3.539835860748e-04       2.615167856035e-09 
       4.456389318676e-04       2.591191853016e-09 
       5.610261758129e-04       2.567435663314e-09 
       7.062901094126e-04       2.543897271669e-09 
       8.891665668384e-04       2.520574681295e-09 
       1.119394386311e-03       2.497465913715e-09 
       1.409234038746e-03       2.474569008589e-09 
       1.774120542543e-03       2.451882023552e-09 
       2.233485434593e-03       2.429403034044e-09 
       2.811791570482e-03       2.407130133150e-09 
       3.539835860748e-03       2.385061431439e-09 
       4.456389318676e-03       2.363195056801e-09 
       5.610261758129e-03       2.341529154291e-09 
       7.062901094126e-03       2.320061885970e-09 
       8.891665668384e-03       2.298791430747e-09 
       1.119394386311e-02       2.277715984230e-09 
       1.409234038746e-02       2.256833758568e-09 
       1.774120542543e-02       2.236142982301e-09 
       2.233485434593e-02       2.215641900212e-09 
       2.811791570482e-02       2.195328773173e-09 
       3.539835860748e-02       2.175201878002e-09 
       4.456389318676e-02       2.155259507315e-09 
       5.610261758129e-02       2.135499969382e-09 
       7.062901094126e-02       2.115921587981e-09 
       8.891665668384e-02       2.096522702260e-09 
       1.119394386311e-01       2.077301666592e-09 
       1.409234038746e-01       2.058256850438e-09 
       1.774120542543e-01       2.039386638208e-09 
       2.233485434593e-01       2.020689429124e-09 
       2.811791570482e-01       2.002163637084e-09 
       3.539835860748e-01       1.983807690525e-09 
       4.456389318676e-01       1.965620032296e-09 
       5.610261758129e-01       1.947599119520e-09 
       7.062901094126e-01       1.929743423466e-09 
       8.891665668384e-01       1.912051429417e-09 
       1.119394386311e+00       1.894521636544e-09 
       1.409234038746e+00       1.877152557778e-09 
       1.774120542543e+00       1.859942719684e-09 
       2.233485434593e+00       1.842890662333e-09 
       2.811791570482e+00       1.825994939185e-09 
       3.539835860748e+00       1.809254116957e-09 
       4.456389318676e+00       1.792666775509e-09 
       5.610261758129e+00       1.776231507723e-09 
       7.062901094126e+00       1.759946919377e-09 
       8.891665668384e+00       1.743811629034e-09 
       1.119394386311e+01       1.727824267922e-09 
       1.409234038746e+01       1.711983479818e-09 
       1.774120542543e+01       1.696287920933e-09 
       2.233485434593e+01       1.680736259796e-09 
       2.811791570482e+01       1.665327177145e-09 
       3.539835860748e+01       1.650059365814e-09 
       4.456389318676e+01       1.634931530618e-09 
       5.610261758129e+01       1.619942388248e-09 
       7.062901094126e+01       1.605090667162e-09 
       8.891665668384e+01       1.590375107474e-09 
       1.119394386311e+02       1.575794460847e-09 
       1.409234038746e+02       1.561347490393e-09 
