# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.124430564697e+03       3.561196652974e-02       0.000000000000e+00       2.822505031714e+00       4.985704358372e-08       3.377804250477e-03      -1.343699465625e-05 
    3       1.053086811534e+03       4.497461290377e-02       0.000000000000e+00       3.180426356245e+00       6.156216703339e-08       3.373766586064e-03      -1.427804771875e-05 
    4       9.887613325741e+02       3.824585775196e-02       0.000000000000e+00       2.970168999893e+00       7.147360512146e-08       3.286121910290e-03      -1.190662607286e-05 
    5       9.409473157271e+02       2.505329972363e-02       0.000000000000e+00       2.519814558698e+00       8.006833230868e-08       3.169691100945e-03      -7.927890113546e-06 
    6       9.078916701423e+02       1.378273401972e-02       0.000000000000e+00       2.017846227688e+00       8.756341993426e-08       3.044218397139e-03      -3.661259942659e-06 
    7       8.859749629213e+02       7.409797919333e-03       0.000000000000e+00       1.573236186835e+00       9.412273201729e-08       2.918672481892e-03      -1.040238029232e-07 
    8       8.725340168415e+02       4.819319183210e-03       0.000000000000e+00       1.232983282597e+00       9.988586364257e-08       2.797977780931e-03       2.171621329665e-06 
    9       8.653515006003e+02       3.871232517591e-03       0.000000000000e+00       1.006576398560e+00       1.050115839607e-07       2.685092828112e-03       3.027017850724e-06 
   10       8.625866723353e+02       3.261968575932e-03       0.000000000000e+00       8.820899182741e-01       1.096379652471e-07       2.580847448086e-03       2.685589699687e-06 
   11       8.635232832284e+02       2.711995362322e-03       0.000000000000e+00       8.369660504089e-01       1.113169214854e-07       2.495408516228e-03       1.610959096072e-06 
   12       8.670773925509e+02       2.357488759276e-03       0.000000000000e+00       8.457613405079e-01       1.149366290535e-07       2.397908076669e-03       2.893492808785e-07 
   13       8.727324490061e+02       2.261993870092e-03       0.000000000000e+00       8.864226574960e-01       1.181755945539e-07       2.312686560667e-03      -8.302169110283e-07 
   14       8.799488189779e+02       2.342100743710e-03       0.000000000000e+00       9.427624571848e-01       1.210759035644e-07       2.224075926099e-03      -1.504208164647e-06 
   15       8.887094427997e+02       2.508525002564e-03       0.000000000000e+00       1.004259128424e+00       1.236728487830e-07       2.143853350028e-03      -1.651854045757e-06 
   16       8.985708876993e+02       2.756837929985e-03       0.000000000000e+00       1.066427079354e+00       1.259982962464e-07       2.068790965449e-03      -1.375174069236e-06 
   17       9.094578253114e+02       3.136287188754e-03       0.000000000000e+00       1.128533879597e+00       1.280790251455e-07       1.997459943997e-03      -8.753041340852e-07 
   18       9.210124811032e+02       3.683541652767e-03       0.000000000000e+00       1.192360834510e+00       1.298880999088e-07       1.929102101072e-03      -3.843539610285e-07 
   19       9.333205480632e+02       4.396777101647e-03       0.000000000000e+00       1.259694272738e+00       1.315952140741e-07       1.865744630758e-03      -4.562794235878e-08 
   20       9.462250465356e+02       5.257085946734e-03       0.000000000000e+00       1.331870214043e+00       1.330608181623e-07       1.805955102547e-03       3.432251217441e-08 
   21       9.597719671472e+02       6.259978185939e-03       0.000000000000e+00       1.408541440892e+00       1.343733289853e-07       1.749769488442e-03      -1.293305721334e-07 
   22       9.738238035493e+02       7.402858279211e-03       0.000000000000e+00       1.488057723758e+00       1.355072802782e-07       1.695125899230e-03      -4.362513661918e-07 
   23       9.883660058483e+02       8.683995984468e-03       0.000000000000e+00       1.567153480285e+00       1.365335366633e-07       1.642569746601e-03      -7.838582302555e-07 
   24       1.003272168800e+03       1.010133369814e-02       0.000000000000e+00       1.641793774593e+00       1.374036356668e-07       1.592062869032e-03      -1.052143000350e-06 
   25       1.018623081719e+03       1.165892159014e-02       0.000000000000e+00       1.709966622214e+00       1.381726456470e-07       1.544670249380e-03      -1.184116423743e-06 
   26       1.034423071319e+03       1.336426579708e-02       0.000000000000e+00       1.770367866843e+00       1.388187573474e-07       1.500499472818e-03      -1.157711817567e-06 
   27       1.050566709075e+03       1.523264517454e-02       0.000000000000e+00       1.822494820927e+00       1.393691627497e-07       1.458790884688e-03      -1.015088767273e-06 
   28       1.066854639446e+03       1.728167662133e-02       0.000000000000e+00       1.866306313931e+00       1.397873693234e-07       1.417725185468e-03      -8.341193809009e-07 
   29       1.083362406569e+03       1.952210893467e-02       0.000000000000e+00       1.902289029036e+00       1.401471827656e-07       1.378030856534e-03      -6.633063586094e-07 
   30       1.100171835159e+03       2.196244388433e-02       0.000000000000e+00       1.931359798893e+00       1.404692920836e-07       1.340670025275e-03      -5.523381713602e-07 
   31       1.117282923700e+03       2.461066078299e-02       0.000000000000e+00       1.954448784352e+00       1.406730974153e-07       1.305802169611e-03      -5.505659016046e-07 
   32       1.134713465548e+03       2.747358438948e-02       0.000000000000e+00       1.971142239139e+00       1.408037381300e-07       1.273265329306e-03      -6.443725803321e-07 
   33       1.152415596777e+03       3.055717211573e-02       0.000000000000e+00       1.980522285084e+00       1.408897764387e-07       1.241965757657e-03      -7.848555570876e-07 
   34       1.170290738655e+03       3.386703459515e-02       0.000000000000e+00       1.981538857267e+00       1.408945684093e-07       1.210257370870e-03      -9.118724406772e-07 
   35       1.188371851235e+03       3.740991332855e-02       0.000000000000e+00       1.973135266431e+00       1.408501923111e-07       1.178657724802e-03      -1.001072545695e-06 
   36       1.206691827693e+03       4.119265942931e-02       0.000000000000e+00       1.954146432642e+00       1.407635175261e-07       1.148257385682e-03      -1.037466294473e-06 
   37       1.225246488521e+03       4.522171787110e-02       0.000000000000e+00       1.923506469156e+00       1.405952231829e-07       1.119906520018e-03      -1.009708842203e-06 
   38       1.244054159510e+03       4.950277823819e-02       0.000000000000e+00       1.881112028158e+00       1.403839302962e-07       1.093850627491e-03      -9.317082973842e-07 
   39       1.263106641500e+03       5.404095703427e-02       0.000000000000e+00       1.827249350113e+00       1.401655933655e-07       1.069806774657e-03      -8.321224805331e-07 
   40       1.282347037584e+03       5.884084854348e-02       0.000000000000e+00       1.762376491123e+00       1.399268680026e-07       1.046939887385e-03      -7.507175625941e-07 
   41       1.301701912675e+03       6.390684242633e-02       0.000000000000e+00       1.686953053369e+00       1.396204700319e-07       1.024176848359e-03      -7.277564809987e-07 
   42       1.321202051928e+03       6.924428085743e-02       0.000000000000e+00       1.600837698144e+00       1.392690978408e-07       1.001587329451e-03      -7.620940044729e-07 
   43       1.340892829175e+03       7.485862205728e-02       0.000000000000e+00       1.503712017698e+00       1.388983145301e-07       9.795001203889e-04      -8.354051155892e-07 
   44       1.360798302943e+03       8.075511293391e-02       0.000000000000e+00       1.395242304410e+00       1.385007919906e-07       9.581199275528e-04      -9.216812357860e-07 
   45       1.380926429682e+03       8.693850807908e-02       0.000000000000e+00       1.275083233763e+00       1.380486296166e-07       9.375464025175e-04      -9.935476697160e-07 
   46       1.401292031917e+03       9.341214843193e-02       0.000000000000e+00       1.142895039916e+00       1.375661473131e-07       9.179112402941e-04      -1.047073626719e-06 
   47       1.421896748219e+03       1.001785913963e-01       0.000000000000e+00       9.983280002431e-01       1.370817060156e-07       8.992535307007e-04      -1.086265636024e-06 
   48       1.442720256585e+03       1.072398343810e-01       0.000000000000e+00       8.410154869475e-01       1.366032720603e-07       8.814539969771e-04      -1.116889979287e-06 
   49       1.463718387165e+03       1.145972898765e-01       0.000000000000e+00       6.705722541088e-01       1.361122303176e-07       8.642091349713e-04      -1.146684324702e-06 
   50       1.484843601831e+03       1.222519931986e-01       0.000000000000e+00       4.866399812287e-01       1.355754793122e-07       8.471504312852e-04      -1.183650384993e-06 
   51       1.506117364902e+03       1.302053500203e-01       0.000000000000e+00       2.890424518413e-01       1.350071181950e-07       8.303260050347e-04      -1.229564590650e-06 
   52       1.527574154346e+03       1.384585486669e-01       0.000000000000e+00       7.766953544226e-02       1.344274228436e-07       8.138653541335e-04      -1.284241555462e-06 
   53       1.549239996906e+03       1.470123315415e-01       0.000000000000e+00      -1.475658887935e-01       1.338434302426e-07       7.978400952663e-04      -1.347207883170e-06 
   54       1.571131633371e+03       1.558669811495e-01       0.000000000000e+00      -3.867274211276e-01       1.332453061389e-07       7.822538873836e-04      -1.417666383326e-06 
   55       1.593258791343e+03       1.650224119083e-01       0.000000000000e+00      -6.398590933811e-01       1.326147893363e-07       7.670758391126e-04      -1.494406135395e-06 
   56       1.615633576988e+03       1.744785042953e-01       0.000000000000e+00      -9.069995454033e-01       1.319655045419e-07       7.523807294133e-04      -1.575582573907e-06 
   57       1.638261954305e+03       1.842348292320e-01       0.000000000000e+00      -1.188170475488e+00       1.313151431991e-07       7.382418012841e-04      -1.658791743161e-06 
   58       1.661140143921e+03       1.942905399352e-01       0.000000000000e+00      -1.483372156253e+00       1.306726870012e-07       7.246846835388e-04      -1.741069273997e-06 
   59       1.684253909434e+03       2.046443620640e-01       0.000000000000e+00      -1.792583097638e+00       1.300361738710e-07       7.116803971374e-04      -1.818840476374e-06 
   60       1.707577843758e+03       2.152945838672e-01       0.000000000000e+00      -2.115759709906e+00       1.293902600287e-07       6.991380613142e-04      -1.887868704980e-06 
   61       1.731086200915e+03       2.262386702497e-01       0.000000000000e+00      -2.452842336806e+00       1.287143788075e-07       6.869460703915e-04      -1.944154865000e-06 
   62       1.754789847055e+03       2.374720260359e-01       0.000000000000e+00      -2.803775699932e+00       1.280180594736e-07       6.751298571565e-04      -1.987118880022e-06 
   63       1.778706374841e+03       2.489889363599e-01       0.000000000000e+00      -3.168492466195e+00       1.273164525184e-07       6.637333625304e-04      -2.017387177090e-06 
   64       1.802848949426e+03       2.607828968959e-01       0.000000000000e+00      -3.546907150378e+00       1.266197299778e-07       6.527711688820e-04      -2.035964909422e-06 
   65       1.827225961131e+03       2.728465920724e-01       0.000000000000e+00      -3.938915980263e+00       1.259318544985e-07       6.422246496298e-04      -2.044272290939e-06 
   66       1.851840678110e+03       2.851718732867e-01       0.000000000000e+00      -4.344396761743e+00       1.252492449627e-07       6.320379696159e-04      -2.044182153556e-06 
   67       1.876690899024e+03       2.977497371193e-01       0.000000000000e+00      -4.763208743949e+00       1.245593353783e-07       6.221139362527e-04      -2.038058727235e-06 
   68       1.901772973795e+03       3.105711314523e-01       0.000000000000e+00      -5.195192429405e+00       1.238468063148e-07       6.123492098918e-04      -2.028308468587e-06 
   69       1.927095588298e+03       3.236296121990e-01       0.000000000000e+00      -5.640169261343e+00       1.231189844118e-07       6.027624280566e-04      -2.015779850703e-06 
   70       1.952668161685e+03       3.369191882345e-01       0.000000000000e+00      -6.097941630434e+00       1.223877702747e-07       5.933970484463e-04      -2.000951849707e-06 
   71       1.978496494056e+03       3.504335405211e-01       0.000000000000e+00      -6.568292790301e+00       1.216620899848e-07       5.842835753649e-04      -1.984386549994e-06 
   72       2.004582530843e+03       3.641660214968e-01       0.000000000000e+00      -7.050986721230e+00       1.209472083461e-07       5.754378731666e-04      -1.966734312848e-06 
   73       2.030924127197e+03       3.781096544635e-01       0.000000000000e+00      -7.545767993884e+00       1.202439897065e-07       5.668594189816e-04      -1.948739071956e-06 
   74       2.057514812377e+03       3.922571329755e-01       0.000000000000e+00      -8.052361633020e+00       1.195481048408e-07       5.585294947236e-04      -1.931243755829e-06 
   75       2.084343554136e+03       4.066008202280e-01       0.000000000000e+00      -8.570472981199e+00       1.188491823838e-07       5.504093183778e-04      -1.915195837114e-06 
   76       2.111399635600e+03       4.211324112566e-01       0.000000000000e+00      -9.099799069703e+00       1.181353991449e-07       5.424565107886e-04      -1.901492315752e-06 
   77       2.138688833450e+03       4.358418497743e-01       0.000000000000e+00      -9.640065426425e+00       1.174113481189e-07       5.346841415517e-04      -1.890452365351e-06 
   78       2.166219775551e+03       4.507182117855e-01       0.000000000000e+00      -1.019099576365e+01       1.166849421334e-07       5.271142383413e-04      -1.882211449922e-06 
   79       2.193998961526e+03       4.657500178480e-01       0.000000000000e+00      -1.075230116440e+01       1.159620971875e-07       5.197598459097e-04      -1.876865652502e-06 
   80       2.222030631976e+03       4.809252255465e-01       0.000000000000e+00      -1.132368018206e+01       1.152463325333e-07       5.126240446672e-04      -1.874467456437e-06 
   81       2.250316637702e+03       4.962312219670e-01       0.000000000000e+00      -1.190481894012e+01       1.145383435604e-07       5.056989381300e-04      -1.875021395116e-06 
   82       2.278856308929e+03       5.116548161707e-01       0.000000000000e+00      -1.249539123180e+01       1.138355467800e-07       4.989646092364e-04      -1.878479570153e-06 
   83       2.307646324531e+03       5.271822316681e-01       0.000000000000e+00      -1.309505861977e+01       1.131315962055e-07       4.923880455311e-04      -1.884737038025e-06 
   84       2.336682904711e+03       5.427995523127e-01       0.000000000000e+00      -1.370346593745e+01       1.124194301011e-07       4.859351586807e-04      -1.893619921040e-06 
   85       2.365969093184e+03       5.584941613995e-01       0.000000000000e+00      -1.432022671772e+01       1.117027792792e-07       4.796127961518e-04      -1.904857045234e-06 
   86       2.395508448064e+03       5.742535284496e-01       0.000000000000e+00      -1.494493552014e+01       1.109874811857e-07       4.734350995855e-04      -1.918092607470e-06 
   87       2.425302735369e+03       5.900647770948e-01       0.000000000000e+00      -1.557717233657e+01       1.102780165886e-07       4.674107675877e-04      -1.932887315881e-06 
   88       2.455351837289e+03       6.059146851730e-01       0.000000000000e+00      -1.621650261358e+01       1.095772660748e-07       4.615425183817e-04      -1.948712741498e-06 
   89       2.485653660462e+03       6.217896848219e-01       0.000000000000e+00      -1.686247727487e+01       1.088862515731e-07       4.558265369929e-04      -1.964945529800e-06 
   90       2.516204044244e+03       6.376758625744e-01       0.000000000000e+00      -1.751463274362e+01       1.082038625556e-07       4.502519069666e-04      -1.980861472202e-06 
   91       2.546996668985e+03       6.535589594523e-01       0.000000000000e+00      -1.817249096489e+01       1.075265665629e-07       4.448000266163e-04      -1.995629437448e-06 
   92       2.578022964298e+03       6.694243710615e-01       0.000000000000e+00      -1.883555942806e+01       1.068481037061e-07       4.394440098058e-04      -2.008305162953e-06 
   93       2.609274684777e+03       6.852573923990e-01       0.000000000000e+00      -1.950334015779e+01       1.061620639328e-07       4.341580270110e-04      -2.018044769427e-06 
   94       2.640752279524e+03       7.010439941876e-01       0.000000000000e+00      -2.017535818524e+01       1.054712541313e-07       4.289491254010e-04      -2.024814905092e-06 
