# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.124434169668e+03       3.561364030027e-02       1.673770190536e-06       2.822505000655e+00       4.985704358372e-08       3.377804250477e-03      -1.343699465625e-05 
    3       1.053094004632e+03       4.497796118991e-02       3.348282821297e-06       3.180426217817e+00       6.156216703339e-08       3.373766586064e-03      -1.427804771875e-05 
    4       9.887732840846e+02       3.825143987389e-02       5.582105645173e-06       2.970168602091e+00       7.147360512146e-08       3.286121910290e-03      -1.190662607286e-05 
    5       9.409651746976e+02       2.506167596501e-02       8.376185656473e-06       2.519813652339e+00       8.006833230868e-08       3.169691100945e-03      -7.927890113546e-06 
    6       9.079165600891e+02       1.379446584232e-02       1.173167073851e-05       2.017844445196e+00       8.756341993426e-08       3.044218397139e-03      -3.661259942659e-06 
    7       8.860079781597e+02       7.425448159761e-03       1.564988741358e-05       1.573233022906e+00       9.412273201729e-08       2.918672481892e-03      -1.040238029232e-07 
    8       8.725762195158e+02       4.839452227980e-03       2.013231572097e-05       1.232978076985e+00       9.988586364257e-08       2.797977780931e-03       2.171621329665e-06 
    9       8.654039184647e+02       3.896414452531e-03       2.518056198746e-05       1.006568321185e+00       1.050115839607e-07       2.685092828112e-03       3.027017850724e-06 
   10       8.626502973107e+02       3.292767306171e-03       3.079633030762e-05       8.820779567449e-01       1.096379652471e-07       2.580847448086e-03       2.685589699687e-06 
   11       8.635990707349e+02       2.748980699103e-03       3.698139357440e-05       8.369490000242e-01       1.113169214854e-07       2.495408516228e-03       1.610959096072e-06 
   12       8.671662615891e+02       2.401232470141e-03       4.373756489427e-05       8.457377967042e-01       1.149366290535e-07       2.397908076669e-03       2.893492808785e-07 
   13       8.728352829377e+02       2.313069689367e-03       5.106667018557e-05       8.863910106730e-01       1.181755945539e-07       2.312686560667e-03      -8.302169110283e-07 
   14       8.800664669319e+02       2.401084340772e-03       5.897052269524e-05       9.427208897805e-01       1.210759035644e-07       2.224075926099e-03      -1.504208164647e-06 
   15       8.888427216129e+02       2.575993906022e-03       6.745090008087e-05       1.004205614072e+00       1.236728487830e-07       2.143853350028e-03      -1.651854045757e-06 
   16       8.987205842838e+02       2.833371406747e-03       7.650952459467e-05       1.066359383931e+00       1.259982962464e-07       2.068790965449e-03      -1.375174069236e-06 
   17       9.096246993321e+02       3.222466077870e-03       8.614804677917e-05       1.128449563946e+00       1.280790251455e-07       1.997459943997e-03      -8.753041340852e-07 
   18       9.211972678942e+02       3.779948155710e-03       9.636803139513e-05       1.192257258728e+00       1.298880999088e-07       1.929102101072e-03      -3.843539610285e-07 
   19       9.335239613286e+02       4.503994526407e-03       1.071709565516e-04       1.259568601273e+00       1.315952140741e-07       1.865744630758e-03      -4.562794235878e-08 
   20       9.464477815920e+02       5.375698419780e-03       1.185581918075e-04       1.331719422873e+00       1.330608181623e-07       1.805955102547e-03       3.432251217441e-08 
   21       9.600147031605e+02       6.390570323368e-03       1.305310209879e-04       1.408362324327e+00       1.343733289853e-07       1.749769488442e-03      -1.293305721334e-07 
   22       9.740872063874e+02       7.546014826080e-03       1.430906180344e-04       1.487846903486e+00       1.355072802782e-07       1.695125899230e-03      -4.362513661918e-07 
   23       9.886507296118e+02       8.840301437754e-03       1.562380811749e-04       1.566907413789e+00       1.365335366633e-07       1.642569746601e-03      -7.838582302555e-07 
   24       1.003578857975e+03       1.027137189608e-02       1.699744083752e-04       1.641508765869e+00       1.374036356668e-07       1.592062869032e-03      -1.052143000350e-06 
   25       1.018952371641e+03       1.184327531708e-02       1.843005447059e-04       1.709638831847e+00       1.381726456470e-07       1.544670249380e-03      -1.184116423743e-06 
   26       1.034775589403e+03       1.356351634428e-02       1.992173527278e-04       1.769993324466e+00       1.388187573474e-07       1.500499472818e-03      -1.157711817567e-06 
   27       1.050943074488e+03       1.544737193354e-02       2.147256574224e-04       1.822069437609e+00       1.393691627497e-07       1.458790884688e-03      -1.015088767273e-06 
   28       1.067255463256e+03       1.751245664765e-02       2.308262260370e-04       1.865825896858e+00       1.397873693234e-07       1.417725185468e-03      -8.341193809009e-07 
   29       1.083788289704e+03       1.976951662928e-02       2.475198385370e-04       1.901749297075e+00       1.401471827656e-07       1.378030856534e-03      -6.633063586094e-07 
   30       1.100623367851e+03       2.222705055260e-02       2.648072305675e-04       1.930756400040e+00       1.404692920836e-07       1.340670025275e-03      -5.523381713602e-07 
   31       1.117760684853e+03       2.489303419896e-02       2.826890931546e-04       1.953777315380e+00       1.406730974153e-07       1.305802169611e-03      -5.505659016046e-07 
   32       1.135218019773e+03       2.777428858384e-02       3.011661575124e-04       1.970398268947e+00       1.408037381300e-07       1.273265329306e-03      -6.443725803321e-07 
   33       1.152947492616e+03       3.087676699523e-02       3.202391419708e-04       1.979701377952e+00       1.408897764387e-07       1.241965757657e-03      -7.848555570876e-07 
   34       1.170850507064e+03       3.420607554859e-02       3.399087410407e-04       1.980636598601e+00       1.408945684093e-07       1.210257370870e-03      -9.118724406772e-07 
   35       1.188960003462e+03       3.776895104000e-02       3.601756615064e-04       1.972147295765e+00       1.408501923111e-07       1.178657724802e-03      -1.001072545695e-06 
   36       1.207308853232e+03       4.157223953845e-02       3.810406012141e-04       1.953068474412e+00       1.407635175261e-07       1.148257385682e-03      -1.037466294473e-06 
   37       1.225892853592e+03       4.562238060647e-02       4.025042327555e-04       1.922334366194e+00       1.405952231829e-07       1.119906520018e-03      -1.009708842203e-06 
   38       1.244730307423e+03       4.992505817643e-02       4.245671746782e-04       1.879841785849e+00       1.403839302962e-07       1.093850627491e-03      -9.317082973842e-07 
   39       1.263812991489e+03       5.448538276293e-02       4.472300126407e-04       1.825877176253e+00       1.401655933655e-07       1.069806774657e-03      -8.321224805331e-07 
   40       1.283083982957e+03       5.930794228254e-02       4.704933082170e-04       1.760898835182e+00       1.399268680026e-07       1.046939887385e-03      -7.507175625941e-07 
   41       1.302469820134e+03       6.439711961535e-02       4.943575709370e-04       1.685366649610e+00       1.396204700319e-07       1.024176848359e-03      -7.277564809987e-07 
   42       1.322001265197e+03       6.975824964089e-02       5.188231614294e-04       1.599139617555e+00       1.392690978408e-07       1.001587329451e-03      -7.620940044729e-07 
   43       1.341723669485e+03       7.539678282841e-02       5.438903581706e-04       1.501899716971e+00       1.388983145301e-07       9.795001203889e-04      -8.354051155892e-07 
   44       1.361661068281e+03       8.131795789620e-02       5.695593824539e-04       1.393313674958e+00       1.385007919906e-07       9.581199275528e-04      -9.216812357860e-07 
   45       1.381821395444e+03       8.752652066181e-02       5.958303646268e-04       1.273036649270e+00       1.380486296166e-07       9.375464025175e-04      -9.935476697160e-07 
   46       1.402219456413e+03       9.402580223500e-02       6.227032334967e-04       1.140729394413e+00       1.375661473131e-07       9.179112402941e-04      -1.047073626719e-06 
   47       1.422856874686e+03       1.008183494513e-01       6.501777918934e-04       9.960427560987e-01       1.370817060156e-07       8.992535307007e-04      -1.086265636024e-06 
   48       1.443713313914e+03       1.079061485225e-01       6.782537434480e-04       8.386107276941e-01       1.366032720603e-07       8.814539969771e-04      -1.116889979287e-06 
   49       1.464744590653e+03       1.152906000970e-01       7.069306895575e-04       6.680487390004e-01       1.361122303176e-07       8.642091349713e-04      -1.146684324702e-06 
   50       1.485903154443e+03       1.229727268507e-01       7.362081263643e-04       4.839991896482e-01       1.355754793122e-07       8.471504312852e-04      -1.183650384993e-06 
   51       1.507210460117e+03       1.309539205468e-01       7.660854417669e-04       2.862865900016e-01       1.350071181950e-07       8.303260050347e-04      -1.229564590650e-06 
   52       1.528700977902e+03       1.392353546479e-01       7.965619123514e-04       7.480157354865e-02       1.344274228436e-07       8.138653541335e-04      -1.284241555462e-06 
   53       1.550400728180e+03       1.478177558440e-01       8.276367003450e-04      -1.505421672542e-01       1.338434302426e-07       7.978400952663e-04      -1.347207883170e-06 
   54       1.572326446806e+03       1.567013900562e-01       8.593088505819e-04      -3.898073689268e-01       1.332453061389e-07       7.822538873836e-04      -1.417666383326e-06 
   55       1.594487856358e+03       1.658861543841e-01       8.915773595774e-04      -6.430371677136e-01       1.326147893363e-07       7.670758391126e-04      -1.494406135395e-06 
   56       1.616897052740e+03       1.753719117652e-01       9.244414097986e-04      -9.102693400260e-01       1.319655045419e-07       7.523807294133e-04      -1.575582573907e-06 
   57       1.639559988420e+03       1.851582149356e-01       9.579001882770e-04      -1.191524702727e+00       1.313151431991e-07       7.382418012841e-04      -1.658791743161e-06 
   58       1.662472872684e+03       1.952441981151e-01       9.919528193788e-04      -1.486802610215e+00       1.306726870012e-07       7.246846835388e-04      -1.741069273997e-06 
   59       1.685621457978e+03       2.056285671376e-01       1.026598364580e-03      -1.796080617028e+00       1.300361738710e-07       7.116803971374e-04      -1.818840476374e-06 
   60       1.708980326245e+03       2.163095895826e-01       1.061835822242e-03      -2.119314140437e+00       1.293902600287e-07       6.991380613142e-04      -1.887868704980e-06 
   61       1.732523718218e+03       2.272847096402e-01       1.097664255699e-03      -2.456442511438e+00       1.287143788075e-07       6.869460703915e-04      -1.944154865000e-06 
   62       1.756262476303e+03       2.385493140161e-01       1.134083211626e-03      -2.807409478149e+00       1.280180594736e-07       6.751298571565e-04      -1.987118880022e-06 
   63       1.780214165252e+03       2.500976702473e-01       1.171092395607e-03      -3.172146726840e+00       1.273164525184e-07       6.637333625304e-04      -2.017387177090e-06 
   64       1.804391920400e+03       2.619232561793e-01       1.208691555880e-03      -3.550567767623e+00       1.266197299778e-07       6.527711688820e-04      -2.035964909422e-06 
   65       1.828804100251e+03       2.740187381903e-01       1.246880487181e-03      -3.942567799745e+00       1.259318544985e-07       6.422246496298e-04      -2.044272290939e-06 
   66       1.853453939065e+03       2.863759494152e-01       1.285659034594e-03      -4.348023576891e+00       1.252492449627e-07       6.320379696159e-04      -2.044182153556e-06 
