# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)        
       7.062901462723e-06       3.058054316760e-09 
       8.891666132421e-06       3.030017906263e-09 
       1.119394444729e-05       3.002238535122e-09 
       1.409234112291e-05       2.974713846787e-09 
       1.774120635130e-05       2.947441506312e-09 
       2.233485551154e-05       2.920419200156e-09 
       2.811791717223e-05       2.893644635993e-09 
       3.539836045484e-05       2.867115542510e-09 
       4.456389551245e-05       2.840829669217e-09 
       5.610262050917e-05       2.814784786259e-09 
       7.062901462723e-05       2.788978684224e-09 
       8.891666132421e-05       2.763409173954e-09 
       1.119394444729e-04       2.738074086364e-09 
       1.409234112291e-04       2.712971272252e-09 
       1.774120635130e-04       2.688098602124e-09 
       2.233485551154e-04       2.663453966006e-09 
       2.811791717223e-04       2.639035273270e-09 
       3.539836045484e-04       2.614840452455e-09 
       4.456389551245e-04       2.590867451090e-09 
       5.610262050917e-04       2.567114235523e-09 
       7.062901462723e-04       2.543578790745e-09 
       8.891666132421e-04       2.520259120222e-09 
       1.119394444729e-03       2.497153245723e-09 
       1.409234112291e-03       2.474259207155e-09 
       1.774120635130e-03       2.451575062394e-09 
       2.233485551154e-03       2.429098887123e-09 
       2.811791717223e-03       2.406828774665e-09 
       3.539836045484e-03       2.384762835825e-09 
       4.456389551245e-03       2.362899198728e-09 
       5.610262050917e-03       2.341236008662e-09 
       7.062901462723e-03       2.319771427915e-09 
       8.891666132421e-03       2.298503635628e-09 
       1.119394444729e-02       2.277430827632e-09 
       1.409234112291e-02       2.256551216302e-09 
       1.774120635130e-02       2.235863030398e-09 
       2.233485551154e-02       2.215364514923e-09 
       2.811791717223e-02       2.195053930968e-09 
       3.539836045484e-02       2.174929555565e-09 
       4.456389551245e-02       2.154989681546e-09 
       5.610262050917e-02       2.135232617390e-09 
       7.062901462723e-02       2.115656687087e-09 
       8.891666132421e-02       2.096260229992e-09 
       1.119394444729e-01       2.077041600684e-09 
       1.409234112291e-01       2.057999168829e-09 
       1.774120635130e-01       2.039131319038e-09 
       2.233485551154e-01       2.020436450735e-09 
       2.811791717223e-01       2.001912978014e-09 
       3.539836045484e-01       1.983559329511e-09 
       4.456389551245e-01       1.965373948270e-09 
       5.610262050917e-01       1.947355291606e-09 
       7.062901462723e-01       1.929501830979e-09 
       8.891666132421e-01       1.911812051863e-09 
       1.119394444729e+00       1.894284453617e-09 
       1.409234112291e+00       1.876917549357e-09 
       1.774120635130e+00       1.859709865833e-09 
       2.233485551154e+00       1.842659943300e-09 
       2.811791717223e+00       1.825766335396e-09 
       3.539836045484e+00       1.809027609020e-09 
       4.456389551245e+00       1.792442344210e-09 
       5.610262050917e+00       1.776009134022e-09 
       7.062901462723e+00       1.759726584410e-09 
       8.891666132421e+00       1.743593314110e-09 
       1.119394444729e+01       1.727607954522e-09 
       1.409234112291e+01       1.711769149591e-09 
       1.774120635130e+01       1.696075555697e-09 
       2.233485551154e+01       1.680525841536e-09 
       2.811791717223e+01       1.665118688012e-09 
       3.539836045484e+01       1.649852788120e-09 
       4.456389551245e+01       1.634726846840e-09 
       5.610262050917e+01       1.619739581023e-09 
       7.062901462723e+01       1.604889719285e-09 
       8.891666132421e+01       1.590176001897e-09 
       1.119394444729e+02       1.575597180682e-09 
       1.409234112291e+02       1.561152018902e-09 
       1.774120635130e+02       1.546839291162e-09 
