# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_idm_dr/k2           5:-T_b/k2                6:-T_g/k2                7:-T_ur/k2               8:-T_idr/k2              9:-T_ncdm/k2            10:-T_tot/k2          
       1.008985923246e-05       2.425138774385e+05       2.425138773049e+05       0.000000000000e+00       2.425138690269e+05       3.233504539546e+05       3.233502911747e+05       0.000000000000e+00       0.000000000000e+00       2.448565841144e+05 
       2.251775554681e-05       2.425136287202e+05       2.425136280545e+05       0.000000000000e+00       2.425135868248e+05       3.233446187206e+05       3.233438079929e+05       0.000000000000e+00       0.000000000000e+00       2.448561604757e+05 
       3.498636120247e-05       2.425131783288e+05       2.425131767220e+05       0.000000000000e+00       2.425130771906e+05       3.233342809113e+05       3.233323238374e+05       0.000000000000e+00       0.000000000000e+00       2.448554005061e+05 
       4.752690064658e-05       2.425125258183e+05       2.425125228531e+05       0.000000000000e+00       2.425123391826e+05       3.233193586471e+05       3.233157473253e+05       0.000000000000e+00       0.000000000000e+00       2.448543012075e+05 
       6.017107953230e-05       2.425116695308e+05       2.425116647780e+05       0.000000000000e+00       2.425113703869e+05       3.232997249188e+05       3.232939368998e+05       0.000000000000e+00       0.000000000000e+00       2.448528569966e+05 
       7.295134796122e-05       2.425106002789e+05       2.425105932927e+05       0.000000000000e+00       2.425101605600e+05       3.232751972658e+05       3.232666900929e+05       0.000000000000e+00       0.000000000000e+00       2.448510532587e+05 
       8.590117158737e-05       2.425093065003e+05       2.425092968138e+05       0.000000000000e+00       2.425086968062e+05       3.232455414824e+05       3.232337471232e+05       0.000000000000e+00       0.000000000000e+00       2.448488714635e+05 
       9.905531395762e-05       2.425077773800e+05       2.425077644994e+05       0.000000000000e+00       2.425069666683e+05       3.232104719407e+05       3.231947907380e+05       0.000000000000e+00       0.000000000000e+00       2.448462921948e+05 
       1.124501334903e-04       2.425059956116e+05       2.425059790119e+05       0.000000000000e+00       2.425049508167e+05       3.231696372257e+05       3.231494311214e+05       0.000000000000e+00       0.000000000000e+00       2.448432876860e+05 
       1.261238985241e-04       2.425039458688e+05       2.425039249867e+05       0.000000000000e+00       2.425026315526e+05       3.231226252059e+05       3.230972104444e+05       0.000000000000e+00       0.000000000000e+00       2.448398301909e+05 
