# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513735364444e-10       4.794173065424e-15       3.799727766098e-13       0.000000000000e+00       8.309677762630e-09       5.059658037953e-10      -2.012752877014e-12 
    3       1.417690392522e-10       6.054596200958e-15       4.281570465959e-13       0.000000000000e+00       5.130283354221e-09       3.573437224280e-10      -1.512314591680e-12 
    4       1.331094040789e-10       5.148754155418e-15       3.998516674639e-13       0.000000000000e+00       3.573750398007e-09       2.696062581572e-10      -9.768719810647e-13 
    5       1.266725281736e-10       3.372738609184e-15       3.392238115105e-13       0.000000000000e+00       2.668996679270e-09       2.123328734630e-10      -5.310812037915e-13 
    6       1.222224495861e-10       1.855466532682e-15       2.716475633492e-13       0.000000000000e+00       2.084884609283e-09       1.723502951811e-10      -2.072859459084e-13 
    7       1.192720118464e-10       9.975257472721e-16       2.117930357980e-13       0.000000000000e+00       1.680796724277e-09       1.431043507391e-10      -5.100382842948e-15 
    8       1.174626805247e-10       6.487889443363e-16       1.659873313982e-13       0.000000000000e+00       1.387331626781e-09       1.209875298048e-10       9.390350185689e-14 
    9       1.164958644627e-10       5.211551180216e-16       1.355078629769e-13       0.000000000000e+00       1.166819196461e-09       1.038488955024e-10       1.170732503550e-13 
   10       1.161236896871e-10       4.391344643607e-16       1.187491728159e-13       0.000000000000e+00       9.967293806241e-10       9.028817969992e-11       9.395227003408e-14 
   11       1.162497744842e-10       3.650956790490e-16       1.126744850944e-13       0.000000000000e+00       8.433279720671e-10       7.969311638101e-11       5.144716391213e-14 
   12       1.167282532543e-10       3.173711021385e-16       1.138585355787e-13       0.000000000000e+00       7.367889904272e-10       7.044288666680e-11       8.500086976030e-15 
   13       1.174895635709e-10       3.045153404648e-16       1.193324663172e-13       0.000000000000e+00       6.493302849321e-10       6.289967024146e-11      -2.257980959361e-14 
   14       1.184610330066e-10       3.152995302985e-16       1.269170764063e-13       0.000000000000e+00       5.765640931609e-10       5.631285374193e-11      -3.808575004794e-14 
   15       1.196404057785e-10       3.377039848699e-16       1.351959202724e-13       0.000000000000e+00       5.153143591741e-10       5.077587418563e-11      -3.912281004184e-14 
   16       1.209679962362e-10       3.711325026166e-16       1.435651369909e-13       0.000000000000e+00       4.632387148185e-10       4.602569382388e-11      -3.059406633510e-14 
   17       1.224336359081e-10       4.222149183564e-16       1.519261076405e-13       0.000000000000e+00       4.185675804112e-10       4.189725043776e-11      -1.835956834340e-14 
   18       1.239891573937e-10       4.958877041249e-16       1.605186457077e-13       0.000000000000e+00       3.797975689918e-10       3.827457241377e-11      -7.625768686931e-15 
   19       1.256461033572e-10       5.919052752440e-16       1.695832383395e-13       0.000000000000e+00       3.463102565520e-10       3.511791244333e-11      -8.588503070600e-16 
   20       1.273833464550e-10       7.077222313718e-16       1.792997454350e-13       0.000000000000e+00       3.168178812585e-10       3.233334198646e-11       6.144878144764e-16 
   21       1.292070716424e-10       8.427341163961e-16       1.896214139016e-13       0.000000000000e+00       2.908571958438e-10       2.986950408494e-11      -2.207696583970e-15 
   22       1.310987555642e-10       9.965915177177e-16       2.003260760941e-13       0.000000000000e+00       2.678062735235e-10       2.764996876469e-11      -7.115788616061e-15 
   23       1.330564292132e-10       1.169061517665e-15       2.109741313946e-13       0.000000000000e+00       2.473482369391e-10       2.565204357567e-11      -1.224138088332e-14 
   24       1.350630733281e-10       1.359867124450e-15       2.210224120927e-13       0.000000000000e+00       2.290105313944e-10       2.384800270192e-11      -1.576020606222e-14 
   25       1.371296014494e-10       1.569553552565e-15       2.302000421148e-13       0.000000000000e+00       2.125774149904e-10       2.223034048170e-11      -1.704121659761e-14 
   26       1.392566376086e-10       1.799131263605e-15       2.383314234029e-13       0.000000000000e+00       1.977513087644e-10       2.077942556581e-11      -1.603226441971e-14 
   27       1.414299569165e-10       2.050657167414e-15       2.453488863478e-13       0.000000000000e+00       1.843542431491e-10       1.946692538318e-11      -1.354584344369e-14 
   28       1.436226714279e-10       2.326502944576e-15       2.512469010945e-13       0.000000000000e+00       1.721551643974e-10       1.825484767926e-11      -1.074020957620e-14 
   29       1.458449580432e-10       2.628115627417e-15       2.560909850380e-13       0.000000000000e+00       1.610917068500e-10       1.714204191416e-11      -8.251186428663e-15 
   30       1.481078618743e-10       2.956639730084e-15       2.600045582481e-13       0.000000000000e+00       1.510450273057e-10       1.613031883029e-11      -6.645460286065e-15 
   31       1.504114103216e-10       3.313149430396e-15       2.631128366364e-13       0.000000000000e+00       1.418101484372e-10       1.521190787611e-11      -6.413809332518e-15 
   32       1.527579867978e-10       3.698563488652e-15       2.653601286259e-13       0.000000000000e+00       1.333392986905e-10       1.437635865871e-11      -7.275609929484e-15 
   33       1.551411191448e-10       4.113683903646e-15       2.666228811487e-13       0.000000000000e+00       1.255724862017e-10       1.360425761554e-11      -8.597233186836e-15 
   34       1.575475096598e-10       4.559265989063e-15       2.667597441328e-13       0.000000000000e+00       1.184009299251e-10       1.287256745462e-11      -9.698981475645e-15 
   35       1.599816028195e-10       5.036217296601e-15       2.656284563751e-13       0.000000000000e+00       1.117878654644e-10       1.218322394881e-11      -1.034773787666e-14 
   36       1.624478474319e-10       5.545460132814e-15       2.630721567540e-13       0.000000000000e+00       1.056801917620e-10       1.154371699537e-11      -1.043005413672e-14 
   37       1.649457011714e-10       6.087862131536e-15       2.589473382200e-13       0.000000000000e+00       9.999836802021e-11       1.095838585919e-11      -9.880250339043e-15 
   38       1.674776321998e-10       6.664189250836e-15       2.532400877630e-13       0.000000000000e+00       9.472766721464e-11       1.042534878601e-11      -8.880150302050e-15 
   39       1.700425313575e-10       7.275130306888e-15       2.459889448037e-13       0.000000000000e+00       8.985132103714e-11       9.938003004447e-12      -7.730179513459e-15 
   40       1.726327321362e-10       7.921303817666e-15       2.372555804137e-13       0.000000000000e+00       8.532276309680e-11       9.485394528351e-12      -6.801730971382e-15 
   41       1.752383416020e-10       8.603300750682e-15       2.271018738366e-13       0.000000000000e+00       8.108183843258e-11       9.055520407671e-12      -6.434787730835e-15 
   42       1.778635026041e-10       9.321840272620e-15       2.155087993305e-13       0.000000000000e+00       7.711602542060e-11       8.647376894559e-12      -6.579820547535e-15 
   43       1.805143235270e-10       1.007765716065e-14       2.024334922894e-13       0.000000000000e+00       7.341476964787e-11       8.262239248086e-12      -7.046938971422e-15 
   44       1.831940433405e-10       1.087145773966e-14       1.878310283293e-13       0.000000000000e+00       6.995111393222e-11       7.900245184350e-12      -7.599967280519e-15 
   45       1.859037334407e-10       1.170388205959e-14       1.716549187308e-13       0.000000000000e+00       6.669131715043e-11       7.560673119538e-12      -8.012478107417e-15 
   46       1.886453897362e-10       1.257537988613e-14       1.538594214330e-13       0.000000000000e+00       6.363021626645e-11       7.243115558461e-12      -8.262520393472e-15 
   47       1.914192334363e-10       1.348629551183e-14       1.343974531506e-13       0.000000000000e+00       6.076421547906e-11       6.946483646207e-12      -8.391306574448e-15 
   48       1.942225295174e-10       1.443689784340e-14       1.132196542685e-13       0.000000000000e+00       5.808062092888e-11       6.668580089432e-12      -8.449963268740e-15 
   49       1.970493326608e-10       1.542737704654e-14       9.027415821331e-14       0.000000000000e+00       5.555696435831e-11       6.406019414665e-12      -8.500098550507e-15 
   50       1.998932444128e-10       1.645787251109e-14       6.551272375641e-14       0.000000000000e+00       5.316776253300e-11       6.155211921075e-12      -8.600358632965e-15 
   51       2.027571563819e-10       1.752857347924e-14       3.891162932192e-14       0.000000000000e+00       5.090852763000e-11       5.915815404399e-12      -8.760479983295e-15 
   52       2.056457125595e-10       1.863963993213e-14       1.045605154600e-14       0.000000000000e+00       4.877710510283e-11       5.688082526045e-12      -8.975745740103e-15 
   53       2.085624195523e-10       1.979117182034e-14      -1.986573478999e-14       0.000000000000e+00       4.676648886312e-11       5.471850025882e-12      -9.239816373409e-15 
   54       2.115095342245e-10       2.098320718257e-14      -5.206228795644e-14       0.000000000000e+00       4.486449485873e-11       5.266509036753e-12      -9.544637635900e-15 
   55       2.144883683027e-10       2.221573450200e-14      -8.613953210325e-14       0.000000000000e+00       4.305747287911e-11       5.071266193215e-12      -9.880000552012e-15 
   56       2.175005482069e-10       2.348873767933e-14      -1.221026683687e-13       0.000000000000e+00       4.134326957208e-11       4.886070923421e-12      -1.023230425732e-14 
   57       2.205468713855e-10       2.480215893687e-14      -1.599546180171e-13       0.000000000000e+00       3.972091396517e-11       4.710866519987e-12      -1.058532459130e-14 
   58       2.236268227510e-10       2.615588426222e-14      -1.996954180284e-13       0.000000000000e+00       3.818669597266e-11       4.545301572108e-12      -1.092043182525e-14 
   59       2.267384785682e-10       2.754974208172e-14      -2.413221757352e-13       0.000000000000e+00       3.673399730725e-11       4.388711609716e-12      -1.121648505663e-14 
   60       2.298784103411e-10       2.898350193393e-14      -2.848290234603e-13       0.000000000000e+00       3.535312239176e-11       4.240100747639e-12      -1.144972660332e-14 
   61       2.330431453741e-10       3.045682252027e-14      -3.302079307130e-13       0.000000000000e+00       3.403398701204e-11       4.098414174721e-12      -1.159936133128e-14 
   62       2.362341489878e-10       3.196908523181e-14      -3.774514564405e-13       0.000000000000e+00       3.277527202404e-11       3.963468620074e-12      -1.166599697903e-14 
