# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513740217632e-10       4.794398397449e-15       3.799727724285e-13       2.253319797664e-19       8.309677762630e-09       5.059658037953e-10      -2.012752877014e-12 
    3       1.417700076222e-10       6.055046965315e-15       4.281570279601e-13       4.507639105843e-19       5.130283354221e-09       3.573437224280e-10      -1.512314591680e-12 
    4       1.331110130497e-10       5.149505650809e-15       3.998516139099e-13       7.514931988345e-19       3.573750398007e-09       2.696062581572e-10      -9.768719810647e-13 
    5       1.266749324354e-10       3.373866264019e-15       3.392236894921e-13       1.127647333658e-18       2.668996679270e-09       2.123328734630e-10      -5.310812037915e-13 
    6       1.222258003922e-10       1.857045933974e-15       2.716473233815e-13       1.579380848874e-18       2.084884609283e-09       1.723502951811e-10      -2.072859459084e-13 
    7       1.192764565188e-10       9.996326671240e-16       2.117926098544e-13       2.106872327562e-18       1.680796724277e-09       1.431043507391e-10      -5.100382842948e-15 
    8       1.174683620544e-10       6.514993635040e-16       1.659866305935e-13       2.710321020005e-18       1.387331626781e-09       1.209875298048e-10       9.390350185689e-14 
    9       1.165029212108e-10       5.245452460323e-16       1.355067755614e-13       3.389943177912e-18       1.166819196461e-09       1.038488955024e-10       1.170732503550e-13 
   10       1.161322551908e-10       4.432807556647e-16       1.187475624968e-13       4.145968214944e-18       9.967293806241e-10       9.028817969992e-11       9.395227003408e-14 
   11       1.162599773667e-10       3.700748447072e-16       1.126721896888e-13       4.978634806699e-18       8.433279720671e-10       7.969311638101e-11       5.144716391213e-14 
   12       1.167402172357e-10       3.232601165780e-16       1.138553659974e-13       5.888187042471e-18       7.367889904272e-10       7.044288666680e-11       8.500086976030e-15 
   13       1.175034075736e-10       3.113914428911e-16       1.193282058679e-13       6.874870736298e-18       6.493302849321e-10       6.289967024146e-11      -2.257980959361e-14 
   14       1.184768713444e-10       3.232402204226e-16       1.269114803999e-13       7.938929996274e-18       5.765640931609e-10       5.631285374193e-11      -3.808575004794e-14 
   15       1.196583484176e-10       3.467870127017e-16       1.351887159094e-13       9.080604139218e-18       5.153143591741e-10       5.077587418563e-11      -3.912281004184e-14 
   16       1.209881491145e-10       3.814358521842e-16       1.435560235025e-13       1.030012502295e-17       4.632387148185e-10       4.602569382388e-11      -3.059406633510e-14 
   17       1.224561012952e-10       4.338167853369e-16       1.519147566552e-13       1.159771485130e-17       4.185675804112e-10       4.189725043776e-11      -1.835956834340e-14 
   18       1.240140342837e-10       5.088664676115e-16       1.605047018284e-13       1.297358427973e-17       3.797975689918e-10       3.827457241377e-11      -7.625768686931e-15 
   19       1.256734878324e-10       6.063394632942e-16       1.695663198301e-13       1.442793229812e-17       3.463102565520e-10       3.511791244333e-11      -8.588503070600e-16 
   20       1.274133321221e-10       7.236904822306e-16       1.792794451861e-13       1.596094328281e-17       3.168178812585e-10       3.233334198646e-11       6.144878144764e-16 
   21       1.292397499339e-10       8.603151342245e-16       1.895973003469e-13       1.757279006820e-17       2.908571958438e-10       2.986950408494e-11      -2.207696583970e-15 
   22       1.311342161224e-10       1.015864024038e-15       2.002976944279e-13       1.926363069559e-17       2.678062735235e-10       2.764996876469e-11      -7.115788616061e-15 
   23       1.330947600963e-10       1.190104200601e-15       2.109410047047e-13       2.103361301336e-17       2.473482369391e-10       2.565204357567e-11      -1.224138088332e-14 
   24       1.351043612999e-10       1.382758583443e-15       2.209840428041e-13       2.288287137216e-17       2.290105313944e-10       2.384800270192e-11      -1.576020606222e-14 
   25       1.371739320419e-10       1.594372245176e-15       2.301559133451e-13       2.481153300161e-17       2.125774149904e-10       2.223034048170e-11      -1.704121659761e-14 
   26       1.393040952876e-10       1.825955446391e-15       2.382810006405e-13       2.681971402352e-17       1.977513087644e-10       2.077942556581e-11      -1.603226441971e-14 
   27       1.414806250370e-10       2.079564841180e-15       2.452916191192e-13       2.890752550066e-17       1.843542431491e-10       1.946692538318e-11      -1.354584344369e-14 
   28       1.436766322551e-10       2.357571795639e-15       2.511822249408e-13       3.107507072338e-17       1.721551643974e-10       1.825484767926e-11      -1.074020957620e-14 
   29       1.459022924771e-10       2.661422984728e-15       2.560183236108e-13       3.332245469430e-17       1.610917068500e-10       1.714204191416e-11      -8.251186428663e-15 
