# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_fld                 13:t_ur                  14:t_tot              
       1.008985923246e-05      -1.613019981057e-05      -1.209770116723e-05      -1.209770158684e-05       0.000000000000e+00      -1.613019169033e-05      -1.221456651255e-05       6.123585594557e-01       5.967943484803e-01      -1.541022137313e-13      -1.317907456034e-16                      nan      -1.641055478731e-13      -6.075016880072e-15 
       2.251775554681e-05      -8.033631705713e-05      -6.025351056991e-05      -6.025352097898e-05       0.000000000000e+00      -8.033611562833e-05      -6.083553274889e-05       6.123572706441e-01       5.967935103645e-01      -3.822638803566e-12      -3.269412757265e-15                      nan      -4.070774093851e-12      -1.506959935303e-13 
       3.498636120247e-05      -1.939301754023e-04      -1.454550487651e-04      -1.454551094259e-04       0.000000000000e+00      -1.939290015860e-04      -1.468599328068e-04       6.123549213025e-01       5.967919492689e-01      -2.227657077225e-11      -1.905325562515e-14                      nan      -2.372251379192e-11      -8.781854767828e-13 
       4.752690064658e-05      -3.578547459463e-04      -2.684163171990e-04      -2.684165237701e-04       0.000000000000e+00      -3.578507488832e-04      -2.710084361149e-04       6.123515028056e-01       5.967896708744e-01      -7.585726570739e-11      -6.488204360640e-14                      nan      -8.078071795958e-11      -2.990434813798e-12 
       6.017107953230e-05      -5.735575853837e-04      -4.302330787824e-04      -4.302336094884e-04       0.000000000000e+00      -5.735473169949e-04      -4.343870489326e-04       6.123470204352e-01       5.967866851306e-01      -1.948822023469e-10      -1.666884049832e-13                      nan      -2.075296068232e-10      -7.682600303268e-12 
       7.295134796122e-05      -8.430146285500e-04      -6.324011698173e-04      -6.324023164869e-04       0.000000000000e+00      -8.429924441348e-04      -6.385055873720e-04       6.123414135473e-01       5.967829510568e-01      -4.210476511846e-10      -3.601543360564e-13                      nan      -4.483694862885e-10      -1.659839474350e-11 
       8.590117158737e-05      -1.168763929945e-03      -8.768424654034e-04      -8.768446698820e-04       0.000000000000e+00      -1.168721284888e-03      -8.853038712936e-04       6.123346306860e-01       5.967784361250e-01      -8.094058748229e-10      -6.923968134868e-13                      nan      -8.619211953114e-10      -3.190801456470e-11 
       9.905531395762e-05      -1.553950071893e-03      -1.165939073780e-03      -1.165942971569e-03       0.000000000000e+00      -1.553874678905e-03      -1.177186218864e-03       6.123266136526e-01       5.967730969095e-01      -1.431028350628e-09      -1.224229643849e-12                      nan      -1.523859838000e-09      -5.641308981372e-11 
       1.124501334903e-04      -2.002380387063e-03      -1.502576670017e-03      -1.502583143552e-03       0.000000000000e+00      -2.002255188987e-03      -1.517065159415e-03       6.123172817227e-01       5.967668835020e-01      -2.376505106432e-09      -2.033210742909e-12                      nan      -2.530639875551e-09      -9.368462170539e-11 
       1.261238985241e-04      -2.518594328588e-03      -1.890198038985e-03      -1.890208283426e-03       0.000000000000e+00      -2.518396231931e-03      -1.908415442410e-03       6.123065376383e-01       5.967597285260e-01      -3.760488928651e-09      -3.217544089511e-12                      nan      -4.004331135016e-09      -1.482420771032e-10 
