# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513706451013e-10       4.794286631646e-15       3.799639093009e-13       2.253217243186e-19       8.309507248535e-09       5.059559003342e-10      -2.012705961297e-12 
    3       1.417668755943e-10       6.054905823386e-15       4.281470461802e-13       4.507433952685e-19       5.130180592465e-09       3.573372001866e-10      -1.512279342603e-12 
    4       1.331080588462e-10       5.149385608041e-15       3.998422936728e-13       7.514589969233e-19       3.573680265780e-09       2.696016184541e-10      -9.768492123072e-13 
    5       1.266721602053e-10       3.373787599393e-15       3.392157839122e-13       1.127596012818e-18       2.668944414863e-09       2.123293896133e-10      -5.310688235444e-13 
    6       1.222231754432e-10       1.857002613971e-15       2.716409940160e-13       1.579308970002e-18       2.084843336122e-09       1.723474890381e-10      -2.072811123197e-13 
    7       1.192738565956e-10       9.996093204181e-16       2.117876738840e-13       2.106776443772e-18       1.680763074988e-09       1.431018312823e-10      -5.100265240147e-15 
    8       1.174656798459e-10       6.514841178655e-16       1.659827592452e-13       2.710197675776e-18       1.387303657039e-09       1.209850900511e-10       9.390130893913e-14 
    9       1.165001495645e-10       5.245329444176e-16       1.355036163433e-13       3.389788908417e-18       1.166795366768e-09       1.038464895992e-10       1.170705198907e-13 
   10       1.161294573395e-10       4.432703314239e-16       1.187447988786e-13       4.145779545561e-18       9.967087643829e-10       9.028586530103e-11       9.395008297091e-14 
   11       1.162571839990e-10       3.700661083076e-16       1.126695662223e-13       4.978408252706e-18       8.433100121160e-10       7.969086891844e-11       5.144597456726e-14 
   12       1.167373933304e-10       3.232524511739e-16       1.138527069665e-13       5.887919108923e-18       7.367732639451e-10       7.044077186596e-11       8.499896413498e-15 
   13       1.175005552696e-10       3.113840322348e-16       1.193254161275e-13       6.874557918068e-18       6.493164543038e-10       6.289770708749e-11      -2.257927038242e-14 
   14       1.184740093507e-10       3.232325099837e-16       1.269085132779e-13       7.938568778249e-18       5.765519223848e-10       5.631105800988e-11      -3.808484166300e-14 
   15       1.196554701426e-10       3.467787281019e-16       1.351855489591e-13       9.080190996626e-18       5.153035371909e-10       5.077423380890e-11      -3.912188558468e-14 
   16       1.209852160239e-10       3.814267329337e-16       1.435526537145e-13       1.029965642179e-17       4.632290308647e-10       4.602418466509e-11      -3.059333928235e-14 
   17       1.224531231697e-10       4.338064163974e-16       1.519111939521e-13       1.159718724888e-17       4.185589062077e-10       4.189585322715e-11      -1.835912913652e-14 
   18       1.240110187947e-10       5.088543188853e-16       1.605009470151e-13       1.297299412521e-17       3.797897662827e-10       3.827329786808e-11      -7.625579883893e-15 
   19       1.256704306736e-10       6.063250104014e-16       1.695623609896e-13       1.442727603310e-17       3.463031953607e-10       3.511675551901e-11      -8.588200272591e-16 
   20       1.274102237259e-10       7.236732601107e-16       1.792752611220e-13       1.596021734200e-17       3.168114722106e-10       3.233226979724e-11       6.144736090544e-16 
   21       1.292365907217e-10       8.602946919042e-16       1.895928827626e-13       1.757199087988e-17       2.908513618074e-10       2.986850457666e-11      -2.207659020145e-15 
   22       1.311310230995e-10       1.015839918690e-15       2.002930529290e-13       1.926275468226e-17       2.678009495069e-10       2.764906366186e-11      -7.115645333436e-15 
   23       1.330915569951e-10       1.190075994833e-15       2.109361353834e-13       2.103265659209e-17       2.473433638357e-10       2.565123490524e-11      -1.224112621069e-14 
   24       1.351011692531e-10       1.382725846320e-15       2.209789237477e-13       2.288183095507e-17       2.290060597369e-10       2.384726124752e-11      -1.575988423096e-14 
   25       1.371707379590e-10       1.594334533061e-15       2.301505478179e-13       2.481040499605e-17       2.125733012667e-10       2.222965784804e-11      -1.704087810858e-14 
   26       1.393008500063e-10       1.825912292101e-15       2.382754287874e-13       2.681849483239e-17       1.977475178409e-10       2.077882602015e-11      -1.603194908274e-14 
   27       1.414773090145e-10       2.079515729599e-15       2.452858816466e-13       2.890621152245e-17       1.843507446118e-10       1.946641597425e-11      -1.354557635998e-14 
   28       1.436732722059e-10       2.357516156385e-15       2.511763516581e-13       3.107365835231e-17       1.721519328814e-10       1.825440526752e-11      -1.073999769892e-14 
   29       1.458989088608e-10       2.661360213703e-15       2.560123419616e-13       3.332094032003e-17       1.610887160241e-10       1.714164440380e-11      -8.251022304109e-15 
   30       1.481652359045e-10       2.992191972283e-15       2.599172627430e-13       3.564815645713e-17       1.510422497395e-10       1.612995759218e-11      -6.645320701322e-15 
   31       1.504722545128e-10       3.351085109518e-15       2.630163212885e-13       3.805539978847e-17       1.418075580522e-10       1.521158841288e-11      -6.413657831454e-15 
   32       1.528223566484e-10       3.738957860367e-15       2.652538167301e-13       4.054276874886e-17       1.333368733907e-10       1.437608694366e-11      -7.275420657642e-15 
   33       1.552090934335e-10       4.156611649777e-15       2.665061873447e-13       4.311036003852e-17       1.255702108798e-10       1.360403543556e-11      -8.597001915666e-15 
   34       1.576191888023e-10       4.604801165628e-15       2.666320800643e-13       4.575826715108e-17       1.183987971220e-10       1.287239208758e-11      -9.698725787592e-15 
   35       1.600570780407e-10       5.084433305118e-15       2.654892519006e-13       4.848658523236e-17       1.117858670428e-10       1.218309029578e-11      -1.034747727071e-14 
   36       1.625271887090e-10       5.596429674222e-15       2.629208716829e-13       5.129540822486e-17       1.056783165809e-10       1.154361808297e-11      -1.042980322234e-14 
   37       1.650289572010e-10       6.141657158099e-15       2.587834659441e-13       5.418482667130e-17       9.999660265942e-11       1.095831319692e-11      -9.880017924343e-15 
   38       1.675648463748e-10       6.720880936104e-15       2.530631434725e-13       5.715492383916e-17       9.472599895330e-11       1.042529445263e-11      -8.879940987228e-15 
   39       1.701337469074e-10       7.334789002111e-15       2.457984644213e-13       6.020577856842e-17       8.984973943217e-11       9.937960619815e-12      -7.729993466347e-15 
   40       1.727279930704e-10       7.983999002475e-15       2.370511237840e-13       6.333746645678e-17       8.532126106548e-11       9.485359813941e-12      -6.801562954139e-15 
   41       1.753376932525e-10       8.669100978158e-15       2.268830305434e-13       6.655005609581e-17       8.108041241141e-11       9.055491370501e-12      -6.434627658934e-15 
   42       1.779669906426e-10       9.390813097025e-15       2.152752031856e-13       6.984359603242e-17       7.711467219107e-11       8.647352637122e-12      -6.579659390813e-15 
   43       1.806219941279e-10       1.014986907566e-14       2.021848301440e-13       7.321812375436e-17       7.341348555071e-11       8.262219772781e-12      -7.046770950402e-15 
   44       1.833059438086e-10       1.094697412000e-14       1.875670468728e-13       7.667366905147e-17       6.994989500897e-11       7.900231587563e-12      -7.599790668299e-15 
   45       1.860199117418e-10       1.178276708389e-14       1.713754312692e-13       8.021024947063e-17       6.669015929415e-11       7.560667451240e-12      -8.012295057997e-15 
   46       1.887658902614e-10       1.265769639930e-14       1.535643139486e-13       8.382785542776e-17       6.362911537017e-11       7.243119532065e-12      -8.262333386627e-15 
   47       1.915440954697e-10       1.357210492805e-14       1.340866913363e-13       8.752646037991e-17       6.076316760986e-11       6.946498173969e-12      -8.391117316025e-15 
   48       1.943517867124e-10       1.452626006321e-14       1.128932910941e-13       9.130602443016e-17       5.807962252030e-11       6.668605125758e-12      -8.449772516237e-15 
   49       1.971830124872e-10       1.552035037186e-14       8.993234175089e-14       9.516649391908e-17       5.555601241667e-11       6.406053790980e-12      -8.499905928832e-15 
   50       2.000313684436e-10       1.655451353898e-14       6.515570262422e-14       9.910780101799e-17       5.316685467133e-11       6.155253375607e-12      -8.600162703202e-15 
   51       2.028997434299e-10       1.762893692988e-14       3.853974961645e-14       1.031298633264e-16       5.090766149769e-11       5.915861278691e-12      -8.760279174180e-15 
   52       2.057927796891e-10       1.874377852114e-14       1.006976042431e-14       1.072325834590e-16       4.877627827951e-11       5.688129961121e-12      -8.975538633997e-15 
   53       2.087139823035e-10       1.989913614581e-14      -2.026588295553e-14       1.114158486359e-16       4.676569892929e-11       5.471895971978e-12      -9.239601752428e-15 
   54       2.116656068495e-10       2.109504560913e-14      -5.247562528792e-14       1.156795302736e-16       4.486373947154e-11       5.266550264174e-12      -9.544414530594e-15 
   55       2.146489644727e-10       2.233149306330e-14      -8.656527275163e-14       1.200234932842e-16       4.305674981379e-11       5.071299488597e-12      -9.879768295433e-15 
   56       2.176656832352e-10       2.360846004816e-14      -1.225399103632e-13       1.244476276118e-16       4.134257663868e-11       4.886093893547e-12      -1.023206255094e-14 
   57       2.207165633322e-10       2.492588633925e-14      -1.604023401311e-13       1.289518238148e-16       3.972024902794e-11       4.710877940954e-12      -1.058507356650e-14 
   58       2.238010931347e-10       2.628365536940e-14      -2.001524747647e-13       1.335359640157e-16       3.818605700962e-11       4.545301575576e-12      -1.092017210485e-14 
   59       2.269173531067e-10       2.768159290007e-14      -2.417872922524e-13       1.381999218707e-16       3.673338247327e-11       4.388701877462e-12      -1.121621781907e-14 
   60       2.300619197233e-10       2.911946569265e-14      -2.853007904396e-13       1.429435625394e-16       3.535253008516e-11       4.240084714422e-12      -1.144945364952e-14 
   61       2.332313236403e-10       3.059692966788e-14      -3.306848019473e-13       1.477667599280e-16       3.403341588824e-11       4.098396757994e-12      -1.159908499532e-14 
   62       2.364270240406e-10       3.211336379212e-14      -3.779317554357e-13       1.526694530092e-16       3.277472082804e-11       3.963454387350e-12      -1.166571952329e-14 
   63       2.396513854147e-10       3.366799637762e-14      -4.270324563544e-13       1.576516021476e-16       3.157650114043e-11       3.835191678710e-12      -1.165689781418e-14 
   64       2.429061759951e-10       3.525994943100e-14      -4.779752635288e-13       1.627131734495e-16       3.043743510985e-11       3.713379486896e-12      -1.158184711203e-14 
   65       2.461925209886e-10       3.688823572183e-14      -5.307460710359e-13       1.678541392810e-16       2.935474465670e-11       3.597616310813e-12      -1.145155609476e-14 
   66       2.495108558099e-10       3.855175585128e-14      -5.853282900805e-13       1.730744787855e-16       2.832411692473e-11       3.487319158929e-12      -1.127884964474e-14 
   67       2.528608793145e-10       4.024929532076e-14      -6.417028308711e-13       1.783741784016e-16       2.733962586845e-11       3.381714414759e-12      -1.107846361929e-14 
   68       2.562420953564e-10       4.197963318810e-14      -6.998480762830e-13       1.837532400761e-16       2.639531253054e-11       3.280040911296e-12      -1.086449959633e-14 
   69       2.596556694260e-10       4.374190015486e-14      -7.597398371626e-13       1.892117066780e-16       2.549047297940e-11       3.182227354894e-12      -1.064202309366e-14 
   70       2.631028659304e-10       4.553528810429e-14      -8.213513553665e-13       1.947496426878e-16       2.462530590620e-11       3.088336386329e-12      -1.041388942681e-14 
   71       2.665844620031e-10       4.735894485752e-14      -8.846532931672e-13       2.003671276600e-16       2.379931339289e-11       2.998360876178e-12      -1.018322072746e-14 
   72       2.701007157842e-10       4.921197409608e-14      -9.496137149197e-13       2.060642569375e-16       2.301126492135e-11       2.912220217636e-12      -9.953413705714e-15 
   73       2.736513346997e-10       5.109343528445e-14      -1.016198068727e-12       2.118411423663e-16       2.225916138246e-11       2.829756619341e-12      -9.728147412306e-15 
   74       2.772354437412e-10       5.300234359256e-14      -1.084369168106e-12       2.176979130101e-16       2.154019908533e-11       2.750731398188e-12      -9.511391000865e-15 
