# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 200.404 h/Mpc,
# number of wavenumbers equal to 797
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_m                    8:d_tot                  9:phi                   10:psi                
       1.008985870589e-05      -1.613019807842e-05      -1.209769985983e-05      -1.209770028060e-05       0.000000000000e+00      -1.613018994856e-05      -1.209935985309e-05      -1.221456519395e-05       6.123578986171e-01       5.967943037193e-01 
       2.251315038780e-05      -8.030346174916e-05      -6.022886784310e-05      -6.022887827247e-05       0.000000000000e+00      -8.030326024696e-05      -6.023713964763e-05      -6.081065203179e-05       6.123566137089e-01       5.967934678703e-01 
       3.497711552607e-05      -1.938276937262e-04      -1.453781784752e-04      -1.453782392398e-04       0.000000000000e+00      -1.938265197610e-04      -1.453981744098e-04      -1.467823203639e-04       6.123542510514e-01       5.967918941421e-01 
       4.751294379687e-05      -3.576446289433e-04      -2.682586957281e-04      -2.682589026283e-04       0.000000000000e+00      -3.576406318522e-04      -2.682956725994e-04      -2.708492935536e-04       6.123508575056e-01       5.967896377346e-01 
       6.015230526950e-05      -5.731997921714e-04      -4.299646424829e-04      -4.299651739963e-04       0.000000000000e+00      -5.731895244582e-04      -4.300240740672e-04      -4.341160236700e-04       6.123463696261e-01       5.967866456110e-01 
       7.292761315928e-05      -8.424663214171e-04      -6.319897345478e-04      -6.319908828973e-04       0.000000000000e+00      -8.424441396401e-04      -6.320773982975e-04      -6.380901868533e-04       6.123407678132e-01       5.967829156893e-01 
       8.587229442275e-05      -1.167978568557e-03      -8.762530387762e-04      -8.762552463887e-04       0.000000000000e+00      -1.167935930397e-03      -8.763751000739e-04      -8.847087689621e-04       6.123339897981e-01       5.967784036571e-01 
       9.902107156134e-05      -1.552876445777e-03      -1.165133119017e-03      -1.165137022200e-03       0.000000000000e+00      -1.552801067890e-03      -1.165296228769e-03      -1.176372511349e-03       6.123259796220e-01       5.967730691490e-01 
       1.124102590266e-04      -2.000961509231e-03      -1.501511262548e-03      -1.501517744810e-03       0.000000000000e+00      -2.000836340589e-03      -1.501722673391e-03      -1.515989515550e-03       6.123166554482e-01       5.967668604152e-01 
       1.260780776503e-04      -2.516766179107e-03      -1.888824906875e-03      -1.888835164786e-03       0.000000000000e+00      -2.516568136055e-03      -1.889092607282e-03      -1.907029135134e-03       6.123059212492e-01       5.967597120559e-01 
       1.400649905364e-04      -3.105637865810e-03      -2.331132684198e-03      -2.331148309125e-03       0.000000000000e+00      -3.105336260319e-03      -2.331465549923e-03      -2.353587582420e-03       6.122936612750e-01       5.967515484303e-01 
       1.544140638297e-04      -3.773840075316e-03      -2.833192758489e-03      -2.833215838848e-03       0.000000000000e+00      -3.773394648356e-03      -2.833600728702e-03      -2.860466937374e-03       6.122797467849e-01       5.967422824726e-01 
       1.691713556719e-04      -4.528672994276e-03      -3.400556484813e-03      -3.400589735672e-03       0.000000000000e+00      -4.528031440027e-03      -3.401050791515e-03      -3.433269603417e-03       6.122640250875e-01       5.967318120767e-01 
       1.843863364392e-04      -5.378616596314e-03      -4.039679888886e-03      -4.039726813884e-03       0.000000000000e+00      -5.377711438958e-03      -4.040273297020e-03      -4.078510722113e-03       6.122463164100e-01       5.967200180306e-01 
       2.001123429508e-04      -6.333499741159e-03      -4.758055825571e-03      -4.758120925573e-03       0.000000000000e+00      -6.332244365718e-03      -4.758762969686e-03      -4.803751430126e-03       6.122264156107e-01       5.967067630088e-01 
       2.164070686664e-04      -7.404699327477e-03      -5.564370239733e-03      -5.564459276393e-03       0.000000000000e+00      -7.402982932081e-03      -5.565208003498e-03      -5.617756394911e-03       6.122040782080e-01       5.966918849346e-01 
       2.333330908519e-04      -8.605374228249e-03      -6.468686547564e-03      -6.468806880191e-03       0.000000000000e+00      -8.603055379398e-03      -6.469674517862e-03      -6.530679675079e-03       6.121790314991e-01       5.966752000957e-01 
