# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.008985923246e-05      -1.613019981057e-05      -1.209770116723e-05      -1.209770158684e-05       0.000000000000e+00      -1.613019169033e-05      -1.221456651255e-05       6.123585594557e-01       5.967943484803e-01 
       2.251775554681e-05      -8.033631705713e-05      -6.025351056991e-05      -6.025352097898e-05       0.000000000000e+00      -8.033611562833e-05      -6.083553274889e-05       6.123572706441e-01       5.967935103645e-01 
       3.498636120247e-05      -1.939301754023e-04      -1.454550487651e-04      -1.454551094260e-04       0.000000000000e+00      -1.939290015860e-04      -1.468599328068e-04       6.123549213025e-01       5.967919492689e-01 
       4.752690064658e-05      -3.578547459463e-04      -2.684163171990e-04      -2.684165237701e-04       0.000000000000e+00      -3.578507488832e-04      -2.710084361149e-04       6.123515028056e-01       5.967896708744e-01 
       6.017107953230e-05      -5.735575853837e-04      -4.302330787825e-04      -4.302336094884e-04       0.000000000000e+00      -5.735473169949e-04      -4.343870489326e-04       6.123470204352e-01       5.967866851306e-01 
       7.295134796122e-05      -8.430146285500e-04      -6.324011698173e-04      -6.324023164869e-04       0.000000000000e+00      -8.429924441348e-04      -6.385055873720e-04       6.123414135473e-01       5.967829510568e-01 
       8.590117158737e-05      -1.168763929945e-03      -8.768424654034e-04      -8.768446698820e-04       0.000000000000e+00      -1.168721284888e-03      -8.853038712936e-04       6.123346306860e-01       5.967784361250e-01 
       9.905531395762e-05      -1.553950071893e-03      -1.165939073780e-03      -1.165942971569e-03       0.000000000000e+00      -1.553874678905e-03      -1.177186218864e-03       6.123266136526e-01       5.967730969095e-01 
       1.124501334903e-04      -2.002380387063e-03      -1.502576670017e-03      -1.502583143552e-03       0.000000000000e+00      -2.002255188987e-03      -1.517065159415e-03       6.123172817227e-01       5.967668835020e-01 
       1.261238985241e-04      -2.518594328588e-03      -1.890198038985e-03      -1.890208283426e-03       0.000000000000e+00      -2.518396231931e-03      -1.908415442410e-03       6.123065376383e-01       5.967597285260e-01 
       1.401171238832e-04      -3.107947804734e-03      -2.332868281841e-03      -2.332883886851e-03       0.000000000000e+00      -3.107646107261e-03      -2.355339807637e-03       6.122942679271e-01       5.967515587805e-01 
       1.544729323814e-04      -3.776714501278e-03      -2.835353322323e-03      -2.835376374116e-03       0.000000000000e+00      -3.776268922199e-03      -2.862648164469e-03       6.122803413432e-01       5.967422848977e-01 
       1.692374445844e-04      -4.532206772988e-03      -3.403213805965e-03      -3.403247016833e-03       0.000000000000e+00      -4.531564975842e-03      -3.435952289621e-03       6.122646050756e-01       5.967318049801e-01 
       1.844601999316e-04      -5.382919102549e-03      -4.042916854935e-03      -4.042963725245e-03       0.000000000000e+00      -5.382013566474e-03      -4.081778519433e-03       6.122468800867e-01       5.967200004845e-01 
       2.001946119095e-04      -6.338697594606e-03      -4.761968539630e-03      -4.762033566715e-03       0.000000000000e+00      -6.337441641109e-03      -4.807701322453e-03       6.122269589950e-01       5.967067322940e-01 
       2.164984592990e-04      -7.410939675560e-03      -5.569070574283e-03      -5.569159515402e-03       0.000000000000e+00      -7.409222415034e-03      -5.622501272416e-03       6.122045994360e-01       5.966918394784e-01 
       2.334344144703e-04      -8.612828601641e-03      -6.474305152043e-03      -6.474425360746e-03       0.000000000000e+00      -8.610508474771e-03      -6.536351365805e-03       6.121795258106e-01       5.966751372845e-01 
       2.510706081373e-04      -9.959607995969e-03      -7.489352441068e-03      -7.489513305993e-03       0.000000000000e+00      -9.956504495617e-03      -7.561036232611e-03       6.121514148322e-01       5.966564107990e-01 
       2.694812277303e-04      -1.146890225886e-02      -8.627746031952e-03      -8.627959525967e-03       0.000000000000e+00      -1.146478531302e-02      -8.710209528262e-03       6.121198934571e-01       5.966354090497e-01 
       2.887471433953e-04      -1.316108907490e-02      -9.905171966353e-03      -9.905453371436e-03       0.000000000000e+00      -1.315566533763e-02      -9.999695197694e-03       6.120845304348e-01       5.966118445410e-01 
       3.089565513139e-04      -1.505973028975e-02      -1.133981758132e-02      -1.134018642869e-02       0.000000000000e+00      -1.505262540799e-02      -1.144783882404e-02       6.120448224061e-01       5.965853821577e-01 
       3.302056182976e-04      -1.719206727945e-02      -1.295277676166e-02      -1.295325802792e-02       0.000000000000e+00      -1.718280302098e-02      -1.307591563953e-02       6.120001913412e-01       5.965556332402e-01 
