# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513639978333e-10       4.793943841364e-15       3.799573658431e-13       0.000000000000e+00       8.308942876178e-09       5.059120056935e-10      -2.012660722438e-12 
    3       1.417609368229e-10       6.054180406169e-15       4.281353583747e-13       0.000000000000e+00       5.129810946141e-09       3.573068535846e-10      -1.512219564845e-12 
    4       1.331013716170e-10       5.148228125147e-15       3.998173041737e-13       0.000000000000e+00       3.573417261226e-09       2.695801804626e-10      -9.767929537150e-13 
    5       1.266638950520e-10       3.372209244368e-15       3.391758038695e-13       0.000000000000e+00       2.668747406323e-09       2.123135679213e-10      -5.310289256482e-13 
    6       1.222130753334e-10       1.854983720894e-15       2.715876673139e-13       0.000000000000e+00       2.084690161078e-09       1.723353191702e-10      -2.072587792126e-13 
    7       1.192620392620e-10       9.970943550144e-16       2.117228283204e-13       0.000000000000e+00       1.680640914088e-09       1.430922884328e-10      -5.088532831353e-15 
    8       1.174520067656e-10       6.484109428935e-16       1.659074287244e-13       0.000000000000e+00       1.387203997983e-09       1.209775422343e-10       9.390974155482e-14 
    9       1.164844190953e-10       5.208353898112e-16       1.354183951667e-13       0.000000000000e+00       1.166712005832e-09       1.038403502352e-10       1.170790352211e-13 
   10       1.161118273418e-10       4.388709393886e-16       1.186542431240e-13       0.000000000000e+00       9.966376761158e-10       9.028061421268e-11       9.395906035298e-14 
   11       1.162378883444e-10       3.648796385921e-16       1.125832625231e-13       0.000000000000e+00       8.432483792939e-10       7.968609189943e-11       5.145242990835e-14 
   12       1.167167501765e-10       3.171925176858e-16       1.137795014781e-13       0.000000000000e+00       7.367193621467e-10       7.043648902928e-11       8.506019868671e-15 
   13       1.174786758008e-10       3.043663876435e-16       1.192691957642e-13       0.000000000000e+00       6.492687313838e-10       6.289390727158e-11      -2.257337378947e-14 
   14       1.184507657118e-10       3.151755209222e-16       1.268687755765e-13       0.000000000000e+00       5.765094416411e-10       5.630756446127e-11      -3.807927209548e-14 
   15       1.196306301045e-10       3.376026821327e-16       1.351598634105e-13       0.000000000000e+00       5.152653998638e-10       5.077098306295e-11      -3.911729648576e-14 
   16       1.209586867913e-10       3.710521840486e-16       1.435384933318e-13       0.000000000000e+00       4.631945506080e-10       4.602125606347e-11      -3.059003944280e-14 
   17       1.224246321294e-10       4.221529332091e-16       1.519063514854e-13       0.000000000000e+00       4.185276071744e-10       4.189325682355e-11      -1.835710481345e-14 
   18       1.239804517555e-10       4.958416085581e-16       1.605039870604e-13       0.000000000000e+00       3.797612429857e-10       3.827089434375e-11      -7.624538284400e-15 
   19       1.256376662312e-10       5.918717354361e-16       1.695721520413e-13       0.000000000000e+00       3.462770747170e-10       3.511448461543e-11      -8.584051377036e-16 
   20       1.273750516760e-10       7.076968648237e-16       1.792909721144e-13       0.000000000000e+00       3.167874759800e-10       3.233022281012e-11       6.145681323475e-16 
   21       1.291988541608e-10       8.427128453001e-16       1.896139891712e-13       0.000000000000e+00       2.908292520309e-10       2.986670324390e-11      -2.207642041939e-15 
   22       1.310906639347e-10       9.965711895050e-16       2.003194190462e-13       0.000000000000e+00       2.677805397561e-10       2.764739908313e-11      -7.115555299933e-15 
   23       1.330484986026e-10       1.169039004115e-15       2.109678492153e-13       0.000000000000e+00       2.473244822564e-10       2.564963961417e-11      -1.224089562746e-14 
   24       1.350552819170e-10       1.359839087129e-15       2.210162597407e-13       0.000000000000e+00       2.289885551863e-10       2.384576359613e-11      -1.575953696417e-14 
   25       1.371218895885e-10       1.569516304936e-15       2.301938151569e-13       0.000000000000e+00       2.125570342814e-10       2.222828930231e-11      -1.704050123768e-14 
   26       1.392489257893e-10       1.799080901882e-15       2.383249556594e-13       0.000000000000e+00       1.977323699186e-10       2.077759170379e-11      -1.603166856919e-14 
   27       1.414222104063e-10       2.050590229455e-15       2.453421467097e-13       0.000000000000e+00       1.843366107481e-10       1.946530952238e-11      -1.354545443966e-14 
   28       1.436149160940e-10       2.326416501581e-15       2.512400053071e-13       0.000000000000e+00       1.721387257511e-10       1.825341159391e-11      -1.074000051080e-14 
   29       1.458372097331e-10       2.628006071421e-15       2.560839946790e-13       0.000000000000e+00       1.610763517416e-10       1.714073409949e-11      -8.251085733959e-15 
   30       1.481000995322e-10       2.956502260336e-15       2.599973954017e-13       0.000000000000e+00       1.510306512941e-10       1.612908328645e-11      -6.645369866003e-15 
   31       1.504035787147e-10       3.312978219921e-15       2.631053021464e-13       0.000000000000e+00       1.417966619950e-10       1.521069292417e-11      -6.413616202895e-15 
   32       1.527500402043e-10       3.698353239910e-15       2.653521189325e-13       0.000000000000e+00       1.333266207682e-10       1.437515020472e-11      -7.275250346442e-15 
   33       1.551330401651e-10       4.113430569951e-15       2.666144847360e-13       0.000000000000e+00       1.255605493654e-10       1.360309861903e-11      -8.596726039075e-15 
