# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513644831026e-10       4.794169161734e-15       3.799573616629e-13       2.253203249181e-19       8.308942876178e-09       5.059120056935e-10      -2.012660722438e-12 
    3       1.417619050942e-10       6.054631147185e-15       4.281353397441e-13       4.507405693000e-19       5.129810946141e-09       3.573068535846e-10      -1.512219564845e-12 
    4       1.331029804236e-10       5.148979581566e-15       3.998172506347e-13       7.514542277459e-19       3.573417261226e-09       2.695801804626e-10      -9.767929537150e-13 
    5       1.266662990684e-10       3.373336840618e-15       3.391756818850e-13       1.127588750697e-18       2.668747406323e-09       2.123135679213e-10      -5.310289256482e-13 
    6       1.222164257974e-10       1.856563039958e-15       2.715874274122e-13       1.579298626416e-18       2.084690161078e-09       1.723353191702e-10      -2.072587792126e-13 
    7       1.192664834803e-10       9.992011649120e-16       2.117224024922e-13       2.106762387272e-18       1.680640914088e-09       1.430922884328e-10      -5.088532831353e-15 
    8       1.174576877143e-10       6.511212202413e-16       1.659067281063e-13       2.710179229560e-18       1.387203997983e-09       1.209775422343e-10       9.390974155482e-14 
    9       1.164914751213e-10       5.242253399375e-16       1.354173080354e-13       3.389765349691e-18       1.166712005832e-09       1.038403502352e-10       1.170790352211e-13 
   10       1.161203919681e-10       4.430170124849e-16       1.186526332172e-13       4.145750106702e-18       9.966376761158e-10       9.028061421268e-11       9.395906035298e-14 
   11       1.162480901807e-10       3.698585414014e-16       1.125809676922e-13       4.978372124149e-18       8.432483792939e-10       7.968609189943e-11       5.145242990835e-14 
   12       1.167287129300e-10       3.230812202624e-16       1.137763326713e-13       5.887875443623e-18       7.367193621467e-10       7.043648902928e-11       8.506019868671e-15 
   13       1.174925183811e-10       3.112421247694e-16       1.192649363292e-13       6.874505837333e-18       6.492687313838e-10       6.289390727158e-11      -2.257337378947e-14 
   14       1.184666024205e-10       3.231157878410e-16       1.268631808661e-13       7.938507378660e-18       5.765094416411e-10       5.630756446127e-11      -3.807927209548e-14 
   15       1.196485708961e-10       3.466852243512e-16       1.351526606682e-13       9.080119357730e-18       5.152653998638e-10       5.077098306295e-11      -3.911729648576e-14 
   16       1.209788375922e-10       3.813549810651e-16       1.435293818320e-13       1.029957361422e-17       4.631945506080e-10       4.602125606347e-11      -3.059003944280e-14 
   17       1.224470951981e-10       4.337541761550e-16       1.518950029000e-13       1.159709234251e-17       4.185276071744e-10       4.189325682355e-11      -1.835710481345e-14 
   18       1.240053260755e-10       5.088196719756e-16       1.604900460346e-13       1.297288619719e-17       3.797612429857e-10       3.827089434375e-11      -7.624538284400e-15 
   19       1.256650478742e-10       6.063051428382e-16       1.695552368807e-13       1.442715417430e-17       3.462770747170e-10       3.511448461543e-11      -8.584051377036e-16 
   20       1.274050342388e-10       7.236642499293e-16       1.792706757502e-13       1.596008066443e-17       3.167874759800e-10       3.233022281012e-11       6.145681323475e-16 
   21       1.292315290658e-10       8.602929077742e-16       1.895898800766e-13       1.757183852022e-17       2.908292520309e-10       2.986670324390e-11      -2.207642041939e-15 
   22       1.311261208147e-10       1.015842646416e-15       2.002910424546e-13       1.926258580659e-17       2.677805397561e-10       2.764739908313e-11      -7.115555299933e-15 
   23       1.330868255062e-10       1.190080539186e-15       2.109347282538e-13       2.103247039620e-17       2.473244822564e-10       2.564963961417e-11      -1.224089562746e-14 
   24       1.350965655990e-10       1.382729295465e-15       2.209778968740e-13       2.288162666603e-17       2.289885551863e-10       2.384576359613e-11      -1.575953696417e-14 
   25       1.371662155717e-10       1.594333639836e-15       2.301496935446e-13       2.481018186885e-17       2.125570342814e-10       2.222828930231e-11      -1.704050123768e-14 
   26       1.392963785308e-10       1.825903615725e-15       2.382745408344e-13       2.681825214812e-17       1.977323699186e-10       2.077759170379e-11      -1.603166856919e-14 
   27       1.414728732527e-10       2.079496318963e-15       2.452848882471e-13       2.890594858232e-17       1.843366107481e-10       1.946530952238e-11      -1.354545443966e-14 
   28       1.436688713021e-10       2.357483649088e-15       2.511753388014e-13       3.107337447273e-17       1.721387257511e-10       1.825341159391e-11      -1.074000051080e-14 
   29       1.458945381948e-10       2.661311602003e-15       2.560113438413e-13       3.332063482370e-17       1.610763517416e-10       1.714073409949e-11      -8.251085733959e-15 
   30       1.481608806997e-10       2.992123082439e-15       2.599161744085e-13       3.564782866602e-17       1.510306512941e-10       1.612908328645e-11      -6.645369866003e-15 
   31       1.504678905156e-10       3.350990766709e-15       2.630149182869e-13       3.805504901708e-17       1.417966619950e-10       1.521069292417e-11      -6.413616202895e-15 
   32       1.528179586423e-10       3.738833440724e-15       2.652519757505e-13       4.054239429643e-17       1.333266207682e-10       1.437515020472e-11      -7.275250346442e-15 
   33       1.552046390812e-10       4.156453799081e-15       2.665039851622e-13       4.310996118067e-17       1.255605493654e-10       1.360309861903e-11      -8.596726039075e-15 
   34       1.576146608531e-10       4.604607777681e-15       2.666297816887e-13       4.575784313237e-17       1.183896846783e-10       1.287155104335e-11      -9.698424215505e-15 
   35       1.600524672317e-10       5.084202070429e-15       2.654870812977e-13       4.848613526435e-17       1.117772643826e-10       1.218241332270e-11      -1.034721392554e-14 
   36       1.625224965558e-10       5.596157556370e-15       2.629189222885e-13       5.129493147954e-17       1.056701876506e-10       1.154311204202e-11      -1.042959731889e-14 
   37       1.650241954992e-10       6.141340391641e-15       2.587817100704e-13       5.418432227685e-17       9.998891655100e-11       1.095792448401e-11      -9.879843313533e-15 
   38       1.675600253377e-10       6.720515561062e-15       2.530615930897e-13       5.715439089085e-17       9.471872538374e-11       1.042496479371e-11      -8.879762895768e-15 
   39       1.701288709485e-10       7.334371034748e-15       2.457972305337e-13       6.020521612882e-17       8.984284895116e-11       9.937645896729e-12      -7.729779836838e-15 
   40       1.727230595287e-10       7.983524464988e-15       2.370504369116e-13       6.333687355159e-17       8.531472723119e-11       9.485034619931e-12      -6.801285914173e-15 
   41       1.753326931999e-10       8.668566094604e-15       2.268832226041e-13       6.654943171582e-17       8.107421282569e-11       9.055149757675e-12      -6.434265560503e-15 
   42       1.779619169358e-10       9.390215047937e-15       2.152765554356e-13       6.984293915694e-17       7.710878520361e-11       8.646995184534e-12      -6.579200516422e-15 
   43       1.806168444456e-10       1.014920637940e-14       2.021875135805e-13       7.321743335981e-17       7.340789020808e-11       8.261850415928e-12      -7.046216282320e-15 
   44       1.833007218045e-10       1.094624687886e-14       1.875710972815e-13       7.667294411434e-17       6.994457231389e-11       7.899858223187e-12      -7.599156385825e-15 
   45       1.860146263606e-10       1.178197692858e-14       1.713807580411e-13       8.020948897517e-17       6.668509275711e-11       7.560301295254e-12      -8.011610941856e-15 
   46       1.887605487205e-10       1.265684538973e-14       1.535708257222e-13       8.382705838837e-17       6.362428894809e-11       7.242770213471e-12      -8.261627151351e-15 
   47       1.915387008032e-10       1.357119520851e-14       1.340943372291e-13       8.752562585361e-17       6.075856564786e-11       6.946171874956e-12      -8.390409048674e-15 
   48       1.943463370225e-10       1.452529380075e-14       1.129020702600e-13       9.130515152546e-17       5.807523048692e-11       6.668303852253e-12      -8.449072885231e-15 
   49       1.971775001582e-10       1.551932968985e-14       8.994231349075e-14       9.516558180536e-17       5.555181769321e-11       6.405774602936e-12      -8.499214290757e-15 
   50       2.000257809761e-10       1.655344038056e-14       6.516698364746e-14       9.910684893335e-17       5.316284678198e-11       6.154988937158e-12      -8.599468144930e-15 
   51       2.028940697453e-10       1.762781269958e-14       3.855246735959e-14       1.031288705795e-16       5.090383035742e-11       5.915604883652e-12      -8.759571536936e-15 
   52       2.057870123831e-10       1.874260387984e-14       1.008403934140e-14       1.072315494360e-16       4.877261397976e-11       5.687877228330e-12      -8.974812088613e-15 
   53       2.087081184089e-10       1.989791085810e-14      -2.024992281793e-14       1.114147728098e-16       4.676219211478e-11       5.471645309859e-12      -9.238855613988e-15 
   54       2.116596486394e-10       2.109376838285e-14      -5.245786979307e-14       1.156784122138e-16       4.486038174235e-11       5.266303359045e-12      -9.543654114003e-15 
   55       2.146429190850e-10       2.233016166582e-14      -8.654561597774e-14       1.200223326557e-16       4.305353385487e-11       5.071061009510e-12      -9.879004418026e-15 
   56       2.176595583268e-10       2.360707235148e-14      -1.225182593738e-13       1.244464241391e-16       4.133949539435e-11       4.885868564428e-12      -1.023130648896e-14 
   57       2.207103657880e-10       2.492444065322e-14      -1.603786180279e-13       1.289505772735e-16       3.971729563847e-11       4.710669633012e-12      -1.058433549997e-14 
   58       2.237948288997e-10       2.628215051374e-14      -2.001266231720e-13       1.335346742329e-16       3.818322503833e-11       4.545113142077e-12      -1.091946084433e-14 
   59       2.269110270120e-10       2.768002827959e-14      -2.417592739067e-13       1.381985887268e-16       3.673066614733e-11       4.388534980801e-12      -1.121554051893e-14 
   60       2.300555353039e-10       2.911784137571e-14      -2.852705918848e-13       1.429421859686e-16       3.534992455012e-11       4.239939645480e-12      -1.144881550784e-14 
   61       2.332248829511e-10       3.059524631962e-14      -3.306524305856e-13       1.477653399082e-16       3.403091720534e-11       4.098272508543e-12      -1.159848922097e-14 
   62       2.364205274822e-10       3.211162212676e-14      -3.778972179247e-13       1.526679895146e-16       3.277232510165e-11       3.963349565369e-12      -1.166516820477e-14 
   63       2.396448315389e-10       3.366619698896e-14      -4.269957516390e-13       1.576500951300e-16       3.157420434353e-11       3.835104757173e-12      -1.165639206624e-14 
   64       2.428995612968e-10       3.525809276038e-14      -4.779363811784e-13       1.627116228297e-16       3.043523316820e-11       3.713308809063e-12      -1.158138695521e-14 
   65       2.461858396913e-10       3.688632202466e-14      -5.307049895050e-13       1.678525449397e-16       2.935263353808e-11       3.597560096090e-12      -1.145114033040e-14 
   66       2.495040996430e-10       3.854978516203e-14      -5.852849748920e-13       1.730728405541e-16       2.832209273330e-11       3.487275509292e-12      -1.127847572553e-14 
   67       2.528540372839e-10       4.024726741649e-14      -6.416572327230e-13       1.783724960524e-16       2.733768494422e-11       3.381681321744e-12      -1.107812751528e-14 
   68       2.562351542314e-10       4.197754761957e-14      -6.998001333512e-13       1.837515133199e-16       2.639345146781e-11       3.280016278772e-12      -1.086419598237e-14 
   69       2.596486165593e-10       4.373975649952e-14      -7.596894911519e-13       1.892099351854e-16       2.548868837165e-11       3.182209071612e-12      -1.064174658669e-14 
   70       2.630956902070e-10       4.553308603990e-14      -8.212985564736e-13       1.947478260913e-16       2.462359431800e-11       3.088322359849e-12      -1.041363497886e-14 
   71       2.665771541180e-10       4.735668417094e-14      -8.845980010495e-13       2.003652655480e-16       2.379767141594e-11       2.998349053404e-12      -1.018298371542e-14 
   72       2.700932685310e-10       4.920965469239e-14      -9.495558996956e-13       2.060623488485e-16       2.300968923337e-11       2.912208606313e-12      -9.953190024912e-15 
   73       2.736437432708e-10       5.109105719633e-14      -1.016137712009e-12       2.118391877826e-16       2.225764880906e-11       2.829743310500e-12      -9.727933573953e-15 
   74       2.772277060393e-10       5.299990698996e-14      -1.084306264067e-12       2.176959113516e-16       2.153874666468e-11       2.750714589553e-12      -9.511184233297e-15 
   75       2.808436707062e-10       5.493517501842e-14      -1.154021730124e-12       2.236326664826e-16       2.084933881683e-11       2.674799292499e-12      -9.307209843923e-15 
   76       2.844901931186e-10       5.689574236890e-14      -1.225243161992e-12       2.296496091093e-16       2.018584385411e-11       2.601673852433e-12      -9.119812995164e-15 
   77       2.881680466887e-10       5.888025437555e-14      -1.297933439611e-12       2.357468739580e-16       1.954772184208e-11       2.531292672721e-12      -8.949863513712e-15 
   78       2.918783877691e-10       6.088723964605e-14      -1.372055194182e-12       2.419246005241e-16       1.893497577689e-11       2.463654008259e-12      -8.797328030944e-15 
   79       2.956220860036e-10       6.291515212787e-14      -1.447569353790e-12       2.481829427259e-16       1.834724425028e-11       2.398714730509e-12      -8.661993139384e-15 
   80       2.993997067164e-10       6.496237009974e-14      -1.524435156842e-12       2.545220694208e-16       1.778378471790e-11       2.336388423013e-12      -8.543457349041e-15 
   81       3.032114933005e-10       6.702719516313e-14      -1.602610165499e-12       2.609421649224e-16       1.724345676762e-11       2.276543476912e-12      -8.441123043760e-15 
   82       3.070573496077e-10       6.910785123367e-14      -1.682050279110e-12       2.674434295178e-16       1.672470538788e-11       2.219001186460e-12      -8.354188437555e-15 
   83       3.109368223366e-10       7.120248353266e-14      -1.762709747652e-12       2.740260799837e-16       1.622554423600e-11       2.163533844535e-12      -8.281639530961e-15 
   84       3.148493966125e-10       7.330921857711e-14      -1.844540574316e-12       2.806903469931e-16       1.574403742095e-11       2.109919740433e-12      -8.222210830905e-15 
   85       3.187954776017e-10       7.542635778574e-14      -1.927490580084e-12       2.874364657071e-16       1.527987327027e-11       2.058122800725e-12      -8.174277647844e-15 
   86       3.227755400955e-10       7.755221426891e-14      -2.011505041440e-12       2.942646845638e-16       1.483302199668e-11       2.008139375737e-12      -8.135931113116e-15 
   87       3.267898176235e-10       7.968505470005e-14      -2.096527275807e-12       3.011752687079e-16       1.440325215027e-11       1.959943050940e-12      -8.104999385560e-15 
   88       3.308382901067e-10       8.182309933236e-14      -2.182498644719e-12       3.081685004553e-16       1.399012226519e-11       1.913483698811e-12      -8.079039082881e-15 
   89       3.349206715094e-10       8.396452201543e-14      -2.269358556985e-12       3.152446797578e-16       1.359297250636e-11       1.868686530687e-12      -8.055326713011e-15 
   90       3.390363974930e-10       8.610745021190e-14      -2.357044471859e-12       3.224041246677e-16       1.321091631621e-11       1.825451148620e-12      -8.030850105462e-15 
   91       3.431846130676e-10       8.824996501409e-14      -2.445491902210e-12       3.296471718022e-16       1.284283206141e-11       1.783650597235e-12      -8.002299842698e-15 
   92       3.473641602458e-10       9.039010116066e-14      -2.534634417689e-12       3.369741768082e-16       1.248735467953e-11       1.743130415583e-12      -7.966060691485e-15 
   93       3.515739247979e-10       9.252588024994e-14      -2.624404860028e-12       3.443855252208e-16       1.214319893019e-11       1.703747060995e-12      -7.919066293494e-15 
   94       3.558139629966e-10       9.465541605774e-14      -2.714739191141e-12       3.518816658990e-16       1.181020290501e-11       1.665491850614e-12      -7.861528892095e-15 
   95       3.600845222944e-10       9.677682516385e-14      -2.805573232328e-12       3.594630835006e-16       1.148842674749e-11       1.628383994394e-12      -7.794606224425e-15 
   96       3.643856900017e-10       9.888819563268e-14      -2.896841523256e-12       3.671302891363e-16       1.117783128221e-11       1.592432481799e-12      -7.719578080271e-15 
   97       3.687173858685e-10       1.009875874857e-13      -2.988477341768e-12       3.748838209761e-16       1.087827421346e-11       1.557635674124e-12      -7.637849583245e-15 
   98       3.730793546667e-10       1.030730331735e-13      -3.080412723686e-12       3.827242448572e-16       1.058950632378e-11       1.523980896791e-12      -7.550954471965e-15 
