# Matter power spectrum P(k) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985923246e-05       4.868198852067e-03 
       2.251775554681e-05       3.993260483364e-02 
       3.498636120247e-05       4.131497474504e-02 
       4.752690064658e-05       4.678325985514e-02 
       6.017107953230e-05       5.236023173785e-02 
       7.295134796122e-05       6.148044016660e-02 
       8.590117158737e-05       6.929617052738e-02 
       9.905531395762e-05       7.683707861614e-02 
       1.124501334903e-04       8.670027390854e-02 
       1.261238985241e-04       9.661878343947e-02 
       1.401171238832e-04       1.067412622258e-01 
       1.544729323814e-04       1.179910175808e-01 
       1.692374445844e-04       1.285068149352e-01 
       1.844601999316e-04       1.399753999155e-01 
       2.001946119095e-04       1.512310447676e-01 
       2.164984592990e-04       1.635550339525e-01 
       2.334344144703e-04       1.759458176563e-01 
       2.510706081373e-04       1.879864451857e-01 
       2.694812277303e-04       2.012322719276e-01 
       2.887471433953e-04       2.151226017953e-01 
       3.089565513139e-04       2.294851170137e-01 
       3.302056182976e-04       2.445082682004e-01 
       3.525991041420e-04       2.604187801854e-01 
       3.762509287930e-04       2.771428319647e-01 
       4.012846398372e-04       2.948546805331e-01 
       4.278337222871e-04       3.135459032934e-01 
       4.560416775835e-04       3.332976248873e-01 
       4.860617833145e-04       3.543227264664e-01 
       5.180564313506e-04       3.765791476806e-01 
       5.521959330390e-04       4.004356460919e-01 
       5.886566801031e-04       4.256876619788e-01 
       6.276185643138e-04       4.525972719453e-01 
       6.692615934693e-04       4.813039133998e-01 
       7.137617003222e-04       5.118020349406e-01 
       7.612858261435e-04       5.442785948673e-01 
       8.119864671933e-04       5.788160894697e-01 
       8.659959882004e-04       6.154287977384e-01 
       9.234211115549e-04       6.541718279256e-01 
       9.843380583383e-04       6.951351301780e-01 
       1.048788822492e-03       7.382623944172e-01 
       1.116778986862e-03       7.835183073667e-01 
       1.188277341593e-03       8.309064307399e-01 
       1.263217364035e-03       8.803010933628e-01 
       1.341500403710e-03       9.316109954558e-01 
       1.423000229794e-03       9.846853422520e-01 
       1.507568477172e-03       1.039493520937e+00 
       1.595040487038e-03       1.095779384179e+00 
       1.685241074673e-03       1.153420219774e+00 
       1.777989849548e-03       1.212279498424e+00 
       1.873105833077e-03       1.272195833414e+00 
       1.970411240942e-03       1.333009335216e+00 
       2.069734400901e-03       1.394567654926e+00 
       2.170911853969e-03       1.456748100800e+00 
       2.273789735124e-03       1.519419313630e+00 
       2.378224553043e-03       1.582437014346e+00 
       2.484083492891e-03       1.645711404289e+00 
       2.591244358339e-03       1.709116146038e+00 
       2.699595254278e-03       1.772560420952e+00 
       2.809034094327e-03       1.835951957220e+00 
       2.919467999818e-03       1.899209901843e+00 
       3.030812641171e-03       1.962261556614e+00 
       3.142991559080e-03       2.025024706685e+00 
       3.255935491967e-03       2.087443424580e+00 
       3.369581727509e-03       2.149461574938e+00 
       3.483873489548e-03       2.211022350079e+00 
       3.598759366763e-03       2.272076054816e+00 
       3.714192786088e-03       2.332582442326e+00 
       3.830131531369e-03       2.392502290805e+00 
       3.946537306183e-03       2.451793980378e+00 
       4.063375338686e-03       2.510432894365e+00 
       4.180614025754e-03       2.568383153710e+00 
       4.298224613405e-03       2.625624038823e+00 
       4.416180910359e-03       2.682130327027e+00 
       4.534459031676e-03       2.737879755888e+00 
       4.653037169509e-03       2.792857072474e+00 
       4.771895388214e-03       2.847045639585e+00 
       4.891015441268e-03       2.900431747654e+00 
       5.010380607654e-03       2.953003073095e+00 
       5.129975545600e-03       3.004749535705e+00 
       5.249786161774e-03       3.055664574030e+00 
       5.369799494223e-03       3.105740564336e+00 
       5.490003607537e-03       3.154972875058e+00 
       5.610387498875e-03       3.203355904901e+00 
       5.730941013670e-03       3.250890766020e+00 
       5.851654769906e-03       3.297575885667e+00 
       5.972520090068e-03       3.343408983812e+00 
       6.093528939880e-03       3.388392552832e+00 
       6.214673873133e-03       3.432528293815e+00 
       6.335947981903e-03       3.475821167292e+00 
       6.457344851613e-03       3.518271964846e+00 
       6.578858520406e-03       3.559885190330e+00 
       6.700483442374e-03       3.600665466795e+00 
       6.822214454238e-03       3.640621398623e+00 
       6.944046745134e-03       3.679755043338e+00 
       7.065975829162e-03       3.718078028508e+00 
       7.187997520434e-03       3.755598082393e+00 
       7.310107910369e-03       3.792318729184e+00 
       7.432303346994e-03       3.828244746138e+00 
       7.554580416073e-03       3.863390874771e+00 
       7.676935923868e-03       3.897767207434e+00 
       7.799366881390e-03       3.931375599424e+00 
       7.921870489981e-03       3.964222673646e+00 
       8.044444128110e-03       3.996330227131e+00 
       8.167085339271e-03       4.027695819572e+00 
       8.289791820870e-03       4.058333681641e+00 
       8.412561414027e-03       4.088255881710e+00 
       8.535392094189e-03       4.117461233225e+00 
       8.658281962499e-03       4.145967911031e+00 
       8.781229237845e-03       4.173781673225e+00 
       8.904232249532e-03       4.200913797000e+00 
