# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       1.008985923246e-05      -1.550589542969e+00      -1.162942157112e+00      -1.162942157103e+00       0.000000000000e+00      -1.550589542985e+00      -1.174176494588e+00       6.123562058496e-01       5.967976597909e-01       1.526035965639e-08       1.526017918655e-08       1.526017686196e-08                      nan       1.526036673844e-08       1.526018433594e-08 
       2.251775554681e-05      -1.550694456665e+00      -1.163020844840e+00      -1.163020844897e+00       0.000000000000e+00      -1.550694456349e+00      -1.174255942416e+00       6.123442728052e-01       5.967869838128e-01       7.599733928004e-08       7.600330774696e-08       7.600332349522e-08                      nan       7.599701117294e-08       7.600308684949e-08 
       3.498636120247e-05      -1.550806610719e+00      -1.163104968305e+00      -1.163104968492e+00       0.000000000000e+00      -1.550806609238e+00      -1.174340878322e+00       6.123415258411e-01       5.967850694725e-01       1.834477781124e-07       1.834757468253e-07       1.834758006799e-07                      nan       1.834461229970e-07       1.834746938149e-07 
       4.752690064658e-05      -1.550965589393e+00      -1.163224222544e+00      -1.163224222992e+00       0.000000000000e+00      -1.550965584838e+00      -1.174461283982e+00       6.123382786218e-01       5.967829592294e-01       3.384920722496e-07       3.385782350058e-07       3.385783654739e-07                      nan       3.384867855830e-07       3.385749595931e-07 
       6.017107953230e-05      -1.551168095864e+00      -1.163376143024e+00      -1.163376143700e+00       0.000000000000e+00      -1.551168085267e+00      -1.174614670600e+00       6.123356783724e-01       5.967817159936e-01       5.424877090511e-07       5.426943161249e-07       5.426945038763e-07                      nan       5.424749345063e-07       5.426863600458e-07 
       7.295134796122e-05      -1.551431898718e+00      -1.163574073509e+00      -1.163574075085e+00       0.000000000000e+00      -1.551431875821e+00      -1.174814510704e+00       6.123297206111e-01       5.967776470649e-01       7.972692165080e-07       7.977082162954e-07       7.977086909087e-07                      nan       7.972415738783e-07       7.976913641889e-07 
       8.590117158737e-05      -1.551742128755e+00      -1.163806874054e+00      -1.163806876547e+00       0.000000000000e+00      -1.551742085932e+00      -1.175049555727e+00       6.123246904869e-01       5.967747359538e-01       1.105224461342e-06       1.106048844411e-06       1.106049612863e-06                      nan       1.105172176963e-06       1.106017093834e-06 
       9.905531395762e-05      -1.552104381451e+00      -1.164078760901e+00      -1.164078764741e+00       0.000000000000e+00      -1.552104307191e+00      -1.175324062171e+00       6.123198902429e-01       5.967723516777e-01       1.469296338075e-06       1.470723008120e-06       1.470724225563e-06                      nan       1.469204940310e-06       1.470667956179e-06 
       1.124501334903e-04      -1.552540116616e+00      -1.164405872066e+00      -1.164405879725e+00       0.000000000000e+00      -1.552539990855e+00      -1.175654323837e+00       6.123107949712e-01       5.967663359681e-01       1.892995886108e-06       1.895361240223e-06       1.895363743784e-06                      nan       1.892842269628e-06       1.895270323882e-06 
       1.261238985241e-04      -1.553040923299e+00      -1.164781936125e+00      -1.164781946485e+00       0.000000000000e+00      -1.553040727841e+00      -1.176034004404e+00       6.123005199733e-01       5.967596154245e-01       2.380571817270e-06       2.384313706998e-06       2.384317032557e-06                      nan       2.380331443642e-06       2.384169412211e-06 
       1.401171238832e-04      -1.553612672672e+00      -1.165211398369e+00      -1.165211413217e+00       0.000000000000e+00      -1.553612376907e+00      -1.176467592699e+00       6.122887897972e-01       5.967519405321e-01       2.937011488902e-06       2.942707491192e-06       2.942712217633e-06                      nan       2.936646905501e-06       2.942487592656e-06 
       1.544729323814e-04      -1.554270491569e+00      -1.165705672300e+00      -1.165705699438e+00       0.000000000000e+00      -1.554270045120e+00      -1.176966614485e+00       6.122732111282e-01       5.967411093603e-01       3.568102670957e-06       3.576540967439e-06       3.576550218062e-06                      nan       3.567556583059e-06       3.576216914226e-06 
       1.692374445844e-04      -1.555003238890e+00      -1.166256476049e+00      -1.166256508223e+00       0.000000000000e+00      -1.555002608122e+00      -1.177522693010e+00       6.122582054626e-01       5.967313196623e-01       4.280705160933e-06       4.292857876461e-06       4.292868048493e-06                      nan       4.279928826353e-06       4.292388806047e-06 
       1.844601999316e-04      -1.555836047154e+00      -1.166882755276e+00      -1.166882804172e+00       0.000000000000e+00      -1.555835151076e+00      -1.178154968043e+00       6.122393674636e-01       5.967184707046e-01       5.082611455931e-06       5.099784570247e-06       5.099800632815e-06                      nan       5.081511269790e-06       5.099123030311e-06 
       2.001946119095e-04      -1.556764716150e+00      -1.167581468523e+00      -1.167581533526e+00       0.000000000000e+00      -1.556763477804e+00      -1.178860354611e+00       6.122199490615e-01       5.967056588286e-01       5.983010643413e-06       6.006819712948e-06       6.006840397319e-06                      nan       5.981489255197e-06       6.005901331391e-06 
