# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513657739310e-10       4.793963271711e-15       3.799578565140e-13       0.000000000000e+00       8.309219920313e-09       5.059266422228e-10      -2.012681271787e-12 
    3       1.417617424708e-10       6.054212580882e-15       4.281329427001e-13       0.000000000000e+00       5.130003817015e-09       3.573182079745e-10      -1.512238240402e-12 
    4       1.331021822314e-10       5.148276384714e-15       3.998175422193e-13       0.000000000000e+00       3.573562702836e-09       2.695890904539e-10      -9.768067742913e-13 
    5       1.266650761572e-10       3.372251414142e-15       3.391789488542e-13       0.000000000000e+00       2.668862525355e-09       2.123208495944e-10      -5.310363346016e-13 
    6       1.222145683700e-10       1.855012852412e-15       2.715916010717e-13       0.000000000000e+00       2.084784584570e-09       1.723415361047e-10      -2.072609353034e-13 
    7       1.192635278892e-10       9.971158373211e-16       2.117268219114e-13       0.000000000000e+00       1.680719995501e-09       1.430977404811e-10      -5.087597742364e-15 
    8       1.174534731902e-10       6.484291847538e-16       1.659113280594e-13       0.000000000000e+00       1.387271479723e-09       1.209823879590e-10       9.391182434447e-14 
    9       1.164859172804e-10       5.208519143086e-16       1.354220980599e-13       0.000000000000e+00       1.166770898553e-09       1.038447431695e-10       1.170809700059e-13 
   10       1.161132539228e-10       4.388861898034e-16       1.186581109046e-13       0.000000000000e+00       9.966898228228e-10       9.028468832765e-11       9.396021537339e-14 
   11       1.162393122246e-10       3.648942802430e-16       1.125875027050e-13       0.000000000000e+00       8.432950898109e-10       7.968993094753e-11       5.145270653737e-14 
   12       1.167181721433e-10       3.172079743954e-16       1.137842345971e-13       0.000000000000e+00       7.367613247682e-10       7.043995611372e-11       8.505587090478e-15 
   13       1.174801091916e-10       3.043842328121e-16       1.192745157922e-13       0.000000000000e+00       6.493067697441e-10       6.289701849087e-11      -2.257418629106e-14 
   14       1.184522773563e-10       3.151971296939e-16       1.268747574345e-13       0.000000000000e+00       5.765439768027e-10       5.631048593685e-11      -3.808018878667e-14 
   15       1.196322617113e-10       3.376289615612e-16       1.351665691903e-13       0.000000000000e+00       5.152969528432e-10       5.077373662873e-11      -3.911810666558e-14 
   16       1.209603405771e-10       3.710841313044e-16       1.435457809439e-13       0.000000000000e+00       4.632235258011e-10       4.602373742535e-11      -3.059067944199e-14 
   17       1.224263807496e-10       4.221923465381e-16       1.519142406113e-13       0.000000000000e+00       4.185542667747e-10       4.189545919232e-11      -1.835759836526e-14 
   18       1.239822453152e-10       4.958896774754e-16       1.605123992915e-13       0.000000000000e+00       3.797858320535e-10       3.827295864534e-11      -7.624986544629e-15 
   19       1.256394754202e-10       5.919300248588e-16       1.695810654634e-13       0.000000000000e+00       3.462998323421e-10       3.511646293985e-11      -8.588790356366e-16 
   20       1.273769457919e-10       7.077677126484e-16       1.793004972199e-13       0.000000000000e+00       3.168085839492e-10       3.233200812131e-11       6.140697464984e-16 
   21       1.292008583643e-10       8.427983071685e-16       1.896241525002e-13       0.000000000000e+00       2.908488680825e-10       2.986826639424e-11      -2.208162722870e-15 
   22       1.310927175027e-10       9.966726853584e-16       2.003300915636e-13       0.000000000000e+00       2.677987872922e-10       2.764885425657e-11      -7.116115228241e-15 
   23       1.330505638118e-10       1.169158007162e-15       2.109788839497e-13       0.000000000000e+00       2.473414799530e-10       2.565105329496e-11      -1.224149893068e-14 
   24       1.350573787985e-10       1.359977405171e-15       2.210275468181e-13       0.000000000000e+00       2.290044127327e-10       2.384709594182e-11      -1.576016038870e-14 
   25       1.371240469095e-10       1.569676194766e-15       2.302052962285e-13       0.000000000000e+00       2.125718558109e-10       2.222950393088e-11      -1.704109260628e-14 
