# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.513662592338e-10       4.794188595087e-15       3.799578523333e-13       2.253233302962e-19       8.309219920313e-09       5.059266422228e-10      -2.012681271787e-12 
    3       1.417627108090e-10       6.054663327925e-15       4.281329240671e-13       4.507465974768e-19       5.130003817015e-09       3.573182079745e-10      -1.512238240402e-12 
    4       1.331037911492e-10       5.149027851217e-15       3.998174886736e-13       7.514643126822e-19       3.573562702836e-09       2.695890904539e-10      -9.768067742913e-13 
    5       1.266674803399e-10       3.373379025588e-15       3.391788268541e-13       1.127603947561e-18       2.668862525355e-09       2.123208495944e-10      -5.310363346016e-13 
    6       1.222179190657e-10       1.856592192861e-15       2.715913611394e-13       1.579320015221e-18       2.084784584570e-09       1.723415361047e-10      -2.072609353034e-13 
    7       1.192679724150e-10       9.992226758990e-16       2.117263960292e-13       2.106791075519e-18       1.680719995501e-09       1.430977404811e-10      -5.087597742364e-15 
    8       1.174591545323e-10       6.511394992090e-16       1.659106273529e-13       2.710216353774e-18       1.387271479723e-09       1.209823879590e-10       9.391182434447e-14 
    9       1.164929737952e-10       5.242419111282e-16       1.354210107921e-13       3.389812075823e-18       1.166770898553e-09       1.038447431695e-10       1.170809700059e-13 
   10       1.161218191428e-10       4.430323203627e-16       1.186565007965e-13       4.145807629376e-18       9.966898228228e-10       9.028468832765e-11       9.396021537339e-14 
   11       1.162495147684e-10       3.698732524907e-16       1.125852075887e-13       4.978441664825e-18       8.432950898109e-10       7.968993094753e-11       5.145270653737e-14 
   12       1.167301357265e-10       3.230967596085e-16       1.137810653983e-13       5.887958247764e-18       7.367613247682e-10       7.043995611372e-11       8.505587090478e-15 
   13       1.174939527320e-10       3.112600670076e-16       1.192702558333e-13       6.874603170721e-18       6.493067697441e-10       6.289701849087e-11      -2.257418629106e-14 
   14       1.184681151633e-10       3.231375093559e-16       1.268691620398e-13       7.938620523054e-18       5.765439768027e-10       5.631048593685e-11      -3.808018878667e-14 
   15       1.196502037467e-10       3.467116334353e-16       1.351593655720e-13       9.080249606058e-18       5.152969528432e-10       5.077373662873e-11      -3.911810666558e-14 
   16       1.209804927740e-10       3.813870761189e-16       1.435366683426e-13       1.029972226555e-17       4.632235258011e-10       4.602373742535e-11      -3.059067944199e-14 
   17       1.224488453733e-10       4.337937566372e-16       1.519028906619e-13       1.159726069703e-17       4.185542667747e-10       4.189545919232e-11      -1.835759836526e-14 
   18       1.240071213551e-10       5.088679285893e-16       1.604984565998e-13       1.297307555132e-17       3.797858320535e-10       3.827295864534e-11      -7.624986544629e-15 
   19       1.256668589538e-10       6.063636416561e-16       1.695641482930e-13       1.442736581691e-17       3.462998323421e-10       3.511646293985e-11      -8.588790356366e-16 
   20       1.274069304211e-10       7.237353299633e-16       1.792801984576e-13       1.596031587238e-17       3.168085839492e-10       3.233200812131e-11       6.140697464984e-16 
   21       1.292335355168e-10       8.603786257349e-16       1.896000405724e-13       1.757209855650e-17       2.908488680825e-10       2.986826639424e-11      -2.208162722870e-15 
   22       1.311281768159e-10       1.015944423260e-15       2.003017116547e-13       1.926287191770e-17       2.677987872922e-10       2.764885425657e-11      -7.116115228241e-15 
   23       1.330888933389e-10       1.190199849079e-15       2.109457591355e-13       2.103278381235e-17       2.473414799530e-10       2.565105329496e-11      -1.224149893068e-14 
   24       1.350986652983e-10       1.382867947103e-15       2.209891795102e-13       2.288196860057e-17       2.290044127327e-10       2.384709594182e-11      -1.576016038870e-14 
   25       1.371683759089e-10       1.594493890838e-15       2.301611695311e-13       2.481055352075e-17       2.125718558109e-10       2.222950393088e-11      -1.704109260628e-14 
   26       1.392986183509e-10       1.826088123673e-15       2.382861980969e-13       2.681865470352e-17       1.977462454286e-10       2.077868947333e-11      -1.603215746747e-14 
   27       1.414751938420e-10       2.079707489747e-15       2.452966697793e-13       2.890638321864e-17       1.843496210591e-10       1.946629939311e-11      -1.354581990596e-14 
   28       1.436712563981e-10       2.357723486406e-15       2.511871259107e-13       3.107384236201e-17       1.721509387776e-10       1.825430382026e-11      -1.074029030992e-14 
   29       1.458969792597e-10       2.661582317530e-15       2.560230538478e-13       3.332113713822e-17       1.610878338526e-10       1.714155233311e-11      -8.251361069465e-15 
   30       1.481633878015e-10       2.992427345467e-15       2.599278045382e-13       3.564836658291e-17       1.510414644182e-10       1.612987059522e-11      -6.645686209296e-15 
   31       1.504704916253e-10       3.351331635447e-15       2.630265343490e-13       3.805562372264e-17       1.418068579996e-10       1.521150410825e-11      -6.414015841584e-15 
   32       1.528206787786e-10       3.739213691704e-15       2.652635833423e-13       4.054300699035e-17       1.333362482113e-10       1.437600456122e-11      -7.275743854026e-15 
   33       1.552074918155e-10       4.156875619921e-15       2.665154719714e-13       4.311061308111e-17       1.255696513585e-10       1.360395606341e-11      -8.597279483681e-15 
   34       1.576176472647e-10       4.605072807119e-15       2.666409262360e-13       4.575853548033e-17       1.183982957539e-10       1.287231853247e-11      -9.698964316327e-15 
   35       1.600555836402e-10       5.084712145445e-15       2.654976946675e-13       4.848686932365e-17       1.117854170704e-10       1.218302477845e-11      -1.034768828112e-14 
   36       1.625257363902e-10       5.596715005250e-15       2.629289044997e-13       5.129570854031e-17       1.056779121009e-10       1.154356132399e-11      -1.042999951752e-14 
   37       1.650275498091e-10       6.141948049257e-15       2.587910430421e-13       5.418514365741e-17       9.999623887627e-11       1.095826440822e-11      -9.880212448364e-15 
   38       1.675634866767e-10       6.721176441106e-15       2.530702307167e-13       5.715525792908e-17       9.472567142770e-11       1.042525256788e-11      -8.880142278370e-15 
   39       1.701324350419e-10       7.335088236432e-15       2.458050575454e-13       6.020613018083e-17       8.984944405490e-11       9.937924686024e-12      -7.730203262092e-15 
   40       1.727267261088e-10       7.984301171396e-15       2.370572540604e-13       6.333783599331e-17       8.532099432876e-11       9.485329058000e-12      -6.801774573694e-15 
   41       1.753364656001e-10       8.669405379553e-15       2.268887603406e-13       6.655044394057e-17       8.108017151957e-11       9.055465204226e-12      -6.434826917955e-15 
   42       1.779657973474e-10       9.391119034003e-15       2.152805864557e-13       6.984400255899e-17       7.711445457270e-11       8.647330441131e-12      -6.579834354156e-15 
   43       1.806208321905e-10       1.015017583315e-14       2.021898971043e-13       7.321854932747e-17       7.341328881178e-11       8.262200838294e-12      -7.046915548848e-15 
   44       1.833048127466e-10       1.094728096590e-14       1.875717977466e-13       7.667411402665e-17       6.994971706137e-11       7.900215119309e-12      -7.599906003197e-15 
   45       1.860188133646e-10       1.178307329758e-14       1.713798390325e-13       8.021071419604e-17       6.668999840312e-11       7.560652597089e-12      -8.012388975035e-15 
   46       1.887648257099e-10       1.265800139195e-14       1.535683582322e-13       8.382834025276e-17       6.362896990669e-11       7.243105500857e-12      -8.262414058069e-15 
   47       1.915430642356e-10       1.357240829857e-14       1.340903698143e-13       8.752696565896e-17       6.076303602614e-11       6.946484292569e-12      -8.391191154499e-15 
   48       1.943507864028e-10       1.452656163078e-14       1.128966224225e-13       9.130655052487e-17       5.807950341256e-11       6.668590874377e-12      -8.449843714772e-15 
   49       1.971820385780e-10       1.552065021006e-14       8.993536865219e-14       9.516704120038e-17       5.555590459222e-11       6.406038840610e-12      -8.499975973934e-15 
